Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15,26,30
1,5,9,4
2,6,10,4
3,26,50,1872
4,49,60,32
5,23,40,144
6,39,57,150
7,21,86,6605
8,6,23,11
9,9,13,2
10,15,21,3
11,35,57,1080
12,0,0,1
13,16,59,1944
14,16,52,753
15,1,1,1
17,22,51,2000
18,0,0,1
19,5,10,3
20,5,8,4
21,11,32,178
22,26,42,32
23,5,15,10
24,19,25,6
25,5,6,2
26,21,46,196
27,13,15,4
28,22,25,4
29,22,47,345
31,14,33,58
32,5,9,3
33,40,72,288
34,18,22,6
35,8,14,12
36,33,40,8
37,2,2,1
38,20,32,140
40,35,65,8640
41,2,5,4
42,10,13,3
43,8,13,4
44,28,42,66
45,16,26,28
46,5,27,48
47,20,25,6
48,18,33,36
49,14,18,2
50,13,23,36
51,36,56,1950
52,25,27,2
53,17,27,12
54,15,26,40
55,17,19,2
56,22,50,864
57,14,34,63
58,23,32,10
59,8,9,2
60,1,1,1
61,5,8,3
63,20,25,8
64,3,3,1
65,18,23,8
66,62,77,352
67,19,33,216
68,10,19,7
69,0,0,1
70,3,3,1
71,9,25,24
72,40,42,4
73,19,37,192
74,23,37,42
76,9,14,6
77,22,35,80
78,28,61,2688
79,0,0,1
80,14,23,19
81,15,29,24
82,7,7,1
83,18,18,1
84,9,11,4
85,13,27,15
88,11,34,100
90,21,29,16
91,17,41,576
92,15,21,3
93,14,25,68
94,29,79,2814
95,12,26,20
96,16,34,188
97,18,33,216
98,12,15,4
