Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,9.266666666666667,20,30
1,12.333333333333334,24,36
2,NA,NA,NA
3,0.0,0,1
4,29.4,61,250
5,NA,NA,NA
6,16.355113636363637,54,704
7,17.0,17,1
8,17.0,17,1
9,18.875,29,8
10,6.25,10,4
11,17.0,18,2
12,11.96,25,25
13,17.0,21,3
14,NA,NA,NA
15,37.68181818181818,57,2200
16,7.5,13,4
17,25.333333333333332,32,18
18,21.166666666666668,28,6
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,11.051446540880503,77,15900
23,67.875,82,128
24,NA,NA,NA
25,29.82456140350877,52,2508
26,39.041666666666664,58,192
27,7.888888888888889,19,9
28,49.38095238095238,69,168
29,13.958333333333334,30,48
30,13.0,13,1
31,8.166666666666666,18,6
32,NA,NA,NA
33,27.5,35,12
34,19.0,42,216
35,38.0,38,1
36,13.5,22,24
37,17.333333333333332,29,36
38,19.666666666666668,39,12
39,8.5,11,2
40,34.0,45,40
41,NA,NA,NA
42,NA,NA,NA
43,26.858536585365854,46,205
44,12.5,20,8
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,32.55,65,8960
49,NA,NA,NA
50,34.44444444444444,69,864
51,21.0,24,2
52,58.36666666666667,74,60
53,NA,NA,NA
54,28.181818181818183,61,1980
55,15.1,30,10
56,12.0,16,5
57,26.5,48,160
58,31.906666666666666,60,1200
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,12.166666666666666,31,216
64,NA,NA,NA
65,16.37142857142857,39,245
66,18.0,18,1
67,9.666666666666666,19,12
68,26.0,32,4
69,19.25,26,8
70,14.0,16,3
71,NA,NA,NA
72,37.22857142857143,69,1680
73,30.5,46,768
74,12.0,12,1
75,29.35,55,240
76,NA,NA,NA
77,NA,NA,NA
78,96.25,112,128
79,7.0,13,4
80,25.472549019607843,82,10710
81,12.0,12,1
82,16.466666666666665,38,150
83,20.1,28,20
84,6.0,8,3
85,34.81212121212121,66,15840
86,7.25,13,8
87,15.333333333333334,27,27
88,NA,NA,NA
89,6.0,6,1
90,12.0,22,18
91,17.194444444444443,43,144
92,27.033333333333335,45,240
93,14.222222222222221,34,162
94,12.0,12,1
95,25.176470588235293,66,16456
96,23.666666666666668,33,36
97,10.3,38,320
98,NA,NA,NA
99,NA,NA,NA
