Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,36.6,43,10
1,23.433333333333334,49,2160
2,0.0,0,1
3,10.5,17,12
4,6.5,12,4
5,50.64563106796116,79,412
6,9.872727272727273,26,165
7,8.0,8,1
8,25.666666666666668,44,108
9,11.0,20,24
10,6.0,6,1
11,21.0,38,108
12,NA,NA,NA
13,6.2,14,15
14,15.75,24,8
15,29.233333333333334,51,540
16,15.785714285714286,25,14
17,6.0,7,2
18,11.181818181818182,25,33
19,14.928571428571429,25,14
20,5.0,5,1
21,NA,NA,NA
22,4.0,4,1
23,22.125,34,112
24,11.5,15,6
25,13.333333333333334,26,72
26,36.86363636363637,46,22
27,3.0,3,1
28,NA,NA,NA
29,7.0,7,1
30,16.403508771929825,41,456
31,35.95,66,1600
32,16.952380952380953,28,42
33,17.857142857142858,48,847
34,57.333333333333336,74,48
35,5.0,5,1
36,18.666666666666668,30,45
37,10.5,14,2
38,27.6875,38,32
39,NA,NA,NA
40,11.4,18,5
41,30.84090909090909,53,1056
42,8.0,9,2
43,11.538461538461538,20,13
44,20.2,30,40
45,NA,NA,NA
46,22.45257452574526,49,369
47,16.0,49,66
48,5.0,9,4
49,80.16666666666667,102,1296
50,26.818181818181817,67,11880
51,14.0,16,2
52,23.537037037037038,40,324
53,9.5,12,2
54,20.3,39,160
55,30.666666666666668,42,6
56,8.0,39,174
57,NA,NA,NA
58,39.728125,77,2560
59,12.25,18,4
60,12.442857142857143,35,350
61,8.2,15,15
62,19.7,29,10
63,NA,NA,NA
64,28.833333333333332,43,336
65,0.0,0,1
66,21.227941176470587,57,7344
67,8.0,10,2
68,7.4,13,5
69,9.333333333333334,12,3
70,2.0,8,4
71,11.0,11,1
72,32.5,38,4
73,27.46,62,1800
74,NA,NA,NA
75,18.5,22,4
76,7.666666666666667,16,9
77,37.940350877192984,74,5700
78,9.0,9,1
79,29.0,37,16
80,19.0,19,1
81,15.333333333333334,25,9
82,19.15420168067227,67,9520
83,15.60909090909091,31,110
84,21.572944297082227,69,1508
85,24.93719806763285,53,207
86,16.5,28,16
87,26.75,32,8
88,7.5,10,2
89,14.777777777777779,27,27
90,28.545454545454547,53,616
91,5.0,7,2
92,23.467032967032967,47,182
93,7.5,13,4
94,19.6864406779661,46,472
95,5.0,9,5
96,NA,NA,NA
97,23.0,35,96
98,18.75,40,128
99,18.0,34,216
