Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,7.0,7,1
1,8.0,8,1
2,7.5,10,2
3,4.0,4,1
4,2.0,2,1
5,0.0,0,1
6,7.0,8,2
7,5.0,7,4
8,NA,0,0
9,3.0,3,1
10,0.0,0,1
11,NA,NA,NA
12,5.333333333333333,20,9
13,2.0,2,1
14,8.0,8,1
15,14.0,14,1
16,11.0,12,2
17,20.0,28,9
18,8.0,8,1
19,10.0,13,2
20,17.5,19,2
21,24.5,32,8
22,6.0,6,1
23,1.0,1,1
24,2.0,2,1
25,77.16666666666667,120,4320
26,2.0,4,3
27,4.0,4,1
28,4.0,4,1
29,NA,NA,NA
30,14.0,19,3
31,7.0,8,2
32,0.0,0,1
33,2.0,2,1
34,4.0,4,1
35,0.0,0,1
36,11.0,11,1
37,6.0,8,4
38,7.0,8,2
39,16.0,17,2
40,8.25,21,16
41,3.0,3,1
42,7.0,7,1
43,3.0,3,1
44,2.0,2,1
45,10.0,10,1
46,NA,NA,NA
47,20.0,27,128
48,17.0,18,2
49,6.0,6,1
50,3.0,3,1
51,9.0,9,1
52,2.0,3,2
53,17.75,22,4
54,6.0,7,2
55,2.0,2,1
56,0.0,0,1
57,9.0,9,1
58,0.0,0,1
59,0.0,0,1
60,11.0,12,2
61,2.0,2,1
62,0.0,0,1
63,12.0,12,1
64,12.0,13,2
65,13.0,13,1
66,11.0,11,1
67,0.0,0,1
68,16.0,16,1
69,3.0,3,1
70,0.0,0,1
71,14.5,19,16
72,5.0,5,1
73,7.0,11,3
74,4.0,4,1
75,4.0,4,1
76,NA,NA,NA
77,4.0,4,1
78,NA,NA,NA
79,0.0,0,1
80,11.0,22,5
81,NA,NA,NA
82,14.0,14,1
83,4.0,4,1
84,10.0,10,1
85,24.5,27,2
86,2.0,2,1
87,6.0,6,1
88,4.0,4,1
89,19.0,20,2
90,20.0,25,8
91,14.0,18,16
92,7.0,7,1
93,2.0,2,1
94,4.0,4,1
95,0.0,0,1
96,2.0,2,1
97,5.0,7,2
98,4.0,4,1
99,2.0,2,1
100,10.0,11,2
101,4.0,4,1
102,2.0,3,2
103,14.75,24,32
104,8.333333333333334,12,3
105,16.0,17,2
106,15.0,15,1
107,6.0,7,2
108,13.0,13,1
109,2.5,5,2
110,2.0,2,1
111,NA,NA,NA
112,NA,NA,NA
113,NA,NA,NA
114,7.0,8,2
115,8.0,8,1
116,12.0,12,1
117,15.5,19,4
118,NA,NA,NA
119,5.0,5,1
120,3.0,4,2
121,3.0,3,1
122,6.0,6,1
123,6.0,6,1
124,3.0,3,1
125,4.0,4,1
126,NA,NA,NA
127,21.0,28,128
128,13.0,13,1
129,6.0,6,1
130,6.0,6,1
131,19.0,19,1
132,9.5,15,4
133,NA,NA,NA
134,5.0,5,1
135,2.0,2,1
136,0.0,0,1
137,NA,NA,NA
138,12.0,12,1
139,7.25,18,16
140,5.0,5,1
141,4.0,4,1
