Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,9,20,30
1,13,24,36
2,NA,NA,NA
3,0,0,1
4,30,61,250
5,NA,NA,NA
6,19,54,704
7,17,17,1
8,17,17,1
9,19,29,8
10,6,10,4
11,17,18,2
12,12,25,25
13,17,21,3
14,NA,NA,NA
15,34,57,2200
16,9,13,4
17,26,32,18
18,21,28,6
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,NA,NA,NA
23,70,82,128
24,NA,NA,NA
25,32,52,2508
26,38,58,192
27,9,19,9
28,48,69,168
29,14,30,48
30,13,13,1
31,9,18,6
32,NA,NA,NA
33,27,35,12
34,20,42,216
35,38,38,1
36,13,22,24
37,17,29,36
38,18,39,12
39,9,11,2
40,33,45,40
41,NA,NA,NA
42,NA,NA,NA
43,28,46,205
44,12,20,8
45,NA,NA,NA
46,NA,NA,NA
47,NA,NA,NA
48,33,65,8960
49,NA,NA,NA
50,38,69,864
51,21,24,2
52,55,74,60
53,NA,NA,NA
54,31,61,1980
55,16,30,10
56,12,16,5
57,31,48,160
58,29,60,1200
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,13,31,216
64,NA,NA,NA
65,16,39,245
66,18,18,1
67,9,19,12
68,27,32,4
69,17,26,8
70,14,16,3
71,NA,NA,NA
72,36,69,1680
73,31,46,768
74,12,12,1
75,26,55,240
76,NA,NA,NA
77,NA,NA,NA
78,98,112,128
79,7,13,4
80,29,82,10710
81,12,12,1
82,19,38,150
83,19,28,20
84,6,8,3
85,NA,NA,NA
86,8,13,8
87,14,27,27
88,NA,NA,NA
89,6,6,1
90,12,22,18
91,18,43,144
92,26,45,240
93,15,34,162
94,12,12,1
95,27,66,16456
96,24,33,36
97,11,38,320
98,NA,NA,NA
99,NA,NA,NA
