Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6.0,9,6
1,39.06140350877193,63,228
2,11.578947368421053,25,19
3,NA,NA,NA
4,33.401785714285715,62,672
5,4.0,4,1
6,15.0,18,4
7,24.702380952380953,62,3024
8,15.0,19,4
9,19.27777777777778,33,144
10,NA,NA,NA
11,NA,NA,NA
12,27.45858585858586,73,8910
13,38.833333333333336,67,588
14,NA,NA,NA
15,19.404761904761905,41,378
16,NA,NA,NA
17,17.541666666666668,36,96
18,4.0,5,2
19,19.166666666666668,29,18
20,24.0,30,4
21,NA,NA,NA
22,4.0,4,1
23,32.18181818181818,64,660
24,NA,NA,NA
25,24.88881422924901,83,50600
26,30.864035087719298,75,1824
27,16.72222222222222,30,18
28,21.221464848970864,63,7482
29,55.497252747252745,81,1456
30,NA,NA,NA
31,15.071428571428571,29,56
32,0.0,0,1
33,NA,NA,NA
34,26.650083612040135,57,4784
35,8.9,22,10
36,20.833333333333332,41,108
37,4.0,9,8
38,24.055995629609395,61,3661
39,NA,NA,NA
40,39.81666666666667,79,8400
41,18.651515151515152,40,1188
42,15.0,15,1
43,NA,NA,NA
44,64.66666666666667,90,192
45,6.0,8,3
46,35.08612440191388,76,6688
47,NA,NA,NA
48,29.87272727272727,52,550
49,23.533333333333335,44,90
50,11.714285714285714,19,21
51,15.5,18,2
52,NA,NA,NA
53,NA,NA,NA
54,8.0,10,2
55,NA,NA,NA
56,32.142857142857146,77,10080
57,20.318181818181817,29,22
58,9.0,13,4
59,42.75,81,13824
60,5.0,11,6
61,28.0,30,2
62,8.0,23,70
63,20.0,20,1
64,40.333333333333336,54,24
65,14.0,25,120
66,31.833333333333332,59,3456
67,34.61904761904762,55,84
68,11.333333333333334,19,24
69,NA,NA,NA
70,NA,NA,NA
71,0.0,0,1
72,25.5,29,4
73,27.083333333333332,49,144
74,NA,NA,NA
75,6.916666666666667,13,12
76,24.857142857142858,51,1008
77,2.0,2,1
78,27.202045454545456,64,13200
79,NA,NA,NA
80,43.1,52,20
81,41.833333333333336,55,48
82,48.333333333333336,59,12
83,11.0,58,344
84,5.0,39,35
85,7.5,9,2
86,57.67326732673267,92,12928
87,18.0,22,4
88,NA,NA,NA
89,NA,NA,NA
90,12.666666666666666,16,6
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,NA,NA,NA
96,27.4,31,5
97,NA,NA,NA
98,4.333333333333333,9,3
99,NA,NA,NA
