Signature,Time Spent
0,0.16876983642578125
1,0.21628093719482422
2,0.1664423942565918
3,0.1585690975189209
4,0.21218609809875488
5,0.21295881271362305
6,0.20484066009521484
7,0.2013561725616455
8,0.19409990310668945
9,0.2564053535461426
10,0.23515534400939941
11,0.20597505569458008
12,0.19863080978393555
13,0.21088576316833496
14,0.16278719902038574
15,0.20670843124389648
16,0.20491337776184082
17,0.2599031925201416
18,NA
19,0.16101861000061035
20,0.23007822036743164
21,0.20949769020080566
22,0.18642663955688477
23,0.1597301959991455
24,0.23507189750671387
25,0.18679475784301758
26,0.21075701713562012
27,0.2123711109161377
28,0.21289873123168945
29,0.21141958236694336
30,NA
31,0.1622467041015625
32,0.19661474227905273
33,0.20996761322021484
34,NA
35,0.19884991645812988
36,NA
37,0.24959444999694824
38,0.15863704681396484
39,0.21227431297302246
40,0.16724395751953125
41,0.16013097763061523
42,0.20909500122070312
43,0.18565845489501953
44,NA
45,0.20580840110778809
46,0.16275835037231445
47,0.19331741333007812
48,0.15947747230529785
49,0.20847058296203613
50,0.24596405029296875
51,0.2108447551727295
52,NA
53,NA
54,0.1661994457244873
55,0.21010065078735352
56,0.16826534271240234
57,0.18950366973876953
58,0.2035965919494629
59,0.2010636329650879
60,0.2167062759399414
61,0.17391681671142578
62,0.2079639434814453
63,0.1977519989013672
64,0.24606680870056152
65,0.2123410701751709
66,0.19944500923156738
67,0.21373510360717773
68,0.25446009635925293
69,0.15497994422912598
70,0.20921635627746582
71,0.20584416389465332
72,0.21536803245544434
73,0.21024060249328613
74,0.19916343688964844
75,0.20720410346984863
76,NA
77,0.2074587345123291
78,0.16068196296691895
79,0.20724892616271973
80,0.2287158966064453
81,0.16138362884521484
82,0.2068326473236084
83,0.21954560279846191
84,0.20190048217773438
85,0.16908693313598633
86,0.213639497756958
87,0.21211504936218262
88,0.21210455894470215
89,0.15501880645751953
90,NA
91,0.2146892547607422
92,0.20500731468200684
93,0.2053520679473877
94,0.21793580055236816
95,NA
96,0.18720507621765137
97,0.20181822776794434
98,0.17969393730163574
99,0.2095801830291748
