Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,25,60,1632
1,20,43,58
2,9,9,1
3,26,55,432
4,9,19,9
5,19,49,321
6,29,36,18
7,42,73,4752
8,0,0,1
9,22,29,24
10,NA,NA,NA
11,9,16,14
12,NA,NA,NA
13,18,27,12
14,NA,NA,NA
15,29,57,4797
16,NA,NA,NA
17,NA,NA,NA
18,25,42,24
19,6,8,4
20,55,67,48
21,8,17,16
22,31,37,5
23,10,20,9
24,8,14,3
25,5,10,3
26,9,15,6
27,21,28,18
28,NA,NA,NA
29,NA,NA,NA
30,49,54,8
31,8,32,45
32,27,43,294
33,11,25,36
34,37,64,96
35,20,25,8
36,2,2,1
37,24,63,15000
38,2,6,5
39,21,42,96
40,10,19,4
41,7,8,2
42,27,32,6
43,15,33,130
44,3,5,3
45,3,3,1
46,22,47,84
47,9,9,1
48,2,2,1
49,34,53,1008
50,16,35,40
51,19,41,273
52,3,3,1
53,27,38,27
54,15,19,6
55,31,51,68
56,9,9,1
57,NA,NA,NA
58,9,9,1
59,NA,NA,NA
60,9,31,72
61,5,9,3
62,37,69,6348
63,2,2,1
64,15,27,48
65,7,8,2
66,13,26,30
67,11,16,5
68,12,25,60
69,31,58,352
70,14,16,2
71,15,18,4
72,2,2,1
73,3,9,5
74,29,35,4
75,34,59,78
76,4,4,1
77,16,19,2
78,3,3,1
79,22,39,248
80,19,55,840
81,16,16,1
82,4,13,10
83,42,51,9
84,3,3,1
85,13,13,1
86,34,81,17712
87,42,73,432
88,30,32,3
89,NA,NA,NA
90,8,33,90
91,6,11,6
92,15,16,2
93,8,14,16
94,0,0,1
95,23,86,12096
96,8,8,1
97,0,0,1
98,14,15,2
99,19,30,48
