Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
38,3,2,6,5
38,4,2,6,5
38,5,2,6,5
38,6,2,6,5
38,7,2,6,5
38,8,2,6,5
38,9,2,6,5
38,10,2,6,5
39,1,21,42,96
39,2,21,42,96
39,3,21,42,96
39,4,21,42,96
39,5,21,42,96
39,6,21,42,96
39,7,21,42,96
39,8,21,42,96
39,9,21,42,96
39,10,21,42,96
40,1,15,26,10
40,2,15,26,10
40,3,15,26,10
40,4,15,26,10
40,5,15,26,10
40,6,15,26,10
40,7,15,26,10
40,8,15,26,10
40,9,15,26,10
40,10,15,26,10
41,1,7,8,2
41,2,7,8,2
41,3,7,8,2
41,4,7,8,2
41,5,7,8,2
41,6,7,8,2
41,7,7,8,2
41,8,7,8,2
41,9,7,8,2
41,10,7,8,2
42,1,27,32,6
42,2,27,32,6
42,3,27,32,6
42,4,27,32,6
42,5,27,32,6
42,6,27,32,6
42,7,27,32,6
42,8,27,32,6
42,9,27,32,6
42,10,27,32,6
43,1,15,33,130
43,2,15,33,130
43,3,15,33,130
43,4,15,33,130
43,5,15,33,130
43,6,15,33,130
43,7,15,33,130
43,8,15,33,130
43,9,15,33,130
43,10,15,33,130
44,1,3,5,3
44,2,3,5,3
44,3,3,5,3
44,4,3,5,3
44,5,3,5,3
44,6,3,5,3
44,7,3,5,3
44,8,3,5,3
44,9,3,5,3
44,10,3,5,3
45,1,27,40,24
45,2,27,40,24
45,3,27,40,24
45,4,27,40,24
45,5,27,40,24
45,6,27,40,24
45,7,27,40,24
45,8,27,40,24
45,9,27,40,24
45,10,27,40,24
46,1,20,51,120
46,2,20,51,120
46,3,20,51,120
46,4,20,51,120
46,5,20,51,120
46,6,20,51,120
46,7,20,51,120
46,8,20,51,120
46,9,20,51,120
46,10,20,51,120
47,1,13,14,2
47,2,13,14,2
47,3,13,14,2
47,4,13,14,2
47,5,13,14,2
47,6,13,14,2
47,7,13,14,2
47,8,13,14,2
47,9,13,14,2
