Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,7,10,4
2,19,43,780
3,7,23,150
4,NA,NA,NA
5,50,87,6048
6,19,57,60
7,15,38,120
8,20,23,6
9,31,66,4608
10,33,59,192
11,53,62,9
12,18,31,82
13,21,34,50
14,NA,NA,NA
15,36,43,12
16,51,89,3192
17,25,52,592
18,NA,NA,NA
19,11,15,6
20,NA,NA,NA
21,24,37,24
22,NA,NA,NA
23,7,11,3
24,5,8,4
25,6,6,1
26,13,42,72
27,12,30,24
28,28,56,540
29,48,81,4480
30,17,17,1
31,21,48,1350
32,NA,NA,NA
33,25,44,255
34,23,53,14076
35,NA,NA,NA
36,NA,NA,NA
37,5,6,2
38,1,1,1
39,32,63,1464
40,22,81,4800
41,45,94,8316
42,2,2,1
43,NA,NA,NA
44,NA,NA,NA
45,0,0,1
46,18,40,476
47,10,11,2
48,5,5,1
49,NA,NA,NA
50,NA,NA,NA
51,NA,NA,NA
52,19,49,960
53,NA,NA,NA
54,21,39,42
55,4,6,3
56,6,6,1
57,2,4,3
58,2,11,10
59,9,9,1
60,25,43,210
61,19,64,1792
62,23,35,16
63,27,53,1512
64,27,67,1140
65,16,16,1
66,19,34,20
67,42,63,80
68,54,65,40
69,NA,NA,NA
70,NA,NA,NA
71,38,59,720
72,NA,NA,NA
73,NA,NA,NA
74,55,81,2016
75,24,44,330
76,NA,NA,NA
77,NA,NA,NA
78,9,15,3
79,40,63,552
80,8,22,72
81,NA,NA,NA
82,14,18,4
83,10,13,2
84,NA,NA,NA
85,18,41,93
86,37,45,18
87,31,41,96
88,NA,NA,NA
89,32,59,425
90,22,40,120
91,14,42,805
92,NA,NA,NA
93,5,24,45
94,36,60,279
95,7,9,2
96,14,30,14
97,NA,NA,NA
98,NA,NA,NA
99,40,71,1632
