name of the signature,size of the module
0,47
1,48
2,0
3,17
4,12
5,105
6,59
7,15
8,84
9,31
10,10
11,40
12,93
13,23
14,36
15,56
16,52
17,18
18,35
19,31
20,7
21,74
22,4
23,42
24,25
25,47
26,59
27,3
28,149
29,9
30,69
31,81
32,41
33,92
34,74
35,5
36,48
37,20
38,50
39,126
40,36
41,65
42,9
43,34
44,49
45,591
46,66
47,74
48,7
49,105
50,85
51,17
52,43
53,11
54,56
55,39
56,73
57,132
58,125
59,28
60,51
61,39
62,37
63,85
64,91
65,0
66,88
67,70
68,16
69,19
70,5
71,11
72,41
73,82
74,159
75,25
76,32
77,72
78,9
79,41
80,23
81,40
82,108
83,35
84,77
85,70
86,34
87,35
88,12
89,40
90,79
91,10
92,41
93,16
94,44
95,17
96,97
97,52
98,49
99,49
