Signature,Time Spent
0,NA
1,0.20944476127624512
2,0.21366667747497559
3,0.20253205299377441
4,0.2031996250152588
5,0.22190332412719727
6,0.20996451377868652
7,NA
8,0.16387152671813965
9,0.21303296089172363
10,0.2069387435913086
11,0.20888447761535645
12,0.2120528221130371
13,0.21283698081970215
14,NA
15,0.2403550148010254
16,0.18465089797973633
17,0.2069714069366455
18,0.2229137420654297
19,0.16280245780944824
20,0.2436676025390625
21,0.20705056190490723
22,0.2171459197998047
23,0.2071363925933838
24,0.19978690147399902
25,0.18767762184143066
26,0.2100512981414795
27,0.18358683586120605
28,0.16587305068969727
29,NA
30,NA
31,0.1601088047027588
32,0.16562128067016602
33,0.21196532249450684
34,0.2477433681488037
35,0.20769786834716797
36,0.16640567779541016
37,0.20643186569213867
38,0.21082067489624023
39,0.2049086093902588
40,NA
41,0.20629191398620605
42,0.2015852928161621
43,0.20600295066833496
44,0.20674872398376465
45,0.2097949981689453
46,0.2141120433807373
47,0.20748162269592285
48,0.20824694633483887
49,0.21225309371948242
50,0.18515229225158691
51,0.21975445747375488
52,0.20964956283569336
53,0.22414803504943848
54,0.20534420013427734
55,NA
56,0.1602327823638916
57,0.20668530464172363
58,0.22168183326721191
59,0.21979427337646484
60,0.21236324310302734
61,0.21989703178405762
62,0.1642453670501709
63,0.21677160263061523
64,0.21891283988952637
65,0.1691427230834961
66,0.19657301902770996
67,NA
68,0.16199922561645508
69,0.2419283390045166
70,0.1809694766998291
71,0.21734309196472168
72,0.22754168510437012
73,0.1630403995513916
74,0.20642900466918945
75,0.21049809455871582
76,0.20669984817504883
77,0.2196657657623291
78,0.1602613925933838
79,0.1553349494934082
80,0.2023935317993164
81,NA
82,0.21105217933654785
83,0.1602785587310791
84,NA
85,0.1845095157623291
86,0.18891525268554688
87,0.19997501373291016
88,0.20583724975585938
89,0.2253258228302002
90,0.16481709480285645
91,0.2137608528137207
92,0.2516036033630371
93,NA
94,0.20772147178649902
95,0.19965076446533203
96,NA
97,0.20700955390930176
98,0.20727181434631348
99,0.20319509506225586
