name of the signature,size of the module
0,17
1,36
2,8
3,0
4,52
5,50
6,82
7,17
8,17
9,31
10,15
11,13
12,25
13,18
14,30
15,63
16,13
17,35
18,29
19,94
20,128
21,96
22,77
23,73
24,62
25,67
26,44
27,23
28,58
29,38
30,13
31,22
32,12
33,36
34,39
35,42
36,51
37,24
38,45
39,14
40,59
41,166
42,96
43,28
44,26
45,344
46,9
47,27
48,107
49,50
50,81
51,8
52,72
53,40
54,69
55,28
56,22
57,53
58,54
59,16
60,103
61,34
62,18
63,59
64,90
65,53
66,20
67,18
68,34
69,23
70,20
71,54
72,67
73,63
74,12
75,77
76,119
77,5
78,103
79,60
80,92
81,22
82,27
83,36
84,8
85,91
86,5
87,50
88,36
89,6
90,28
91,42
92,54
93,34
94,12
95,4
96,46
97,46
98,70
99,2
