Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,33,72,1760
1,30,68,9072
2,9,9,1
3,11,12,2
4,7,13,3
5,20,45,522
6,NA,NA,NA
7,54,62,8
8,15,59,1617
9,26,29,3
10,15,18,3
11,32,33,2
12,76,103,1536
13,14,50,800
14,50,67,63
15,NA,NA,NA
16,2,2,1
17,3,6,4
18,NA,NA,NA
19,NA,NA,NA
20,13,27,72
21,30,62,711
22,NA,NA,NA
23,24,42,192
24,NA,NA,NA
25,14,20,10
26,33,67,1536
27,NA,NA,NA
28,6,6,1
29,9,11,2
30,NA,NA,NA
31,5,11,6
32,NA,NA,NA
33,2,2,1
34,9,17,5
35,13,46,1566
36,32,43,28
37,8,14,4
38,23,34,27
39,21,48,1164
40,73,90,224
41,8,21,72
42,NA,NA,NA
43,48,53,8
44,NA,NA,NA
45,4,8,2
46,NA,NA,NA
47,14,19,12
48,22,74,5092
49,11,11,1
50,10,12,2
51,13,29,42
52,17,38,230
53,45,78,2320
54,13,25,36
55,33,61,240
56,17,26,24
57,28,41,30
58,NA,NA,NA
59,19,24,18
60,12,27,84
61,NA,NA,NA
62,11,11,1
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,57,61,4
67,10,10,1
68,NA,NA,NA
69,16,21,9
70,NA,NA,NA
71,9,9,1
72,19,22,3
73,59,79,240
74,10,21,15
75,26,71,6120
76,11,20,20
77,4,6,2
78,40,58,40
79,12,31,78
80,14,48,2256
81,18,31,10
82,19,24,6
83,6,10,2
84,18,45,324
85,36,51,128
86,15,21,6
87,NA,NA,NA
88,1,1,1
89,NA,NA,NA
90,26,38,18
91,22,23,2
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,5,5,1
96,2,2,1
97,11,11,1
98,12,25,21
99,9,27,40
