Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,20,33,32
0,2,20,33,32
0,3,20,33,32
0,4,20,33,32
0,5,20,33,32
0,6,20,33,32
0,7,20,33,32
0,8,20,33,32
0,9,20,33,32
0,10,20,33,32
1,1,18,28,20
1,2,18,28,20
1,3,18,28,20
1,4,18,28,20
1,5,18,28,20
1,6,18,28,20
1,7,18,28,20
1,8,18,28,20
1,9,18,28,20
1,10,18,28,20
2,1,33,46,72
2,2,33,46,72
2,3,33,46,72
2,4,33,46,72
2,5,33,46,72
2,6,33,46,72
2,7,33,46,72
2,8,33,46,72
2,9,33,46,72
2,10,33,46,72
3,1,29,68,3199
3,2,29,68,3199
3,3,29,68,3199
3,4,29,68,3199
3,5,29,68,3199
3,6,29,68,3199
3,7,29,68,3199
3,8,29,68,3199
3,9,29,68,3199
3,10,29,68,3199
4,1,11,23,20
4,2,11,23,20
4,3,11,23,20
4,4,11,23,20
4,5,11,23,20
4,6,11,23,20
4,7,11,23,20
4,8,11,23,20
4,9,11,23,20
4,10,11,23,20
5,1,43,76,6400
5,2,43,76,6400
5,3,43,76,6400
5,4,43,76,6400
5,5,43,76,6400
5,6,43,76,6400
5,7,43,76,6400
5,8,43,76,6400
5,9,43,76,6400
5,10,43,76,6400
6,1,16,35,60
6,2,16,35,60
6,3,16,35,60
6,4,16,35,60
6,5,16,35,60
6,6,16,35,60
6,7,16,35,60
6,8,16,35,60
6,9,16,35,60
6,10,16,35,60
7,1,0,0,1
7,2,0,0,1
7,3,0,0,1
7,4,0,0,1
7,5,0,0,1
7,6,0,0,1
7,7,0,0,1
7,8,0,0,1
7,9,0,0,1
7,10,0,0,1
8,1,5,16,8
8,2,5,16,8
8,3,5,16,8
8,4,5,16,8
8,5,5,16,8
8,6,5,16,8
8,7,5,16,8
8,8,5,16,8
8,9,5,16,8
8,10,5,16,8
9,1,5,16,21
9,2,5,16,21
9,3,5,16,21
9,4,5,16,21
9,5,5,16,21
9,6,5,16,21
