Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6,9,6
1,38,62,216
2,11,25,19
3,8,10,3
4,29,60,672
5,4,4,1
6,15,18,4
7,24,62,3024
8,11,11,1
9,20,33,144
10,31,50,1120
11,9,25,14
12,17,70,4455
13,40,56,84
14,15,28,28
15,20,41,378
17,14,27,24
18,2,2,1
19,15,22,9
20,23,27,2
21,14,18,3
22,4,4,1
23,29,65,1320
26,35,75,1824
27,18,30,18
29,56,81,1456
30,38,50,168
31,15,29,56
32,0,0,1
33,5,5,1
34,14,33,184
35,11,22,10
36,20,41,108
37,2,4,2
38,26,61,3661
39,15,33,36
40,42,77,7350
41,20,40,1188
42,15,15,1
43,38,58,768
44,61,85,96
45,6,8,3
46,33,76,6688
47,8,12,3
48,29,52,550
49,23,43,90
50,9,14,7
51,15,18,2
53,15,41,2520
54,8,10,2
56,9,13,5
57,18,25,11
58,5,5,1
59,43,78,10368
60,5,11,6
61,9,9,1
62,8,23,70
63,10,10,1
64,39,49,8
65,14,25,120
66,27,46,384
67,31,48,28
68,11,19,24
70,7,7,1
71,0,0,1
72,26,29,4
73,22,43,144
74,0,0,1
75,7,13,12
76,27,51,1008
77,2,2,1
78,26,59,8976
80,43,52,20
81,32,50,48
82,47,54,4
83,10,55,172
84,5,39,35
85,4,6,2
86,33,40,8
87,18,22,4
88,1,1,1
90,13,16,6
91,0,0,1
92,10,15,10
94,5,5,1
96,19,29,15
97,2,2,1
98,2,7,3
