Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6.6,14,10
1,12.333333333333334,24,36
2,8.0,8,1
3,0.0,0,1
4,24.1,36,20
5,15.0,24,30
6,16.355113636363637,54,704
7,17.0,17,1
8,17.0,17,1
9,18.875,29,8
10,6.25,10,4
11,5.0,5,1
12,11.96,25,25
13,17.0,21,3
14,7.142857142857143,21,7
15,35.68181818181818,55,2200
16,7.5,13,4
17,25.333333333333332,32,18
18,21.166666666666668,28,6
19,NA,NA,NA
20,NA,NA,NA
21,NA,NA,NA
22,10.855731775180857,75,14376
23,66.875,79,64
24,21.346153846153847,44,390
25,29.82456140350877,52,2508
26,19.041666666666668,31,24
27,7.888888888888889,19,9
28,27.38095238095238,47,168
29,13.958333333333334,30,48
30,13.0,13,1
31,8.166666666666666,18,6
32,12.0,12,1
33,27.0,33,6
34,19.166666666666668,41,144
35,38.0,38,1
36,13.5,22,24
37,15.333333333333334,25,12
38,19.666666666666668,39,12
39,8.5,11,2
40,33.0,42,20
41,NA,NA,NA
42,NA,NA,NA
43,21.2,25,5
44,12.5,20,8
45,NA,NA,NA
46,9.0,9,1
47,16.0,21,6
48,32.55,65,8960
49,NA,NA,NA
50,33.94444444444444,67,432
51,5.0,11,6
52,57.36666666666667,71,30
53,13.5,22,24
54,28.181818181818183,61,1980
55,11.1,26,10
56,12.0,16,5
57,22.75,39,80
58,29.906666666666666,58,1200
59,3.0,3,1
60,NA,NA,NA
61,NA,NA,NA
62,3.0,6,4
63,12.166666666666666,31,216
64,NA,NA,NA
65,16.15,31,80
66,18.0,18,1
67,9.7,18,10
68,25.0,29,2
69,19.333333333333332,23,3
70,7.0,9,3
71,NA,NA,NA
72,36.22857142857143,66,840
73,30.5,46,768
74,12.0,12,1
75,30.273076923076925,57,520
76,NA,NA,NA
77,2.0,5,4
78,87.25,104,128
79,5.0,11,4
80,25.28095238095238,79,9450
81,12.0,12,1
82,8.0,17,10
83,20.6,27,10
84,6.0,8,3
85,34.81212121212121,66,15840
86,4.0,6,2
87,15.333333333333334,27,27
88,13.5,25,48
89,6.0,6,1
90,12.0,22,18
91,16.466666666666665,39,90
92,27.033333333333335,45,240
93,14.222222222222221,34,162
94,12.0,12,1
95,2.0,2,1
96,23.666666666666668,33,36
97,10.0,36,256
98,13.715277777777779,38,288
99,2.0,2,1
