Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15.3,26,30
1,5.0,9,4
2,5.5,10,4
3,25.307692307692307,50,1872
4,48.0,60,32
5,24.333333333333332,40,144
6,37.2,57,150
7,22.58213474640424,86,6605
8,7.545454545454546,23,11
9,9.5,13,2
10,15.0,21,3
11,34.13333333333333,57,1080
12,0.0,0,1
13,14.805555555555555,59,1944
14,17.078353253652057,52,753
15,1.0,1,1
16,NA,NA,NA
17,19.48,51,2000
18,0.0,0,1
19,7.0,10,3
20,5.0,8,4
21,13.331460674157304,32,178
22,27.0,42,32
23,7.8,15,10
24,19.0,25,6
25,5.0,6,2
26,17.321428571428573,46,196
27,12.0,15,4
28,21.5,25,4
29,21.872463768115942,47,345
30,29.579098608590442,70,13224
31,13.637931034482758,33,58
32,5.0,9,3
33,40.75,72,288
34,17.0,22,6
35,7.25,14,12
36,33.5,40,8
37,2.0,2,1
38,19.928571428571427,32,140
39,NA,NA,NA
40,35.65833333333333,65,8640
41,2.0,5,4
42,10.333333333333334,13,3
43,7.5,13,4
44,27.09090909090909,42,66
45,14.714285714285714,26,28
46,8.416666666666666,27,48
47,20.666666666666668,25,6
48,18.5,33,36
49,15.5,18,2
50,11.833333333333334,23,36
51,31.843589743589742,56,1950
52,25.0,27,2
53,17.666666666666668,27,12
54,15.3,26,40
55,17.5,19,2
56,22.555555555555557,50,864
57,15.507936507936508,34,63
58,22.4,32,10
59,8.0,9,2
60,1.0,1,1
61,5.333333333333333,8,3
62,NA,NA,NA
63,21.0,25,8
64,3.0,3,1
65,18.0,23,8
66,61.31818181818182,77,352
67,18.666666666666668,33,216
68,9.571428571428571,19,7
69,0.0,0,1
70,3.0,3,1
71,11.333333333333334,25,24
72,39.0,42,4
73,18.375,37,192
74,24.095238095238095,37,42
75,NA,NA,NA
76,8.166666666666666,14,6
77,22.25,35,80
78,26.666666666666668,61,2688
79,0.0,0,1
80,13.947368421052632,23,19
81,15.083333333333334,29,24
82,7.0,7,1
83,18.0,18,1
84,8.0,11,4
85,11.6,27,15
86,NA,NA,NA
87,NA,NA,NA
88,11.34,34,100
89,NA,NA,NA
90,20.5,29,16
91,16.90277777777778,41,576
92,15.0,21,3
93,13.882352941176471,25,68
94,26.058280028429284,79,2814
95,10.5,26,20
96,18.04255319148936,34,188
97,17.958333333333332,33,216
98,12.0,15,4
99,NA,NA,NA
