Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,21.808823529411764,60,1632
1,23.655172413793103,44,58
2,9.0,9,1
3,28.25,55,432
4,NA,NA,NA
5,23.485981308411215,53,321
6,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
9,22.166666666666668,29,24
10,NA,NA,NA
11,11.0,18,14
12,NA,NA,NA
13,17.333333333333332,27,12
14,NA,NA,NA
15,30.25891181988743,59,4797
16,NA,NA,NA
17,NA,NA,NA
18,24.0,42,24
19,6.0,8,4
20,54.5,70,96
21,8.0,17,16
22,32.8,40,5
23,NA,NA,NA
24,NA,NA,NA
25,7.666666666666667,12,3
26,NA,NA,NA
27,22.27777777777778,29,18
28,NA,NA,NA
29,NA,NA,NA
30,51.5,58,8
31,8.233333333333333,37,60
32,26.571428571428573,43,294
33,12.625,28,64
34,39.958333333333336,67,192
35,NA,NA,NA
36,2.0,2,1
37,20.9,63,15000
38,2.0,6,5
39,18.583333333333332,42,96
40,15.4,26,10
41,7.0,8,2
42,NA,NA,NA
43,14.8,33,130
44,2.3333333333333335,5,3
45,26.833333333333332,40,24
46,22.15,51,120
47,13.0,14,2
48,2.0,2,1
49,35.72696011004127,70,17448
50,30.362380952380953,88,25200
51,20.021978021978022,41,273
52,6.5,8,2
53,26.333333333333332,38,27
54,15.666666666666666,19,6
55,30.235294117647058,51,68
56,9.0,9,1
57,NA,NA,NA
58,19.8,28,15
59,46.19444444444444,84,15552
60,10.166666666666666,31,72
61,10.5,17,6
62,NA,NA,NA
63,4.0,4,1
64,18.083333333333332,32,96
65,7.0,8,2
66,16.866666666666667,28,30
67,20.2,42,75
68,11.2,25,60
69,27.579545454545453,58,352
70,14.0,16,2
71,15.5,18,4
72,2.0,2,1
73,NA,NA,NA
74,28.5,35,4
75,33.782051282051285,59,78
76,18.166666666666668,25,18
77,16.0,19,2
78,3.0,3,1
79,20.89516129032258,39,248
80,15.973809523809523,55,840
81,16.0,16,1
82,NA,NA,NA
83,46.714285714285715,56,14
84,3.0,3,1
85,NA,NA,NA
86,NA,NA,NA
87,46.91025641025641,80,1872
88,34.0,36,3
89,NA,NA,NA
90,16.466666666666665,37,90
91,6.166666666666667,11,6
92,24.2,33,10
93,8.25,14,16
94,NA,NA,NA
95,23.343915343915345,86,12096
96,12.0,12,1
97,0.0,0,1
98,14.0,15,2
99,25.25,38,64
