Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,21.808823529411764,60,1632
0-2,21.808823529411764,60,1632
0-3,21.808823529411764,60,1632
0-4,21.808823529411764,60,1632
0-5,21.808823529411764,60,1632
0-6,21.808823529411764,60,1632
0-7,21.808823529411764,60,1632
0-8,21.808823529411764,60,1632
0-9,21.808823529411764,60,1632
0-10,21.808823529411764,60,1632
1-1,23.655172413793103,44,58
1-2,23.655172413793103,44,58
1-3,23.655172413793103,44,58
1-4,23.655172413793103,44,58
1-5,23.655172413793103,44,58
1-6,23.655172413793103,44,58
1-7,23.655172413793103,44,58
1-8,23.655172413793103,44,58
1-9,23.655172413793103,44,58
1-10,23.655172413793103,44,58
2-1,9.0,9,1
2-2,9.0,9,1
2-3,9.0,9,1
2-4,9.0,9,1
2-5,9.0,9,1
2-6,9.0,9,1
2-7,9.0,9,1
2-8,9.0,9,1
2-9,9.0,9,1
2-10,9.0,9,1
3-1,28.25,55,432
3-2,28.25,55,432
3-3,28.25,55,432
3-4,28.25,55,432
3-5,28.25,55,432
3-6,28.25,55,432
3-7,28.25,55,432
3-8,28.25,55,432
3-9,28.25,55,432
3-10,28.25,55,432
4-1,10.333333333333334,19,9
4-2,10.333333333333334,19,9
4-3,10.333333333333334,19,9
4-4,10.333333333333334,19,9
4-5,10.333333333333334,19,9
4-6,10.333333333333334,19,9
4-7,10.333333333333334,19,9
4-8,10.333333333333334,19,9
4-9,10.333333333333334,19,9
4-10,10.333333333333334,19,9
5-1,23.485981308411215,53,321
5-2,23.485981308411215,53,321
5-3,23.485981308411215,53,321
5-4,23.485981308411215,53,321
5-5,23.485981308411215,53,321
5-6,23.485981308411215,53,321
5-7,23.485981308411215,53,321
5-8,23.485981308411215,53,321
5-9,23.485981308411215,53,321
5-10,23.485981308411215,53,321
6-1,27.77777777777778,38,27
6-2,27.77777777777778,38,27
6-3,27.77777777777778,38,27
6-4,27.77777777777778,38,27
6-5,27.77777777777778,38,27
6-6,27.77777777777778,38,27
6-7,27.77777777777778,38,27
6-8,27.77777777777778,38,27
6-9,27.77777777777778,38,27
6-10,27.77777777777778,38,27
7,NA,NA,NA
8-1,0.0,0,1
8-2,0.0,0,1
8-3,0.0,0,1
8-4,0.0,0,1
8-5,0.0,0,1
8-6,0.0,0,1
8-7,0.0,0,1
8-8,0.0,0,1
8-9,0.0,0,1
8-10,0.0,0,1
9-1,22.166666666666668,29,24
9-2,22.166666666666668,29,24
9-3,22.166666666666668,29,24
9-4,22.166666666666668,29,24
9-5,22.166666666666668,29,24
9-6,22.166666666666668,29,24
9-7,22.166666666666668,29,24
9-8,22.166666666666668,29,24
9-9,22.166666666666668,29,24
9-10,22.166666666666668,29,24
10,NA,NA,NA
11-1,11.0,18,14
11-2,11.0,18,14
11-3,11.0,18,14
11-4,11.0,18,14
11-5,11.0,18,14
11-6,11.0,18,14
11-7,11.0,18,14
11-8,11.0,18,14
11-9,11.0,18,14
11-10,11.0,18,14
12,NA,NA,NA
13-1,17.333333333333332,27,12
13-2,17.333333333333332,27,12
13-3,17.333333333333332,27,12
13-4,17.333333333333332,27,12
13-5,17.333333333333332,27,12
13-6,17.333333333333332,27,12
13-7,17.333333333333332,27,12
13-8,17.333333333333332,27,12
13-9,17.333333333333332,27,12
13-10,17.333333333333332,27,12
14,NA,NA,NA
15-1,30.25891181988743,59,4797
15-2,30.25891181988743,59,4797
15-3,30.25891181988743,59,4797
15-4,30.25891181988743,59,4797
15-5,30.25891181988743,59,4797
15-6,30.25891181988743,59,4797
15-7,30.25891181988743,59,4797
15-8,30.25891181988743,59,4797
15-9,30.25891181988743,59,4797
15-10,30.25891181988743,59,4797
16,NA,NA,NA
17,NA,NA,NA
18-1,24.0,42,24
18-2,24.0,42,24
18-3,24.0,42,24
18-4,24.0,42,24
18-5,24.0,42,24
18-6,24.0,42,24
18-7,24.0,42,24
18-8,24.0,42,24
18-9,24.0,42,24
18-10,24.0,42,24
19-1,6.0,8,4
19-2,6.0,8,4
19-3,6.0,8,4
19-4,6.0,8,4
19-5,6.0,8,4
19-6,6.0,8,4
19-7,6.0,8,4
19-8,6.0,8,4
19-9,6.0,8,4
19-10,6.0,8,4
20-1,54.5,70,96
20-2,54.5,70,96
20-3,54.5,70,96
20-4,54.5,70,96
20-5,54.5,70,96
20-6,54.5,70,96
20-7,54.5,70,96
20-8,54.5,70,96
20-9,54.5,70,96
20-10,54.5,70,96
21-1,8.0,17,16
21-2,8.0,17,16
21-3,8.0,17,16
21-4,8.0,17,16
21-5,8.0,17,16
21-6,8.0,17,16
21-7,8.0,17,16
21-8,8.0,17,16
21-9,8.0,17,16
21-10,8.0,17,16
22-1,32.8,40,5
22-2,32.8,40,5
22-3,32.8,40,5
22-4,32.8,40,5
22-5,32.8,40,5
22-6,32.8,40,5
22-7,32.8,40,5
22-8,32.8,40,5
22-9,32.8,40,5
22-10,32.8,40,5
23-1,10.222222222222221,21,18
23-2,10.222222222222221,21,18
23-3,10.222222222222221,21,18
23-4,10.222222222222221,21,18
23-5,10.222222222222221,21,18
23-6,10.222222222222221,21,18
23-7,10.222222222222221,21,18
23-8,10.222222222222221,21,18
23-9,10.222222222222221,21,18
23-10,10.222222222222221,21,18
24-1,9.0,16,4
24-2,9.0,16,4
24-3,9.0,16,4
24-4,9.0,16,4
24-5,9.0,16,4
24-6,9.0,16,4
24-7,9.0,16,4
24-8,9.0,16,4
24-9,9.0,16,4
24-10,9.0,16,4
25-1,7.666666666666667,12,3
25-2,7.666666666666667,12,3
25-3,7.666666666666667,12,3
25-4,7.666666666666667,12,3
25-5,7.666666666666667,12,3
25-6,7.666666666666667,12,3
25-7,7.666666666666667,12,3
