Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,NA,NA,NA,NA
8,16.18459701538086,0.0,0,1
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,NA,NA,NA,NA
29,NA,NA,NA,NA
30,NA,NA,NA,NA
31,35.54360365867615,7.5,20,34
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,11.71460509300232,2.0,2,1
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,NA,NA,NA,NA
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,26.792579174041748,6.0,6,1
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,10.841043472290039,9.0,9,1
57,NA,NA,NA,NA
58,NA,NA,NA,NA
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,12.069506645202637,10.5,14,6
62,NA,NA,NA,NA
63,41.73700785636902,4.0,4,1
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,107.3530433177948,18.555555555555557,27,36
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,21.65975522994995,18.166666666666668,22,6
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,23.992834091186523,28.5,34,4
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,11.640663623809814,3.0,3,1
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,NA,NA,NA,NA
91,15.792914628982544,6.166666666666667,11,6
92,NA,NA,NA,NA
93,46.56248927116394,8.25,14,16
94,NA,NA,NA,NA
95,NA,NA,NA,NA
96,NA,NA,NA,NA
97,21.08034586906433,0.0,0,1
98,NA,NA,NA,NA
99,NA,NA,NA,NA
