Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,19.625,33,32
1,18.9,28,20
2,30.666666666666668,46,72
3,27.229134104407628,68,3199
4,12.0,23,20
5,41.22291666666667,69,3840
6,13.9,30,30
7,0.0,0,1
8,5.875,16,8
9,5.428571428571429,16,21
10,9.0,9,1
11,5.0,10,4
12,11.0,14,2
13,2.0,2,1
14,15.055555555555555,24,18
15,10.714285714285714,25,35
16,14.5,16,2
17,36.5,60,800
18,15.866666666666667,28,60
19,21.74561403508772,44,114
20,21.708333333333332,35,96
21,20.0,26,3
22,16.72,38,200
23,14.666666666666666,27,18
24,11.5,16,8
25,17.125,35,96
26,5.0,6,2
27,3.0,3,1
28,13.8,29,45
29,49.74825174825175,84,1144
30,9.0,9,1
31,3.0,5,2
32,9.0,28,50
33,6.5,13,4
34,0.0,0,1
35,13.454545454545455,28,11
36,17.8,29,20
37,5.5,8,2
38,6.5,14,6
39,NA,NA,NA
40,52.833333333333336,82,864
41,50.5,58,14
42,24.0,27,4
43,13.1,25,40
44,27.0,62,2496
45,41.166666666666664,73,2754
46,19.0,21,2
47,55.88333333333333,73,120
48,24.0,28,6
49,3.0,3,1
50,1.0,1,1
51,7.0,9,2
52,7.0,10,4
53,NA,NA,NA
54,16.3625,45,640
55,23.266666666666666,45,360
56,5.0,5,1
57,15.0,19,6
58,NA,NA,NA
59,42.40238095238095,91,10500
60,21.45,53,3600
61,54.0,62,4
62,32.66162436548223,81,19700
63,1.0,1,1
64,0.0,0,1
65,16.5,25,32
66,2.8,10,5
67,26.875,68,4752
68,12.0,16,3
69,10.0,10,1
70,8.928571428571429,22,14
71,20.0,39,576
72,24.166666666666668,31,24
73,5.0,7,3
74,1.0,1,1
75,8.375,24,16
76,23.066666666666666,41,45
77,13.5,16,4
78,9.0,9,1
79,NA,NA,NA
80,25.046875,44,128
81,11.818181818181818,22,44
82,29.0933908045977,63,696
83,29.856854838709676,76,4464
84,0.0,0,1
85,26.0,36,18
86,21.666666666666668,30,27
87,20.0,20,1
88,26.833333333333332,42,216
89,NA,NA,NA
90,11.714285714285714,30,35
91,17.666666666666668,45,480
92,4.0,8,6
93,8.6,17,5
94,5.2,11,5
95,NA,NA,NA
96,30.9375,69,6144
97,32.639430894308944,64,7380
98,17.38888888888889,29,36
99,15.666666666666666,22,18
