Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,37.1,45,20
1,23.433333333333334,49,2160
2,0.0,0,1
3,20.265734265734267,53,1716
4,6.5,12,4
5,50.64563106796116,79,412
6,9.872727272727273,26,165
7,8.0,8,1
8,26.0,46,126
9,16.0,25,24
10,6.0,6,1
11,21.0,38,108
12,NA,NA,NA
13,6.2,14,15
14,15.75,24,8
15,29.233333333333334,51,540
16,15.785714285714286,25,14
17,6.0,7,2
18,NA,NA,NA
19,15.428571428571429,27,28
20,5.0,5,1
21,NA,NA,NA
22,6.0,6,1
23,22.125,34,112
24,11.5,15,6
25,18.333333333333332,33,144
26,41.86363636363637,52,44
27,3.0,3,1
28,NA,NA,NA
29,22.75,33,24
30,NA,NA,NA
31,37.17857142857143,74,4032
32,18.89189189189189,33,74
33,17.857142857142858,48,847
34,NA,NA,NA
35,10.0,10,1
36,NA,NA,NA
37,10.5,14,2
38,34.6875,49,128
39,NA,NA,NA
40,11.4,18,5
41,30.84090909090909,53,1056
42,7.0,10,3
43,11.538461538461538,20,13
44,NA,NA,NA
45,NA,NA,NA
46,22.45257452574526,49,369
47,16.0,49,66
48,5.0,9,4
49,81.16666666666667,105,2592
50,NA,NA,NA
51,27.0,38,16
52,NA,NA,NA
53,NA,NA,NA
54,28.215384615384615,56,1300
55,34.666666666666664,48,12
56,8.0,39,174
57,NA,NA,NA
58,NA,NA,NA
59,12.25,18,4
60,13.325,42,640
61,10.0,12,3
62,19.7,29,10
63,NA,NA,NA
64,28.333333333333332,45,672
65,4.0,4,1
66,20.660633484162897,62,11934
67,32.022222222222226,54,270
68,7.4,13,5
69,9.333333333333334,12,3
70,2.0,8,4
71,11.0,11,1
72,33.5,41,8
73,27.793333333333333,64,2700
74,NA,NA,NA
75,19.0,24,8
76,NA,NA,NA
77,37.940350877192984,74,5700
78,9.0,9,1
79,32.72222222222222,52,72
80,19.5,21,2
81,15.333333333333334,25,9
82,NA,NA,NA
83,19.60909090909091,35,110
84,21.572944297082227,69,1508
85,NA,NA,NA
86,16.5,28,16
87,26.75,32,8
88,7.5,10,2
89,14.777777777777779,27,27
90,NA,NA,NA
91,22.816666666666666,48,480
92,23.467032967032967,47,182
93,7.5,13,4
94,NA,NA,NA
95,NA,NA,NA
96,NA,NA,NA
97,23.0,35,96
98,30.75,52,128
99,18.5,37,288
