name of the signature,size of the module
0,57
1,43
2,9
3,85
4,18
5,68
6,38
7,76
8,0
9,41
10,61
11,26
12,161
13,30
14,13
15,83
16,83
17,136
18,76
19,12
20,64
21,18
22,41
23,34
24,19
25,10
26,27
27,37
28,21
29,96
30,62
31,29
32,55
33,26
34,94
35,27
36,2
37,82
38,8
39,74
40,27
41,8
42,57
43,46
44,9
45,14
46,63
47,12
48,2
49,55
50,39
51,63
52,5
53,63
54,19
55,70
56,9
57,129
58,10
59,117
60,49
61,12
62,100
63,2
64,74
65,15
66,49
67,27
68,34
69,68
70,18
71,29
72,14
73,18
74,40
75,57
76,4
77,21
78,3
79,47
80,66
81,16
82,13
83,66
84,9
85,13
86,98
87,84
88,38
89,131
90,43
91,17
92,24
93,16
94,0
95,95
96,14
97,0
98,19
99,31
