Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,33,67,420
1,30,68,9072
2,9,9,1
3,11,12,2
4,5,5,1
5,20,45,522
6,NA,NA,NA
7,38,41,2
8,18,55,1188
9,19,19,1
10,16,16,1
11,32,33,2
12,50,71,384
13,11,40,252
14,37,40,3
15,9,9,1
16,2,2,1
17,1,1,1
18,7,11,3
19,3,3,1
20,9,21,36
21,30,62,711
22,29,63,891
23,17,32,32
24,13,29,156
25,14,20,10
26,41,65,768
27,18,66,6864
28,6,6,1
29,9,11,2
30,NA,NA,NA
31,5,11,6
32,NA,NA,NA
33,2,2,1
34,6,11,4
35,6,19,9
36,32,43,28
37,6,6,1
38,9,9,1
39,21,48,1164
40,NA,NA,NA
41,8,19,48
42,28,57,192
43,43,50,4
44,5,5,1
45,1,1,1
46,62,95,1536
47,14,19,12
48,22,63,3360
49,11,11,1
50,5,7,2
51,9,24,24
52,17,38,230
53,45,78,2320
54,14,23,24
55,25,52,192
56,17,26,24
57,28,41,30
58,15,23,14
59,19,24,18
60,12,27,84
61,13,23,24
62,10,10,1
63,19,24,6
64,NA,NA,NA
65,12,73,2160
66,26,28,4
67,10,10,1
68,11,24,16
69,16,21,9
70,NA,NA,NA
71,9,9,1
72,18,20,3
73,57,74,60
74,10,21,15
75,28,67,2040
76,11,20,20
77,4,6,2
78,41,56,20
79,12,31,78
80,14,48,2256
81,18,31,10
82,19,24,6
83,4,6,2
84,12,38,108
85,35,44,40
86,15,21,6
87,18,18,1
88,1,1,1
89,8,15,18
90,26,38,18
91,15,15,1
92,14,22,30
93,4,4,1
94,NA,NA,NA
95,5,5,1
96,2,2,1
97,11,11,1
98,12,24,18
99,9,27,40
