name of the signature,size of the module
0,80
1,98
2,9
3,29
4,5
5,49
6,31
7,52
8,67
9,19
10,18
11,37
12,75
13,54
14,49
15,9
16,2
17,1
18,32
19,3
20,35
21,95
22,59
23,26
24,37
25,33
26,91
27,76
28,6
29,21
30,89
31,16
32,161
33,2
34,15
35,14
36,47
37,6
38,9
39,66
40,130
41,43
42,69
43,48
44,5
45,3
46,113
47,40
48,58
49,11
50,9
51,33
52,43
53,110
54,48
55,76
56,24
57,70
58,33
59,45
60,33
61,35
62,10
63,29
64,70
65,96
66,36
67,24
68,31
69,34
70,99
71,16
72,24
73,72
74,20
75,63
76,25
77,12
78,58
79,35
80,61
81,35
82,31
83,5
84,47
85,47
86,30
87,26
88,3
89,31
90,40
91,21
92,25
93,4
94,127
95,9
96,2
97,17
98,25
99,31
