Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,21.0,22,2
0-2,21.0,22,2
0-3,21.0,22,2
0-4,21.0,22,2
0-5,21.0,22,2
0-6,21.0,22,2
0-7,21.0,22,2
0-8,21.0,22,2
0-9,21.0,22,2
0-10,21.0,22,2
1-1,24.433333333333334,43,120
1-2,24.433333333333334,43,120
1-3,24.433333333333334,43,120
1-4,24.433333333333334,43,120
1-5,24.433333333333334,43,120
1-6,24.433333333333334,43,120
1-7,24.433333333333334,43,120
1-8,24.433333333333334,43,120
1-9,24.433333333333334,43,120
1-10,24.433333333333334,43,120
2-1,6.5,8,2
2-2,6.5,8,2
2-3,6.5,8,2
2-4,6.5,8,2
2-5,6.5,8,2
2-6,6.5,8,2
2-7,6.5,8,2
2-8,6.5,8,2
2-9,6.5,8,2
2-10,6.5,8,2
3-1,14.433333333333334,27,60
3-2,14.433333333333334,27,60
3-3,14.433333333333334,27,60
3-4,14.433333333333334,27,60
3-5,14.433333333333334,27,60
3-6,14.433333333333334,27,60
3-7,14.433333333333334,27,60
3-8,14.433333333333334,27,60
3-9,14.433333333333334,27,60
3-10,14.433333333333334,27,60
4-1,21.866666666666667,45,630
4-2,21.866666666666667,45,630
4-3,21.866666666666667,45,630
4-4,21.866666666666667,45,630
4-5,21.866666666666667,45,630
4-6,21.866666666666667,45,630
4-7,21.866666666666667,45,630
4-8,21.866666666666667,45,630
4-9,21.866666666666667,45,630
4-10,21.866666666666667,45,630
5-1,16.333333333333332,21,6
5-2,16.333333333333332,21,6
5-3,16.333333333333332,21,6
5-4,16.333333333333332,21,6
5-5,16.333333333333332,21,6
5-6,16.333333333333332,21,6
5-7,16.333333333333332,21,6
5-8,16.333333333333332,21,6
5-9,16.333333333333332,21,6
5-10,16.333333333333332,21,6
6-1,21.0,26,18
6-2,21.0,26,18
6-3,21.0,26,18
6-4,21.0,26,18
6-5,21.0,26,18
6-6,21.0,26,18
6-7,21.0,26,18
6-8,21.0,26,18
6-9,21.0,26,18
6-10,21.0,26,18
7-1,38.76881720430107,61,1860
7-2,38.76881720430107,61,1860
7-3,38.76881720430107,61,1860
7-4,38.76881720430107,61,1860
7-5,38.76881720430107,61,1860
7-6,38.76881720430107,61,1860
7-7,38.76881720430107,61,1860
7-8,38.76881720430107,61,1860
7-9,38.76881720430107,61,1860
7-10,38.76881720430107,61,1860
8,NA,NA,NA
9,NA,NA,NA
10-1,12.91891891891892,26,37
10-2,12.91891891891892,26,37
10-3,12.91891891891892,26,37
10-4,12.91891891891892,26,37
10-5,12.91891891891892,26,37
10-6,12.91891891891892,26,37
10-7,12.91891891891892,26,37
10-8,12.91891891891892,26,37
10-9,12.91891891891892,26,37
10-10,12.91891891891892,26,37
11-1,7.5,9,2
11-2,7.5,9,2
11-3,7.5,9,2
11-4,7.5,9,2
11-5,7.5,9,2
11-6,7.5,9,2
11-7,7.5,9,2
11-8,7.5,9,2
11-9,7.5,9,2
11-10,7.5,9,2
12-1,16.0,16,1
12-2,16.0,16,1
12-3,16.0,16,1
12-4,16.0,16,1
12-5,16.0,16,1
12-6,16.0,16,1
12-7,16.0,16,1
12-8,16.0,16,1
12-9,16.0,16,1
12-10,16.0,16,1
13-1,6.4,15,5
13-2,6.4,15,5
13-3,6.4,15,5
13-4,6.4,15,5
13-5,6.4,15,5
13-6,6.4,15,5
13-7,6.4,15,5
13-8,6.4,15,5
13-9,6.4,15,5
13-10,6.4,15,5
14-1,9.0,9,1
14-2,9.0,9,1
14-3,9.0,9,1
14-4,9.0,9,1
14-5,9.0,9,1
14-6,9.0,9,1
14-7,9.0,9,1
14-8,9.0,9,1
14-9,9.0,9,1
14-10,9.0,9,1
15-1,7.4,26,140
15-2,7.4,26,140
15-3,7.4,26,140
15-4,7.4,26,140
15-5,7.4,26,140
15-6,7.4,26,140
15-7,7.4,26,140
15-8,7.4,26,140
15-9,7.4,26,140
15-10,7.4,26,140
16-1,6.2727272727272725,14,11
16-2,6.2727272727272725,14,11
16-3,6.2727272727272725,14,11
16-4,6.2727272727272725,14,11
16-5,6.2727272727272725,14,11
16-6,6.2727272727272725,14,11
16-7,6.2727272727272725,14,11
16-8,6.2727272727272725,14,11
16-9,6.2727272727272725,14,11
16-10,6.2727272727272725,14,11
17,NA,NA,NA
18-1,20.0,36,126
18-2,20.0,36,126
18-3,20.0,36,126
18-4,20.0,36,126
18-5,20.0,36,126
18-6,20.0,36,126
18-7,20.0,36,126
18-8,20.0,36,126
18-9,20.0,36,126
18-10,20.0,36,126
19-1,15.0,20,3
19-2,15.0,20,3
19-3,15.0,20,3
19-4,15.0,20,3
19-5,15.0,20,3
19-6,15.0,20,3
19-7,15.0,20,3
19-8,15.0,20,3
19-9,15.0,20,3
19-10,15.0,20,3
20-1,18.822222222222223,32,45
20-2,18.822222222222223,32,45
20-3,18.822222222222223,32,45
20-4,18.822222222222223,32,45
20-5,18.822222222222223,32,45
20-6,18.822222222222223,32,45
20-7,18.822222222222223,32,45
20-8,18.822222222222223,32,45
20-9,18.822222222222223,32,45
20-10,18.822222222222223,32,45
21-1,18.948320413436694,47,387
21-2,18.948320413436694,47,387
21-3,18.948320413436694,47,387
21-4,18.948320413436694,47,387
21-5,18.948320413436694,47,387
21-6,18.948320413436694,47,387
21-7,18.948320413436694,47,387
21-8,18.948320413436694,47,387
21-9,18.948320413436694,47,387
21-10,18.948320413436694,47,387
22-1,65.84285714285714,89,560
22-2,65.84285714285714,89,560
22-3,65.84285714285714,89,560
22-4,65.84285714285714,89,560
22-5,65.84285714285714,89,560
22-6,65.84285714285714,89,560
22-7,65.84285714285714,89,560
22-8,65.84285714285714,89,560
22-9,65.84285714285714,89,560
22-10,65.84285714285714,89,560
23-1,16.476190476190474,35,252
23-2,16.476190476190474,35,252
23-3,16.476190476190474,35,252
23-4,16.476190476190474,35,252
23-5,16.476190476190474,35,252
23-6,16.476190476190474,35,252
23-7,16.476190476190474,35,252
23-8,16.476190476190474,35,252
23-9,16.476190476190474,35,252
23-10,16.476190476190474,35,252
24,NA,NA,NA
25-1,16.133333333333333,29,60
25-2,16.133333333333333,29,60
25-3,16.133333333333333,29,60
25-4,16.133333333333333,29,60
25-5,16.133333333333333,29,60
25-6,16.133333333333333,29,60
25-7,16.133333333333333,29,60
25-8,16.133333333333333,29,60
25-9,16.133333333333333,29,60
25-10,16.133333333333333,29,60
26-1,36.26190476190476,51,126
26-2,36.26190476190476,51,126
26-3,36.26190476190476,51,126
26-4,36.26190476190476,51,126
26-5,36.26190476190476,51,126
26-6,36.26190476190476,51,126
26-7,36.26190476190476,51,126
26-8,36.26190476190476,51,126
26-9,36.26190476190476,51,126
26-10,36.26190476190476,51,126
27,NA,NA,NA
28-1,27.0,30,4
28-2,27.0,30,4
28-3,27.0,30,4
28-4,27.0,30,4
28-5,27.0,30,4
28-6,27.0,30,4
28-7,27.0,30,4
28-8,27.0,30,4
28-9,27.0,30,4
28-10,27.0,30,4
29,NA,NA,NA
30-1,19.428571428571427,36,112
30-2,19.428571428571427,36,112
30-3,19.428571428571427,36,112
30-4,19.428571428571427,36,112
30-5,19.428571428571427,36,112
30-6,19.428571428571427,36,112
30-7,19.428571428571427,36,112
30-8,19.428571428571427,36,112
30-9,19.428571428571427,36,112
30-10,19.428571428571427,36,112
31-1,56.0,58,2
31-2,56.0,58,2
31-3,56.0,58,2
31-4,56.0,58,2
31-5,56.0,58,2
31-6,56.0,58,2
31-7,56.0,58,2
31-8,56.0,58,2
31-9,56.0,58,2
31-10,56.0,58,2
32-1,0.0,0,1
32-2,0.0,0,1
32-3,0.0,0,1
32-4,0.0,0,1
32-5,0.0,0,1
32-6,0.0,0,1
32-7,0.0,0,1
32-8,0.0,0,1
32-9,0.0,0,1
32-10,0.0,0,1
33-1,6.0,7,2
33-2,6.0,7,2
33-3,6.0,7,2
33-4,6.0,7,2
33-5,6.0,7,2
33-6,6.0,7,2
