load_time
13.60828
k,sig_time
0,0.30135
1,0.32381
2,0.27577
3,0.30059
4,0.27557
5,0.28262
6,0.29063
7,0.30862
8,0.28931
9,0.28033
10,0.2771
11,0.29008
12,0.32081
13,0.30284
14,0.31531
15,0.27132
16,0.24361
17,0.24316
18,0.28868
19,0.2646
20,0.30172
21,0.30377
22,0.29854
23,0.28235
24,0.3241
25,0.28179
26,0.30196
27,0.28852
28,0.25268
29,0.26988
30,0.34574
31,0.26304
32,0.34751
33,0.25685
34,0.26837
35,0.2444
36,0.30124
37,0.25224
38,0.26504
39,0.31802
40,0.34687
41,0.29252
42,0.31939
43,0.29659
44,0.26753
45,0.25157
46,0.33581
47,0.3005
48,0.29185
49,0.24885
50,0.26414
51,0.2843
52,0.27587
53,0.31744
54,0.2896
55,0.34407
56,0.30644
57,0.30094
58,0.27122
59,0.28243
60,0.2813
61,0.26687
62,0.26249
63,0.28371
64,0.30321
65,0.3073
66,0.28467
67,0.27864
68,0.28885
69,0.27899
70,0.3311
71,0.26235
72,0.25613
73,0.30608
74,0.28036
75,0.29833
76,0.27351
77,0.25319
78,0.32277
79,0.27256
80,0.29421
81,0.28465
82,0.29431
83,0.26151
84,0.28135
85,0.32077
86,0.27784
87,0.2906
88,0.25535
89,0.28
90,0.28545
91,0.30107
92,0.27489
93,0.26775
94,0.34955
95,0.26571
96,0.2522
97,0.27372
98,0.27395
99,0.2692
