load_time
13.69008
k,sig_time
0,0.25928
1,0.26667
2,0.26545
3,0.1779
4,0.3059
5,0.29868
6,0.33371
7,0.29697
8,0.27431
9,0.27604
10,0.27349
11,0.25177
12,0.28086
13,0.26132
14,0.28253
15,0.3168
16,0.26589
17,0.30321
18,0.29372
19,0.3093
20,0.31962
21,0.32475
22,0.29144
23,0.32706
24,0.29474
25,0.32355
26,0.2891
27,0.27111
28,0.30754
29,0.27875
30,0.26796
31,0.27123
32,0.26531
33,0.30625
34,0.28447
35,0.27978
36,0.32
37,0.28404
38,0.27989
39,0.27041
40,0.31979
41,0.37659
42,0.31773
43,0.28293
44,0.28148
45,0.65567
46,0.27723
47,0.281
48,0.35809
49,0.28961
50,0.32222
51,0.25619
52,0.30261
53,0.30271
54,0.29094
55,0.29604
56,0.27697
57,0.30762
58,0.28416
59,0.28525
60,0.32302
61,0.28344
62,0.26061
63,0.29884
64,0.34556
65,0.28946
66,0.30814
67,0.27081
68,0.28086
69,0.28763
70,0.28301
71,0.27799
72,0.31743
73,0.31288
74,0.2672
75,0.3207
76,0.35092
77,0.24932
78,0.35511
79,0.27455
80,0.31232
81,0.29316
82,0.28062
83,0.30768
84,0.27212
85,0.33096
86,0.28169
87,0.29849
88,0.28576
89,0.26598
90,0.28804
91,0.31387
92,0.30679
93,0.29528
94,0.28172
95,0.26213
96,0.29418
97,0.2849
98,0.30999
99,0.26224
