Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,20.0,21,2
1,22.6,36,20
2,6.0,6,1
3,13.933333333333334,25,30
4,21.866666666666667,45,630
5,10.666666666666666,16,9
6,16.0,17,2
7,38.76881720430107,61,1860
8,NA,NA,NA
9,46.142857142857146,87,18144
10,12.91891891891892,26,37
11,7.5,9,2
12,9.0,9,1
13,6.4,15,5
14,9.0,9,1
15,7.222222222222222,24,126
16,6.2727272727272725,14,11
17,NA,NA,NA
18,20.0,36,126
19,15.0,20,3
20,18.822222222222223,32,45
21,18.948320413436694,47,387
22,64.84285714285714,86,280
23,17.142857142857142,32,126
24,NA,NA,NA
25,16.133333333333333,29,60
26,36.26190476190476,51,126
27,NA,NA,NA
28,27.0,30,4
29,NA,NA,NA
30,19.428571428571427,36,112
31,56.0,58,2
32,0.0,0,1
33,6.0,7,2
34,19.903581267217632,58,1089
35,14.2,20,5
36,34.0,41,8
37,32.523109243697476,71,15232
38,44.333333333333336,57,72
39,23.2,36,540
40,25.0,31,12
41,3.0,3,1
42,0.0,0,1
43,28.5,35,24
44,13.11111111111111,30,45
45,16.5,34,84
46,24.0,31,8
47,13.0,14,2
48,62.77619047619048,94,6720
49,18.5,31,48
50,NA,NA,NA
51,2.5,5,2
52,20.0,22,4
53,18.0,22,2
54,21.9,33,40
55,20.595238095238095,55,5292
56,30.5,34,4
57,32.0,36,4
58,8.0,8,1
59,13.5,17,4
60,12.666666666666666,20,30
61,7.538461538461538,32,13
62,4.0,4,1
63,20.0,27,12
64,5.0,8,3
65,NA,NA,NA
66,32.4,61,3000
67,12.0,19,5
68,19.733333333333334,36,45
69,2.0,2,1
70,34.0,34,1
71,NA,NA,NA
72,NA,NA,NA
73,19.625,36,72
74,6.0,6,1
75,35.96212121212121,52,132
76,32.05128205128205,75,2184
77,29.916666666666668,42,12
78,15.071428571428571,27,56
79,27.681818181818183,58,528
80,6.0,9,2
81,17.5,27,12
82,7.0,7,1
83,18.166666666666668,30,36
84,11.5,20,24
85,9.75,15,4
86,4.0,4,1
87,17.833333333333332,24,6
88,24.0,28,2
89,23.72222222222222,37,90
90,14.470588235294118,28,170
91,7.0,7,1
92,28.325,52,720
93,3.0,3,1
94,NA,NA,NA
95,5.0,7,3
96,24.5,52,480
97,NA,NA,NA
98,18.6,35,270
99,33.2,49,90
