Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,29,52,1274
2,12,24,18
3,27,37,22
4,22,49,1472
5,NA,NA,NA
6,19,40,112
7,9,12,3
8,NA,NA,NA
9,7,12,3
10,28,52,600
11,21,52,300
12,40,68,4320
13,20,30,12
14,18,28,12
15,23,52,2845
16,NA,NA,NA
17,27,48,1224
18,24,37,120
19,20,45,648
20,NA,NA,NA
21,29,50,720
22,NA,NA,NA
23,12,13,2
24,NA,NA,NA
25,NA,NA,NA
26,16,45,482
27,NA,NA,NA
28,0,0,1
29,28,39,24
30,NA,NA,NA
31,NA,NA,NA
32,NA,NA,NA
33,NA,NA,NA
34,25,51,900
35,29,65,5616
36,49,60,48
37,3,3,1
38,26,32,8
39,44,59,144
40,6,9,6
41,13,13,1
42,14,18,4
43,NA,NA,NA
44,NA,NA,NA
45,22,43,1260
46,NA,NA,NA
47,19,42,135
48,9,23,28
49,34,55,288
50,28,51,144
51,13,17,4
52,NA,NA,NA
53,23,28,9
54,NA,NA,NA
55,NA,NA,NA
56,4,9,3
57,11,15,8
58,4,8,3
59,34,65,672
60,12,33,43
61,9,9,1
62,NA,NA,NA
63,24,36,60
64,NA,NA,NA
65,16,39,78
66,9,13,3
67,44,63,120
68,58,71,24
69,7,13,9
70,NA,NA,NA
71,9,17,8
72,21,38,42
73,NA,NA,NA
74,6,16,12
75,23,33,96
76,NA,NA,NA
77,29,39,24
78,NA,NA,NA
79,NA,NA,NA
80,37,47,16
81,NA,NA,NA
82,NA,NA,NA
83,37,65,90
84,NA,NA,NA
85,NA,NA,NA
86,10,12,3
87,50,80,7200
88,12,12,1
89,32,54,342
90,18,27,5
91,20,47,312
92,30,62,900
93,NA,NA,NA
94,26,34,18
95,NA,NA,NA
96,6,6,1
97,38,41,4
98,47,77,448
99,13,51,560
