Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,24.433333333333334,43,120
2,6.5,8,2
3,14.433333333333334,27,60
4,21.866666666666667,45,630
5,16.333333333333332,21,6
6,21.0,26,18
7,NA,NA,NA
8,NA,NA,NA
9,46.392857142857146,89,24192
10,12.91891891891892,26,37
11,7.5,9,2
12,16.0,16,1
13,6.4,15,5
14,NA,NA,NA
15,7.4,26,140
16,6.2727272727272725,14,11
17,NA,NA,NA
18,20.0,36,126
19,15.0,20,3
20,18.822222222222223,32,45
21,18.948320413436694,47,387
22,65.84285714285714,89,560
23,16.476190476190474,35,252
24,NA,NA,NA
25,16.133333333333333,29,60
26,36.26190476190476,51,126
27,NA,NA,NA
28,27.0,30,4
29,NA,NA,NA
30,NA,NA,NA
31,56.0,58,2
32,0.0,0,1
33,6.0,7,2
34,26.903581267217632,74,8712
35,14.2,20,5
36,35.0,44,16
37,NA,NA,NA
38,45.333333333333336,60,144
39,23.2,36,540
40,NA,NA,NA
41,6.6,15,5
42,0.0,0,1
43,NA,NA,NA
44,13.11111111111111,30,45
45,16.6,36,140
46,25.0,35,32
47,13.0,14,2
48,63.77619047619048,97,13440
49,18.5,32,96
50,NA,NA,NA
51,2.5,5,2
52,20.0,22,4
53,48.5,59,16
54,41.5,50,16
55,NA,NA,NA
56,32.0,37,8
57,33.0,39,8
58,8.0,8,1
59,13.5,17,4
60,22.666666666666668,31,36
61,9.538461538461538,34,13
62,4.0,4,1
63,20.0,27,12
64,5.0,8,3
65,NA,NA,NA
66,NA,NA,NA
67,NA,NA,NA
68,30.0,48,54
69,2.0,2,1
70,34.0,34,1
71,NA,NA,NA
72,NA,NA,NA
73,19.625,36,72
74,6.0,6,1
75,35.96212121212121,52,132
76,38.69230769230769,88,14976
77,30.416666666666668,44,24
78,15.071428571428571,27,56
79,31.071428571428573,64,1680
80,10.0,14,4
81,NA,NA,NA
82,9.0,10,2
83,18.916666666666668,34,96
84,NA,NA,NA
85,22.25,50,64
86,4.0,4,1
87,17.833333333333332,24,6
88,25.0,31,4
89,26.72222222222222,40,90
90,14.470588235294118,28,170
91,7.0,7,1
92,28.325,52,720
93,NA,NA,NA
94,NA,NA,NA
95,12.865384615384615,24,52
96,NA,NA,NA
97,NA,NA,NA
98,21.1,40,540
99,33.2,49,90
