Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,37.1,45,20
0-2,37.1,45,20
0-3,37.1,45,20
0-4,37.1,45,20
0-5,37.1,45,20
0-6,37.1,45,20
0-7,37.1,45,20
0-8,37.1,45,20
0-9,37.1,45,20
0-10,37.1,45,20
1-1,23.433333333333334,49,2160
1-2,23.433333333333334,49,2160
1-3,23.433333333333334,49,2160
1-4,23.433333333333334,49,2160
1-5,23.433333333333334,49,2160
1-6,23.433333333333334,49,2160
1-7,23.433333333333334,49,2160
1-8,23.433333333333334,49,2160
1-9,23.433333333333334,49,2160
1-10,23.433333333333334,49,2160
2-1,0.0,0,1
2-2,0.0,0,1
2-3,0.0,0,1
2-4,0.0,0,1
2-5,0.0,0,1
2-6,0.0,0,1
2-7,0.0,0,1
2-8,0.0,0,1
2-9,0.0,0,1
2-10,0.0,0,1
3-1,20.265734265734267,53,1716
3-2,20.265734265734267,53,1716
3-3,20.265734265734267,53,1716
3-4,20.265734265734267,53,1716
3-5,20.265734265734267,53,1716
3-6,20.265734265734267,53,1716
3-7,20.265734265734267,53,1716
3-8,20.265734265734267,53,1716
3-9,20.265734265734267,53,1716
3-10,20.265734265734267,53,1716
4-1,6.5,12,4
4-2,6.5,12,4
4-3,6.5,12,4
4-4,6.5,12,4
4-5,6.5,12,4
4-6,6.5,12,4
4-7,6.5,12,4
4-8,6.5,12,4
4-9,6.5,12,4
4-10,6.5,12,4
5-1,50.64563106796116,79,412
5-2,50.64563106796116,79,412
5-3,50.64563106796116,79,412
5-4,50.64563106796116,79,412
5-5,50.64563106796116,79,412
5-6,50.64563106796116,79,412
5-7,50.64563106796116,79,412
5-8,50.64563106796116,79,412
5-9,50.64563106796116,79,412
5-10,50.64563106796116,79,412
6-1,9.872727272727273,26,165
6-2,9.872727272727273,26,165
6-3,9.872727272727273,26,165
6-4,9.872727272727273,26,165
6-5,9.872727272727273,26,165
6-6,9.872727272727273,26,165
6-7,9.872727272727273,26,165
6-8,9.872727272727273,26,165
6-9,9.872727272727273,26,165
6-10,9.872727272727273,26,165
7-1,8.0,8,1
7-2,8.0,8,1
7-3,8.0,8,1
7-4,8.0,8,1
7-5,8.0,8,1
7-6,8.0,8,1
7-7,8.0,8,1
7-8,8.0,8,1
7-9,8.0,8,1
7-10,8.0,8,1
8-1,26.0,46,126
8-2,26.0,46,126
