Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,35.75,72,1760
1,29.74206349206349,68,9072
2,9.0,9,1
3,11.0,12,2
4,8.0,13,3
5,19.362068965517242,45,522
6,NA,NA,NA
7,53.0,62,8
8,15.562770562770563,59,1617
9,26.333333333333332,29,3
10,15.333333333333334,18,3
11,32.0,33,2
12,75.79166666666667,103,1536
13,12.3,50,800
14,46.142857142857146,67,63
15,NA,NA,NA
16,2.0,2,1
17,3.0,6,4
18,NA,NA,NA
19,NA,NA,NA
20,13.11111111111111,27,72
21,29.025316455696203,62,711
22,NA,NA,NA
23,24.916666666666668,42,192
24,NA,NA,NA
25,13.4,20,10
26,39.25,67,1536
27,NA,NA,NA
28,6.0,6,1
29,9.5,11,2
30,NA,NA,NA
31,5.5,11,6
32,NA,NA,NA
33,2.0,2,1
34,9.2,17,5
35,14.521072796934867,46,1566
36,32.5,43,28
37,9.0,14,4
38,22.666666666666668,34,27
39,20.027491408934708,48,1164
40,73.0,90,224
41,6.833333333333333,21,72
42,NA,NA,NA
43,46.0,53,8
44,NA,NA,NA
45,5.0,8,2
46,NA,NA,NA
47,12.5,19,12
48,18.21170463472113,74,5092
49,11.0,11,1
50,10.0,12,2
51,13.523809523809524,29,42
52,15.930434782608696,38,230
53,43.563793103448276,78,2320
54,13.333333333333334,25,36
55,33.391666666666666,61,240
56,17.0,26,24
57,26.033333333333335,41,30
58,NA,NA,NA
59,17.5,24,18
60,12.738095238095237,27,84
61,NA,NA,NA
62,11.0,11,1
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,57.5,61,4
67,10.0,10,1
68,NA,NA,NA
69,15.0,21,9
70,NA,NA,NA
71,9.0,9,1
72,19.666666666666668,22,3
73,59.666666666666664,79,240
74,9.2,21,15
75,30.78627450980392,71,6120
76,10.9,20,20
77,4.5,6,2
78,41.1,58,40
79,13.602564102564102,31,78
80,15.664893617021276,48,2256
81,18.1,31,10
82,18.5,24,6
83,7.0,10,2
84,16.97222222222222,45,324
85,35.5,51,128
86,15.5,21,6
87,NA,NA,NA
88,1.0,1,1
89,NA,NA,NA
90,28.0,38,18
91,22.0,23,2
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,5.0,5,1
96,2.0,2,1
97,11.0,11,1
98,11.619047619047619,25,21
99,13.75,27,40
