Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15.3,26,30
1,14.75,28,48
2,6.0,12,6
3,NA,NA,NA
4,NA,NA,NA
5,24.333333333333332,40,144
6,37.2,57,150
7,22.58213474640424,86,6605
8,9.545454545454545,25,11
9,NA,NA,NA
10,15.0,21,3
11,36.13333333333333,59,1080
12,NA,NA,NA
13,14.805555555555555,59,1944
14,NA,NA,NA
15,17.5,23,4
16,NA,NA,NA
17,21.48,53,2000
18,NA,NA,NA
19,7.0,10,3
20,5.0,8,4
21,13.331460674157304,32,178
22,29.333333333333332,40,12
23,9.8,17,10
24,19.0,25,6
25,5.0,6,2
26,25.071428571428573,47,140
27,12.0,15,4
28,21.5,25,4
29,21.872463768115942,47,345
30,30.579098608590442,71,13224
31,13.637931034482758,33,58
32,5.5,11,6
33,42.0,77,720
34,17.0,22,6
35,NA,NA,NA
36,34.5,43,16
37,2.0,2,1
38,19.928571428571427,32,140
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,13.333333333333334,16,3
43,7.5,13,4
44,NA,NA,NA
45,18.714285714285715,30,28
46,8.416666666666666,27,48
47,NA,NA,NA
48,18.5,33,36
49,15.5,18,2
50,11.777777777777779,27,54
51,31.843589743589742,56,1950
52,26.5,32,8
53,22.666666666666668,32,12
54,NA,NA,NA
55,NA,NA,NA
56,22.783333333333335,52,960
57,27.333333333333332,35,9
58,23.666666666666668,37,24
59,8.0,9,2
60,NA,NA,NA
61,5.333333333333333,8,3
62,NA,NA,NA
63,21.0,25,8
64,6.0,6,1
65,20.0,27,16
66,61.31818181818182,77,352
67,20.0,38,576
68,9.571428571428571,19,7
69,NA,NA,NA
70,3.5,5,2
71,NA,NA,NA
72,40.5,47,16
73,18.375,41,384
74,24.095238095238095,37,42
75,NA,NA,NA
76,22.071428571428573,50,182
77,NA,NA,NA
78,29.916666666666668,54,768
79,0.0,0,1
80,21.852130325814535,47,399
81,16.416666666666668,35,108
82,7.0,7,1
83,18.0,18,1
84,8.0,11,4
85,10.45,32,20
86,NA,NA,NA
87,NA,NA,NA
88,11.34,34,100
89,NA,NA,NA
90,20.5,29,16
91,16.90277777777778,41,576
92,20.0,26,3
93,21.88235294117647,41,544
94,26.058280028429284,79,2814
95,13.5,31,60
96,NA,NA,NA
97,17.958333333333332,33,216
98,12.0,15,4
99,NA,NA,NA
