Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
33,10,16,48,847
34,1,65,84,96
34,2,65,84,96
34,3,65,84,96
34,4,65,84,96
34,5,65,84,96
34,6,65,84,96
34,7,65,84,96
34,8,65,84,96
34,9,65,84,96
34,10,65,84,96
35,1,10,10,1
35,2,10,10,1
35,3,10,10,1
35,4,10,10,1
35,5,10,10,1
35,6,10,10,1
35,7,10,10,1
35,8,10,10,1
35,9,10,10,1
35,10,10,10,1
36,1,17,30,45
36,2,17,30,45
36,3,17,30,45
36,4,17,30,45
36,5,17,30,45
36,6,17,30,45
36,7,17,30,45
36,8,17,30,45
36,9,17,30,45
36,10,17,30,45
37,1,11,14,2
37,2,11,14,2
37,3,11,14,2
37,4,11,14,2
37,5,11,14,2
37,6,11,14,2
37,7,11,14,2
37,8,11,14,2
37,9,11,14,2
37,10,11,14,2
38,1,35,49,128
38,2,35,49,128
38,3,35,49,128
38,4,35,49,128
38,5,35,49,128
38,6,35,49,128
38,7,35,49,128
38,8,35,49,128
38,9,35,49,128
38,10,35,49,128
39,1,NA,NA,NA
40,1,14,18,5
40,2,14,18,5
40,3,14,18,5
40,4,14,18,5
40,5,14,18,5
40,6,14,18,5
40,7,14,18,5
40,8,14,18,5
40,9,14,18,5
40,10,14,18,5
41,1,30,53,1056
41,2,30,53,1056
41,3,30,53,1056
41,4,30,53,1056
41,5,30,53,1056
41,6,30,53,1056
41,7,30,53,1056
41,8,30,53,1056
41,9,30,53,1056
41,10,30,53,1056
42,1,8,10,3
42,2,8,10,3
42,3,8,10,3
42,4,8,10,3
42,5,8,10,3
42,6,8,10,3
42,7,8,10,3
42,8,8,10,3
42,9,8,10,3
42,10,8,10,3
43,1,13,20,13
43,2,13,20,13
43,3,13,20,13
43,4,13,20,13
43,5,13,20,13
43,6,13,20,13
43,7,13,20,13
43,8,13,20,13
43,9,13,20,13
43,10,13,20,13
44,1,21,34,128
44,2,21,34,128
44,3,21,34,128
44,4,21,34,128
44,5,21,34,128
44,6,21,34,128
44,7,21,34,128
44,8,21,34,128
44,9,21,34,128
44,10,21,34,128
45,1,NA,NA,NA
46,1,23,49,369
46,2,23,49,369
46,3,23,49,369
46,4,23,49,369
46,5,23,49,369
46,6,23,49,369
46,7,23,49,369
46,8,23,49,369
46,9,23,49,369
46,10,23,49,369
47,1,16,49,66
47,2,16,49,66
47,3,16,49,66
47,4,16,49,66
47,5,16,49,66
47,6,16,49,66
47,7,16,49,66
47,8,16,49,66
47,9,16,49,66
47,10,16,49,66
48,1,5,9,4
48,2,5,9,4
48,3,5,9,4
48,4,5,9,4
48,5,5,9,4
48,6,5,9,4
48,7,5,9,4
48,8,5,9,4
48,9,5,9,4
48,10,5,9,4
49,1,77,105,2592
49,2,77,105,2592
49,3,77,105,2592
49,4,77,105,2592
49,5,77,105,2592
49,6,77,105,2592
49,7,77,105,2592
49,8,77,105,2592
49,9,77,105,2592
49,10,77,105,2592
50,1,NA,NA,NA
51,1,28,38,16
51,2,28,38,16
51,3,28,38,16
51,4,28,38,16
51,5,28,38,16
51,6,28,38,16
51,7,28,38,16
51,8,28,38,16
51,9,28,38,16
51,10,28,38,16
52,1,25,40,324
52,2,25,40,324
52,3,25,40,324
52,4,25,40,324
52,5,25,40,324
52,6,25,40,324
52,7,25,40,324
52,8,25,40,324
52,9,25,40,324
52,10,25,40,324
53,1,9,12,2
53,2,9,12,2
53,3,9,12,2
53,4,9,12,2
53,5,9,12,2
53,6,9,12,2
53,7,9,12,2
53,8,9,12,2
53,9,9,12,2
53,10,9,12,2
54,1,24,56,1300
54,2,24,56,1300
54,3,24,56,1300
54,4,24,56,1300
54,5,24,56,1300
54,6,24,56,1300
54,7,24,56,1300
54,8,24,56,1300
54,9,24,56,1300
54,10,24,56,1300
55,1,34,48,12
55,2,34,48,12
55,3,34,48,12
55,4,34,48,12
55,5,34,48,12
55,6,34,48,12
55,7,34,48,12
55,8,34,48,12
55,9,34,48,12
55,10,34,48,12
56,1,8,39,174
56,2,8,39,174
56,3,8,39,174
56,4,8,39,174
56,5,8,39,174
56,6,8,39,174
56,7,8,39,174
56,8,8,39,174
56,9,8,39,174
56,10,8,39,174
57,1,NA,NA,NA
58,1,NA,NA,NA
59,1,11,18,4
59,2,11,18,4
59,3,11,18,4
59,4,11,18,4
59,5,11,18,4
59,6,11,18,4
59,7,11,18,4
59,8,11,18,4
59,9,11,18,4
59,10,11,18,4
60,1,12,42,640
60,2,12,42,640
60,3,12,42,640
60,4,12,42,640
60,5,12,42,640
60,6,12,42,640
60,7,12,42,640
60,8,12,42,640
60,9,12,42,640
60,10,12,42,640
61,1,10,12,3
61,2,10,12,3
61,3,10,12,3
61,4,10,12,3
61,5,10,12,3
61,6,10,12,3
61,7,10,12,3
61,8,10,12,3
61,9,10,12,3
61,10,10,12,3
62,1,19,29,10
62,2,19,29,10
62,3,19,29,10
62,4,19,29,10
62,5,19,29,10
62,6,19,29,10
62,7,19,29,10
62,8,19,29,10
62,9,19,29,10
62,10,19,29,10
63,1,NA,NA,NA
64,1,29,45,672
64,2,29,45,672
64,3,29,45,672
64,4,29,45,672
64,5,29,45,672
64,6,29,45,672
64,7,29,45,672
64,8,29,45,672
64,9,29,45,672
64,10,29,45,672
65,1,4,4,1
65,2,4,4,1
65,3,4,4,1
65,4,4,4,1
65,5,4,4,1
65,6,4,4,1
65,7,4,4,1
65,8,4,4,1
65,9,4,4,1
65,10,4,4,1
66,1,18,62,11934
66,2,18,62,11934
66,3,18,62,11934
66,4,18,62,11934
66,5,18,62,11934
66,6,18,62,11934
66,7,18,62,11934
66,8,18,62,11934
66,9,18,62,11934
66,10,18,62,11934
67,1,30,54,270
67,2,30,54,270
67,3,30,54,270
67,4,30,54,270
67,5,30,54,270
67,6,30,54,270
67,7,30,54,270
67,8,30,54,270
67,9,30,54,270
67,10,30,54,270
68,1,7,13,5
68,2,7,13,5
68,3,7,13,5
68,4,7,13,5
68,5,7,13,5
68,6,7,13,5
68,7,7,13,5
68,8,7,13,5
68,9,7,13,5
68,10,7,13,5
69,1,9,12,3
69,2,9,12,3
69,3,9,12,3
69,4,9,12,3
69,5,9,12,3
69,6,9,12,3
69,7,9,12,3
69,8,9,12,3
69,9,9,12,3
69,10,9,12,3
70,1,2,8,4
70,2,2,8,4
70,3,2,8,4
70,4,2,8,4
70,5,2,8,4
70,6,2,8,4
70,7,2,8,4
70,8,2,8,4
70,9,2,8,4
70,10,2,8,4
71,1,11,11,1
71,2,11,11,1
71,3,11,11,1
71,4,11,11,1
71,5,11,11,1
71,6,11,11,1
71,7,11,11,1
71,8,11,11,1
71,9,11,11,1
71,10,11,11,1
72,1,35,41,8
72,2,35,41,8
72,3,35,41,8
72,4,35,41,8
72,5,35,41,8
72,6,35,41,8
72,7,35,41,8
72,8,35,41,8
72,9,35,41,8
72,10,35,41,8
73,1,27,64,2700
73,2,27,64,2700
73,3,27,64,2700
73,4,27,64,2700
73,5,27,64,2700
73,6,27,64,2700
73,7,27,64,2700
73,8,27,64,2700
73,9,27,64,2700
73,10,27,64,2700
74,1,NA,NA,NA
75,1,19,24,8
75,2,19,24,8
75,3,19,24,8
75,4,19,24,8
75,5,19,24,8
75,6,19,24,8
75,7,19,24,8
75,8,19,24,8
75,9,19,24,8
75,10,19,24,8
76,1,12,20,18
76,2,12,20,18
76,3,12,20,18
76,4,12,20,18
76,5,12,20,18
76,6,12,20,18
76,7,12,20,18
76,8,12,20,18
76,9,12,20,18
76,10,12,20,18
77,1,38,74,5700
77,2,38,74,5700
77,3,38,74,5700
77,4,38,74,5700
77,5,38,74,5700
77,6,38,74,5700
77,7,38,74,5700
77,8,38,74,5700
77,9,38,74,5700
77,10,38,74,5700
78,1,9,9,1
78,2,9,9,1
78,3,9,9,1
78,4,9,9,1
78,5,9,9,1
78,6,9,9,1
78,7,9,9,1
78,8,9,9,1
78,9,9,9,1
78,10,9,9,1
79,1,34,52,72
79,2,34,52,72
79,3,34,52,72
79,4,34,52,72
79,5,34,52,72
79,6,34,52,72
79,7,34,52,72
79,8,34,52,72
79,9,34,52,72
79,10,34,52,72
80,1,19,21,2
80,2,19,21,2
80,3,19,21,2
80,4,19,21,2
80,5,19,21,2
80,6,19,21,2
80,7,19,21,2
80,8,19,21,2
80,9,19,21,2
80,10,19,21,2
81,1,13,25,9
81,2,13,25,9
81,3,13,25,9
81,4,13,25,9
81,5,13,25,9
81,6,13,25,9
81,7,13,25,9
81,8,13,25,9
81,9,13,25,9
81,10,13,25,9
82,1,NA,NA,NA
83,1,19,35,110
83,2,19,35,110
83,3,19,35,110
83,4,19,35,110
83,5,19,35,110
83,6,19,35,110
83,7,19,35,110
83,8,19,35,110
83,9,19,35,110
83,10,19,35,110
84,1,17,69,1508
84,2,17,69,1508
84,3,17,69,1508
84,4,17,69,1508
84,5,17,69,1508
84,6,17,69,1508
84,7,17,69,1508
84,8,17,69,1508
84,9,17,69,1508
84,10,17,69,1508
85,1,NA,NA,NA
86,1,17,28,16
86,2,17,28,16
86,3,17,28,16
86,4,17,28,16
86,5,17,28,16
86,6,17,28,16
86,7,17,28,16
86,8,17,28,16
86,9,17,28,16
86,10,17,28,16
87,1,28,32,8
87,2,28,32,8
87,3,28,32,8
87,4,28,32,8
87,5,28,32,8
87,6,28,32,8
87,7,28,32,8
87,8,28,32,8
87,9,28,32,8
87,10,28,32,8
88,1,8,10,2
88,2,8,10,2
88,3,8,10,2
88,4,8,10,2
