Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,21,22,2
0,2,21,22,2
0,3,21,22,2
0,4,21,22,2
0,5,21,22,2
0,6,21,22,2
0,7,21,22,2
0,8,21,22,2
0,9,21,22,2
0,10,21,22,2
1,1,21,43,120
1,2,21,43,120
1,3,21,43,120
1,4,21,43,120
1,5,21,43,120
1,6,21,43,120
1,7,21,43,120
1,8,21,43,120
1,9,21,43,120
1,10,21,43,120
2,1,7,8,2
2,2,7,8,2
2,3,7,8,2
2,4,7,8,2
2,5,7,8,2
2,6,7,8,2
2,7,7,8,2
2,8,7,8,2
2,9,7,8,2
2,10,7,8,2
3,1,14,27,60
3,2,14,27,60
3,3,14,27,60
3,4,14,27,60
3,5,14,27,60
3,6,14,27,60
3,7,14,27,60
3,8,14,27,60
3,9,14,27,60
3,10,14,27,60
4,1,17,45,630
4,2,17,45,630
4,3,17,45,630
4,4,17,45,630
4,5,17,45,630
4,6,17,45,630
4,7,17,45,630
4,8,17,45,630
4,9,17,45,630
4,10,17,45,630
5,1,17,21,6
5,2,17,21,6
5,3,17,21,6
5,4,17,21,6
5,5,17,21,6
5,6,17,21,6
5,7,17,21,6
5,8,17,21,6
5,9,17,21,6
5,10,17,21,6
6,1,21,26,18
6,2,21,26,18
6,3,21,26,18
6,4,21,26,18
6,5,21,26,18
6,6,21,26,18
6,7,21,26,18
6,8,21,26,18
6,9,21,26,18
6,10,21,26,18
7,1,41,61,1860
7,2,41,61,1860
7,3,41,61,1860
7,4,41,61,1860
7,5,41,61,1860
7,6,41,61,1860
7,7,41,61,1860
7,8,41,61,1860
7,9,41,61,1860
7,10,41,61,1860
8,1,NA,NA,NA
9,1,NA,NA,NA
10,1,13,26,37
10,2,13,26,37
10,3,13,26,37
10,4,13,26,37
10,5,13,26,37
10,6,13,26,37
10,7,13,26,37
10,8,13,26,37
10,9,13,26,37
10,10,13,26,37
11,1,8,9,2
11,2,8,9,2
11,3,8,9,2
11,4,8,9,2
11,5,8,9,2
11,6,8,9,2
11,7,8,9,2
11,8,8,9,2
11,9,8,9,2
11,10,8,9,2
12,1,16,16,1
12,2,16,16,1
12,3,16,16,1
12,4,16,16,1
12,5,16,16,1
12,6,16,16,1
12,7,16,16,1
12,8,16,16,1
12,9,16,16,1
12,10,16,16,1
13,1,7,15,5
13,2,7,15,5
13,3,7,15,5
13,4,7,15,5
13,5,7,15,5
13,6,7,15,5
13,7,7,15,5
13,8,7,15,5
13,9,7,15,5
13,10,7,15,5
14,1,9,9,1
14,2,9,9,1
14,3,9,9,1
14,4,9,9,1
14,5,9,9,1
14,6,9,9,1
14,7,9,9,1
14,8,9,9,1
14,9,9,9,1
14,10,9,9,1
15,1,9,26,140
15,2,9,26,140
15,3,9,26,140
15,4,9,26,140
15,5,9,26,140
15,6,9,26,140
15,7,9,26,140
15,8,9,26,140
15,9,9,26,140
15,10,9,26,140
16,1,8,14,11
16,2,8,14,11
16,3,8,14,11
16,4,8,14,11
16,5,8,14,11
16,6,8,14,11
16,7,8,14,11
16,8,8,14,11
16,9,8,14,11
16,10,8,14,11
17,1,NA,NA,NA
18,1,18,36,126
18,2,18,36,126
18,3,18,36,126
18,4,18,36,126
18,5,18,36,126
18,6,18,36,126
18,7,18,36,126
18,8,18,36,126
18,9,18,36,126
18,10,18,36,126
19,1,14,20,3
19,2,14,20,3
19,3,14,20,3
19,4,14,20,3
19,5,14,20,3
19,6,14,20,3
19,7,14,20,3
19,8,14,20,3
19,9,14,20,3
19,10,14,20,3
20,1,18,32,45
20,2,18,32,45
20,3,18,32,45
20,4,18,32,45
20,5,18,32,45
20,6,18,32,45
20,7,18,32,45
20,8,18,32,45
20,9,18,32,45
20,10,18,32,45
21,1,18,47,387
21,2,18,47,387
21,3,18,47,387
21,4,18,47,387
21,5,18,47,387
21,6,18,47,387
21,7,18,47,387
21,8,18,47,387
21,9,18,47,387
21,10,18,47,387
22,1,66,89,560
22,2,66,89,560
22,3,66,89,560
22,4,66,89,560
22,5,66,89,560
22,6,66,89,560
22,7,66,89,560
22,8,66,89,560
22,9,66,89,560
22,10,66,89,560
23,1,17,35,252
23,2,17,35,252
23,3,17,35,252
23,4,17,35,252
23,5,17,35,252
23,6,17,35,252
23,7,17,35,252
23,8,17,35,252
23,9,17,35,252
23,10,17,35,252
24,1,NA,NA,NA
25,1,13,29,60
25,2,13,29,60
25,3,13,29,60
25,4,13,29,60
25,5,13,29,60
25,6,13,29,60
25,7,13,29,60
25,8,13,29,60
25,9,13,29,60
25,10,13,29,60
26,1,35,51,126
26,2,35,51,126
26,3,35,51,126
26,4,35,51,126
26,5,35,51,126
26,6,35,51,126
26,7,35,51,126
26,8,35,51,126
26,9,35,51,126
26,10,35,51,126
27,1,NA,NA,NA
28,1,27,30,4
28,2,27,30,4
28,3,27,30,4
28,4,27,30,4
28,5,27,30,4
28,6,27,30,4
28,7,27,30,4
28,8,27,30,4
28,9,27,30,4
28,10,27,30,4
29,1,NA,NA,NA
30,1,20,36,112
30,2,20,36,112
30,3,20,36,112
30,4,20,36,112
30,5,20,36,112
30,6,20,36,112
30,7,20,36,112
30,8,20,36,112
30,9,20,36,112
30,10,20,36,112
31,1,56,58,2
31,2,56,58,2
31,3,56,58,2
31,4,56,58,2
31,5,56,58,2
31,6,56,58,2
31,7,56,58,2
31,8,56,58,2
31,9,56,58,2
31,10,56,58,2
32,1,0,0,1
32,2,0,0,1
32,3,0,0,1
32,4,0,0,1
32,5,0,0,1
32,6,0,0,1
32,7,0,0,1
32,8,0,0,1
32,9,0,0,1
32,10,0,0,1
33,1,6,7,2
33,2,6,7,2
33,3,6,7,2
33,4,6,7,2
33,5,6,7,2
33,6,6,7,2
33,7,6,7,2
33,8,6,7,2
33,9,6,7,2
33,10,6,7,2
34,1,25,74,8712
34,2,25,74,8712
34,3,25,74,8712
34,4,25,74,8712
34,5,25,74,8712
34,6,25,74,8712
34,7,25,74,8712
34,8,25,74,8712
34,9,25,74,8712
34,10,25,74,8712
35,1,12,20,5
35,2,12,20,5
35,3,12,20,5
35,4,12,20,5
35,5,12,20,5
35,6,12,20,5
35,7,12,20,5
35,8,12,20,5
35,9,12,20,5
35,10,12,20,5
36,1,34,44,16
36,2,34,44,16
36,3,34,44,16
36,4,34,44,16
36,5,34,44,16
36,6,34,44,16
36,7,34,44,16
36,8,34,44,16
36,9,34,44,16
36,10,34,44,16
