Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
32,9,6,11,6
32,10,6,11,6
33,1,40,77,720
33,2,40,77,720
33,3,40,77,720
33,4,40,77,720
33,5,40,77,720
33,6,40,77,720
33,7,40,77,720
33,8,40,77,720
33,9,40,77,720
33,10,40,77,720
34,1,18,22,6
34,2,18,22,6
34,3,18,22,6
34,4,18,22,6
34,5,18,22,6
34,6,18,22,6
34,7,18,22,6
34,8,18,22,6
34,9,18,22,6
34,10,18,22,6
35,1,8,14,12
35,2,8,14,12
35,3,8,14,12
35,4,8,14,12
35,5,8,14,12
35,6,8,14,12
35,7,8,14,12
35,8,8,14,12
35,9,8,14,12
35,10,8,14,12
36,1,35,43,16
36,2,35,43,16
36,3,35,43,16
36,4,35,43,16
36,5,35,43,16
36,6,35,43,16
36,7,35,43,16
36,8,35,43,16
36,9,35,43,16
36,10,35,43,16
37,1,2,2,1
37,2,2,2,1
37,3,2,2,1
37,4,2,2,1
37,5,2,2,1
37,6,2,2,1
37,7,2,2,1
37,8,2,2,1
37,9,2,2,1
37,10,2,2,1
38,1,20,32,140
38,2,20,32,140
38,3,20,32,140
38,4,20,32,140
38,5,20,32,140
38,6,20,32,140
38,7,20,32,140
38,8,20,32,140
38,9,20,32,140
38,10,20,32,140
39,1,NA,NA,NA
40,1,NA,NA,NA
41,1,2,5,4
41,2,2,5,4
41,3,2,5,4
41,4,2,5,4
41,5,2,5,4
41,6,2,5,4
41,7,2,5,4
41,8,2,5,4
41,9,2,5,4
41,10,2,5,4
42,1,14,16,3
42,2,14,16,3
42,3,14,16,3
42,4,14,16,3
42,5,14,16,3
42,6,14,16,3
42,7,14,16,3
42,8,14,16,3
42,9,14,16,3
42,10,14,16,3
43,1,8,13,4
43,2,8,13,4
43,3,8,13,4
43,4,8,13,4
43,5,8,13,4
43,6,8,13,4
43,7,8,13,4
43,8,8,13,4
43,9,8,13,4
43,10,8,13,4
44,1,NA,NA,NA
45,1,17,30,28
45,2,17,30,28
45,3,17,30,28
45,4,17,30,28
45,5,17,30,28
45,6,17,30,28
45,7,17,30,28
45,8,17,30,28
45,9,17,30,28
45,10,17,30,28
46,1,5,27,48
46,2,5,27,48
46,3,5,27,48
46,4,5,27,48
46,5,5,27,48
46,6,5,27,48
46,7,5,27,48
46,8,5,27,48
46,9,5,27,48
46,10,5,27,48
47,1,20,25,6
47,2,20,25,6
47,3,20,25,6
47,4,20,25,6
47,5,20,25,6
47,6,20,25,6
47,7,20,25,6
47,8,20,25,6
47,9,20,25,6
47,10,20,25,6
48,1,18,33,36
48,2,18,33,36
48,3,18,33,36
48,4,18,33,36
48,5,18,33,36
48,6,18,33,36
48,7,18,33,36
48,8,18,33,36
48,9,18,33,36
48,10,18,33,36
49,1,14,18,2
49,2,14,18,2
49,3,14,18,2
49,4,14,18,2
49,5,14,18,2
