Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,15.3,26,30
0-2,15.3,26,30
0-3,15.3,26,30
0-4,15.3,26,30
0-5,15.3,26,30
0-6,15.3,26,30
0-7,15.3,26,30
0-8,15.3,26,30
0-9,15.3,26,30
0-10,15.3,26,30
1-1,14.75,28,48
1-2,14.75,28,48
1-3,14.75,28,48
1-4,14.75,28,48
1-5,14.75,28,48
1-6,14.75,28,48
1-7,14.75,28,48
1-8,14.75,28,48
1-9,14.75,28,48
1-10,14.75,28,48
2-1,6.0,12,6
2-2,6.0,12,6
2-3,6.0,12,6
2-4,6.0,12,6
2-5,6.0,12,6
2-6,6.0,12,6
2-7,6.0,12,6
2-8,6.0,12,6
2-9,6.0,12,6
2-10,6.0,12,6
3-1,25.45,56,4320
3-2,25.45,56,4320
3-3,25.45,56,4320
3-4,25.45,56,4320
3-5,25.45,56,4320
3-6,25.45,56,4320
3-7,25.45,56,4320
3-8,25.45,56,4320
3-9,25.45,56,4320
3-10,25.45,56,4320
4-1,49.0,63,64
4-2,49.0,63,64
4-3,49.0,63,64
4-4,49.0,63,64
4-5,49.0,63,64
4-6,49.0,63,64
4-7,49.0,63,64
4-8,49.0,63,64
4-9,49.0,63,64
4-10,49.0,63,64
5-1,24.333333333333332,40,144
5-2,24.333333333333332,40,144
5-3,24.333333333333332,40,144
5-4,24.333333333333332,40,144
5-5,24.333333333333332,40,144
5-6,24.333333333333332,40,144
5-7,24.333333333333332,40,144
5-8,24.333333333333332,40,144
5-9,24.333333333333332,40,144
5-10,24.333333333333332,40,144
6-1,37.2,57,150
6-2,37.2,57,150
6-3,37.2,57,150
6-4,37.2,57,150
6-5,37.2,57,150
6-6,37.2,57,150
6-7,37.2,57,150
6-8,37.2,57,150
6-9,37.2,57,150
6-10,37.2,57,150
7-1,22.58213474640424,86,6605
7-2,22.58213474640424,86,6605
7-3,22.58213474640424,86,6605
7-4,22.58213474640424,86,6605
7-5,22.58213474640424,86,6605
7-6,22.58213474640424,86,6605
7-7,22.58213474640424,86,6605
7-8,22.58213474640424,86,6605
7-9,22.58213474640424,86,6605
7-10,22.58213474640424,86,6605
8-1,9.545454545454545,25,11
8-2,9.545454545454545,25,11
8-3,9.545454545454545,25,11
8-4,9.545454545454545,25,11
8-5,9.545454545454545,25,11
8-6,9.545454545454545,25,11
8-7,9.545454545454545,25,11
8-8,9.545454545454545,25,11
8-9,9.545454545454545,25,11
8-10,9.545454545454545,25,11
9-1,9.5,13,2
9-2,9.5,13,2
9-3,9.5,13,2
9-4,9.5,13,2
9-5,9.5,13,2
9-6,9.5,13,2
9-7,9.5,13,2
9-8,9.5,13,2
9-9,9.5,13,2
9-10,9.5,13,2
10-1,15.0,21,3
10-2,15.0,21,3
10-3,15.0,21,3
10-4,15.0,21,3
10-5,15.0,21,3
10-6,15.0,21,3
10-7,15.0,21,3
10-8,15.0,21,3
10-9,15.0,21,3
10-10,15.0,21,3
11-1,36.13333333333333,59,1080
11-2,36.13333333333333,59,1080
11-3,36.13333333333333,59,1080
11-4,36.13333333333333,59,1080
11-5,36.13333333333333,59,1080
11-6,36.13333333333333,59,1080
11-7,36.13333333333333,59,1080
11-8,36.13333333333333,59,1080
11-9,36.13333333333333,59,1080
11-10,36.13333333333333,59,1080
12-1,5.0,7,3
12-2,5.0,7,3
12-3,5.0,7,3
12-4,5.0,7,3
12-5,5.0,7,3
12-6,5.0,7,3
12-7,5.0,7,3
12-8,5.0,7,3
12-9,5.0,7,3
12-10,5.0,7,3
13-1,14.805555555555555,59,1944
13-2,14.805555555555555,59,1944
13-3,14.805555555555555,59,1944
13-4,14.805555555555555,59,1944
13-5,14.805555555555555,59,1944
13-6,14.805555555555555,59,1944
13-7,14.805555555555555,59,1944
13-8,14.805555555555555,59,1944
13-9,14.805555555555555,59,1944
13-10,14.805555555555555,59,1944
14-1,32.07835325365206,67,753
14-2,32.07835325365206,67,753
14-3,32.07835325365206,67,753
14-4,32.07835325365206,67,753
14-5,32.07835325365206,67,753
14-6,32.07835325365206,67,753
14-7,32.07835325365206,67,753
14-8,32.07835325365206,67,753
14-9,32.07835325365206,67,753
14-10,32.07835325365206,67,753
15-1,17.5,23,4
15-2,17.5,23,4
15-3,17.5,23,4
15-4,17.5,23,4
15-5,17.5,23,4
15-6,17.5,23,4
15-7,17.5,23,4
15-8,17.5,23,4
15-9,17.5,23,4
15-10,17.5,23,4
16,NA,NA,NA
17-1,21.48,53,2000
17-2,21.48,53,2000
17-3,21.48,53,2000
17-4,21.48,53,2000
17-5,21.48,53,2000
17-6,21.48,53,2000
17-7,21.48,53,2000
17-8,21.48,53,2000
17-9,21.48,53,2000
17-10,21.48,53,2000
18-1,0.0,0,1
18-2,0.0,0,1
18-3,0.0,0,1
18-4,0.0,0,1
18-5,0.0,0,1
18-6,0.0,0,1
18-7,0.0,0,1
18-8,0.0,0,1
18-9,0.0,0,1
18-10,0.0,0,1
19-1,7.0,10,3
19-2,7.0,10,3
19-3,7.0,10,3
19-4,7.0,10,3
19-5,7.0,10,3
19-6,7.0,10,3
19-7,7.0,10,3
19-8,7.0,10,3
19-9,7.0,10,3
19-10,7.0,10,3
20-1,5.0,8,4
20-2,5.0,8,4
20-3,5.0,8,4
20-4,5.0,8,4
20-5,5.0,8,4
20-6,5.0,8,4
20-7,5.0,8,4
20-8,5.0,8,4
20-9,5.0,8,4
20-10,5.0,8,4
21-1,13.331460674157304,32,178
21-2,13.331460674157304,32,178
21-3,13.331460674157304,32,178
21-4,13.331460674157304,32,178
21-5,13.331460674157304,32,178
21-6,13.331460674157304,32,178
21-7,13.331460674157304,32,178
21-8,13.331460674157304,32,178
21-9,13.331460674157304,32,178
21-10,13.331460674157304,32,178
22-1,29.333333333333332,40,12
22-2,29.333333333333332,40,12
22-3,29.333333333333332,40,12
22-4,29.333333333333332,40,12
22-5,29.333333333333332,40,12
22-6,29.333333333333332,40,12
22-7,29.333333333333332,40,12
22-8,29.333333333333332,40,12
22-9,29.333333333333332,40,12
22-10,29.333333333333332,40,12
23-1,9.8,17,10
23-2,9.8,17,10
23-3,9.8,17,10
23-4,9.8,17,10
23-5,9.8,17,10
23-6,9.8,17,10
23-7,9.8,17,10
23-8,9.8,17,10
23-9,9.8,17,10
23-10,9.8,17,10
24-1,19.0,25,6
24-2,19.0,25,6
24-3,19.0,25,6
24-4,19.0,25,6
24-5,19.0,25,6
24-6,19.0,25,6
24-7,19.0,25,6
24-8,19.0,25,6
24-9,19.0,25,6
24-10,19.0,25,6
25-1,5.0,6,2
25-2,5.0,6,2
25-3,5.0,6,2
25-4,5.0,6,2
25-5,5.0,6,2
25-6,5.0,6,2
25-7,5.0,6,2
25-8,5.0,6,2
25-9,5.0,6,2
25-10,5.0,6,2
26-1,25.071428571428573,47,140
26-2,25.071428571428573,47,140
26-3,25.071428571428573,47,140
26-4,25.071428571428573,47,140
26-5,25.071428571428573,47,140
26-6,25.071428571428573,47,140
26-7,25.071428571428573,47,140
26-8,25.071428571428573,47,140
26-9,25.071428571428573,47,140
26-10,25.071428571428573,47,140
27-1,12.0,15,4
27-2,12.0,15,4
27-3,12.0,15,4
27-4,12.0,15,4
