Signature,Time Spent
0,3.765740156173706
1,0.9802217483520508
2,1.5428354740142822
3,5.898783922195435
4,NA
5,3.2687203884124756
6,NA
7,NA
8,NA
9,1.934830665588379
10,NA
11,2.120830535888672
12,NA
13,1.8699090480804443
14,NA
15,56.70159983634949
16,NA
17,NA
18,1.2695646286010742
19,1.5852117538452148
20,4.616780519485474
21,1.7415006160736084
22,2.0726332664489746
23,NA
24,NA
25,1.4698548316955566
26,NA
27,2.1638073921203613
28,NA
29,NA
30,3.1638400554656982
31,0.9447896480560303
32,2.527107000350952
33,1.9689056873321533
34,5.253168344497681
35,NA
36,0.6471540927886963
37,178.02072834968567
38,1.6860904693603516
39,3.4886903762817383
40,2.6565773487091064
41,1.5223934650421143
42,NA
43,1.7210540771484375
44,1.4410865306854248
45,2.4758617877960205
46,2.8213140964508057
47,1.6505610942840576
48,1.2551734447479248
49,176.0286581516266
50,NA
51,3.000866651535034
52,0.8681704998016357
53,3.0121517181396484
54,1.594813585281372
55,3.8021857738494873
56,0.756385326385498
57,NA
58,2.447357177734375
59,246.04587078094482
60,2.439323902130127
61,0.6823973655700684
62,NA
63,0.8558287620544434
64,2.453734874725342
65,1.519200325012207
66,1.1944541931152344
67,2.4493348598480225
68,1.9914186000823975
69,2.430248498916626
70,2.0813639163970947
71,0.9580867290496826
72,1.6397545337677002
73,NA
74,1.052903652191162
75,2.4786410331726074
76,2.031095027923584
77,2.0054948329925537
78,1.4260103702545166
79,2.312100410461426
80,3.7238516807556152
81,1.7369234561920166
82,NA
83,7.709896802902222
84,0.6794905662536621
85,NA
86,NA
87,52.04797029495239
88,2.4142653942108154
89,NA
90,2.576049327850342
91,0.769639253616333
92,2.203045129776001
93,1.0438663959503174
94,NA
95,NA
96,1.7819437980651855
97,0.7044126987457275
98,1.7335712909698486
99,1.9312713146209717
