Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,22.350877192982455,54,1710
1,7.0,10,4
2,15.783333333333333,28,60
3,5.8,16,25
4,24.0,24,1
5,50.94444444444444,84,3024
6,18.2,57,60
7,17.2,36,60
8,15.0,16,2
9,26.446180555555557,66,4608
10,31.5,53,48
11,21.0,21,1
12,16.98780487804878,31,82
13,21.12,34,50
14,NA,NA,NA
15,36.416666666666664,43,12
16,49.71052631578947,84,1064
17,25.902027027027028,52,592
18,6.5,10,2
19,11.0,13,3
20,3.0,3,1
21,24.0,37,24
22,NA,NA,NA
23,8.333333333333334,11,3
24,3.0,6,4
25,4.0,4,1
26,9.680555555555555,38,72
27,14.5,26,16
28,9.0,9,1
29,45.05714285714286,77,4480
30,17.0,17,1
31,19.9,46,1350
32,2.0,2,1
33,25.88235294117647,44,255
34,23.470588235294116,53,14076
35,4.0,4,1
36,NA,NA,NA
37,2.0,2,1
38,1.0,1,1
39,13.5,25,32
40,18.166666666666668,72,960
41,44.865800865800864,91,4158
42,2.0,2,1
43,2.0,2,1
44,44.53030303030303,82,24750
45,0.0,0,1
46,17.516806722689076,36,238
47,10.0,11,2
48,4.0,4,1
49,0.0,0,1
50,NA,NA,NA
51,NA,NA,NA
52,11.904761904761905,41,672
53,24.14181818181818,57,550
54,14.666666666666666,30,42
55,3.6666666666666665,6,3
56,6.0,6,1
57,2.0,4,3
58,2.0,11,10
59,9.0,9,1
60,24.685714285714287,41,140
61,18.333333333333332,58,1152
62,23.0,35,16
63,15.5,26,36
64,28.608771929824563,66,570
65,11.3,31,30
66,10.9,28,20
67,48.2,63,80
68,36.8,42,10
69,18.62,45,1500
70,10.0,11,2
71,36.3,54,160
72,14.916666666666666,28,24
73,44.04117647058823,76,13770
74,50.357142857142854,76,672
75,25.733333333333334,44,330
76,NA,NA,NA
77,29.095238095238095,61,7056
78,10.666666666666666,15,3
79,35.71739130434783,60,552
80,8.333333333333334,22,72
81,24.0,29,4
82,14.5,18,4
83,10.0,13,2
84,NA,NA,NA
85,20.096774193548388,41,93
86,36.666666666666664,45,18
87,30.666666666666668,41,96
88,NA,NA,NA
89,30.929411764705883,59,425
90,23.833333333333332,39,60
91,14.88695652173913,42,805
92,NA,NA,NA
93,6.977777777777778,24,45
94,35.63799283154122,60,279
95,7.0,7,1
96,11.714285714285714,29,7
97,NA,NA,NA
98,NA,NA,NA
99,39.75,71,1632
