Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,21,43,120
2,7,8,2
3,14,27,60
4,17,45,630
5,17,21,6
6,21,26,18
7,NA,NA,NA
8,NA,NA,NA
9,NA,NA,NA
10,13,26,37
11,8,9,2
12,16,16,1
13,7,15,5
14,NA,NA,NA
15,9,26,140
16,8,14,11
17,NA,NA,NA
18,18,36,126
19,14,20,3
20,18,32,45
21,18,47,387
22,66,89,560
23,17,35,252
24,NA,NA,NA
25,13,29,60
26,35,51,126
27,NA,NA,NA
28,27,30,4
29,NA,NA,NA
30,NA,NA,NA
31,56,58,2
32,0,0,1
33,6,7,2
34,25,74,8712
35,12,20,5
36,34,44,16
37,NA,NA,NA
38,45,60,144
39,22,36,540
40,NA,NA,NA
41,6,15,5
42,0,0,1
43,NA,NA,NA
44,14,30,45
45,18,36,140
46,25,35,32
47,13,14,2
48,60,97,13440
49,18,32,96
50,NA,NA,NA
51,3,5,2
52,20,22,4
53,46,59,16
54,43,50,16
55,NA,NA,NA
56,31,37,8
57,34,39,8
58,8,8,1
59,13,17,4
60,22,31,36
61,10,34,13
62,4,4,1
63,18,27,12
64,6,8,3
65,NA,NA,NA
66,NA,NA,NA
67,NA,NA,NA
68,33,48,54
69,2,2,1
70,34,34,1
71,NA,NA,NA
72,NA,NA,NA
73,20,36,72
74,6,6,1
75,38,52,132
76,38,88,14976
77,30,44,24
78,16,27,56
79,32,64,1680
80,12,14,4
81,NA,NA,NA
82,9,10,2
83,18,34,96
84,NA,NA,NA
85,21,50,64
86,4,4,1
87,19,24,6
88,26,31,4
89,24,40,90
90,15,28,170
91,7,7,1
92,26,52,720
93,NA,NA,NA
94,NA,NA,NA
95,14,24,52
96,NA,NA,NA
97,NA,NA,NA
98,22,40,540
99,32,49,90
