Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,33,72,1760
0,2,33,72,1760
0,3,33,72,1760
0,4,33,72,1760
0,5,33,72,1760
0,6,33,72,1760
0,7,33,72,1760
0,8,33,72,1760
0,9,33,72,1760
0,10,33,72,1760
1,1,30,68,9072
1,2,30,68,9072
1,3,30,68,9072
1,4,30,68,9072
1,5,30,68,9072
1,6,30,68,9072
1,7,30,68,9072
1,8,30,68,9072
1,9,30,68,9072
1,10,30,68,9072
2,1,9,9,1
2,2,9,9,1
2,3,9,9,1
2,4,9,9,1
2,5,9,9,1
2,6,9,9,1
2,7,9,9,1
2,8,9,9,1
2,9,9,9,1
2,10,9,9,1
3,1,11,12,2
3,2,11,12,2
3,3,11,12,2
3,4,11,12,2
3,5,11,12,2
3,6,11,12,2
3,7,11,12,2
3,8,11,12,2
3,9,11,12,2
3,10,11,12,2
4,1,7,13,3
4,2,7,13,3
4,3,7,13,3
4,4,7,13,3
4,5,7,13,3
4,6,7,13,3
4,7,7,13,3
4,8,7,13,3
4,9,7,13,3
4,10,7,13,3
5,1,20,45,522
5,2,20,45,522
5,3,20,45,522
5,4,20,45,522
5,5,20,45,522
5,6,20,45,522
5,7,20,45,522
5,8,20,45,522
5,9,20,45,522
5,10,20,45,522
6,1,NA,NA,NA
7,1,54,62,8
7,2,54,62,8
7,3,54,62,8
7,4,54,62,8
7,5,54,62,8
7,6,54,62,8
7,7,54,62,8
7,8,54,62,8
7,9,54,62,8
7,10,54,62,8
8,1,15,59,1617
8,2,15,59,1617
8,3,15,59,1617
8,4,15,59,1617
8,5,15,59,1617
8,6,15,59,1617
8,7,15,59,1617
8,8,15,59,1617
8,9,15,59,1617
8,10,15,59,1617
9,1,26,29,3
9,2,26,29,3
9,3,26,29,3
9,4,26,29,3
9,5,26,29,3
9,6,26,29,3
9,7,26,29,3
9,8,26,29,3
9,9,26,29,3
9,10,26,29,3
10,1,15,18,3
10,2,15,18,3
10,3,15,18,3
10,4,15,18,3
10,5,15,18,3
10,6,15,18,3
10,7,15,18,3
10,8,15,18,3
10,9,15,18,3
10,10,15,18,3
11,1,32,33,2
11,2,32,33,2
11,3,32,33,2
11,4,32,33,2
11,5,32,33,2
11,6,32,33,2
11,7,32,33,2
11,8,32,33,2
11,9,32,33,2
11,10,32,33,2
12,1,76,103,1536
12,2,76,103,1536
12,3,76,103,1536
12,4,76,103,1536
12,5,76,103,1536
12,6,76,103,1536
12,7,76,103,1536
12,8,76,103,1536
12,9,76,103,1536
12,10,76,103,1536
13,1,14,50,800
13,2,14,50,800
13,3,14,50,800
13,4,14,50,800
13,5,14,50,800
13,6,14,50,800
13,7,14,50,800
13,8,14,50,800
13,9,14,50,800
13,10,14,50,800
14,1,50,67,63
14,2,50,67,63
14,3,50,67,63
14,4,50,67,63
14,5,50,67,63
14,6,50,67,63
14,7,50,67,63
14,8,50,67,63
14,9,50,67,63
14,10,50,67,63
15,1,10,13,3
15,2,10,13,3
15,3,10,13,3
15,4,10,13,3
15,5,10,13,3
15,6,10,13,3
15,7,10,13,3
15,8,10,13,3
15,9,10,13,3
15,10,10,13,3
16,1,2,2,1
16,2,2,2,1
16,3,2,2,1
16,4,2,2,1
16,5,2,2,1
16,6,2,2,1
16,7,2,2,1
16,8,2,2,1
16,9,2,2,1
16,10,2,2,1
17,1,3,6,4
17,2,3,6,4
17,3,3,6,4
17,4,3,6,4
17,5,3,6,4
17,6,3,6,4
17,7,3,6,4
17,8,3,6,4
17,9,3,6,4
17,10,3,6,4
18,1,7,11,3
18,2,7,11,3
18,3,7,11,3
18,4,7,11,3
18,5,7,11,3
18,6,7,11,3
18,7,7,11,3
18,8,7,11,3
18,9,7,11,3
18,10,7,11,3
19,1,3,3,1
19,2,3,3,1
19,3,3,3,1
19,4,3,3,1
19,5,3,3,1
19,6,3,3,1
19,7,3,3,1
19,8,3,3,1
19,9,3,3,1
19,10,3,3,1
20,1,13,27,72
20,2,13,27,72
20,3,13,27,72
20,4,13,27,72
20,5,13,27,72
20,6,13,27,72
20,7,13,27,72
20,8,13,27,72
20,9,13,27,72
20,10,13,27,72
21,1,30,62,711
21,2,30,62,711
21,3,30,62,711
21,4,30,62,711
21,5,30,62,711
21,6,30,62,711
21,7,30,62,711
21,8,30,62,711
21,9,30,62,711
21,10,30,62,711
22,1,NA,NA,NA
23,1,24,42,192
23,2,24,42,192
23,3,24,42,192
23,4,24,42,192
23,5,24,42,192
