Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,6.0,9,6
1,39.388888888888886,62,216
2,11.578947368421053,25,19
3,8.0,10,3
4,31.401785714285715,60,672
5,4.0,4,1
6,15.0,18,4
7,24.702380952380953,62,3024
8,11.0,11,1
9,19.27777777777778,33,144
10,27.678571428571427,50,1120
11,9.642857142857142,25,14
12,25.45858585858586,70,4455
13,39.595238095238095,56,84
14,15.142857142857142,28,28
15,19.404761904761905,41,378
16,NA,NA,NA
17,12.041666666666666,27,24
18,2.0,2,1
19,13.666666666666666,22,9
20,23.0,27,2
21,14.666666666666666,18,3
22,4.0,4,1
23,28.931818181818183,65,1320
24,NA,NA,NA
25,24.88881422924901,83,50600
26,30.864035087719298,75,1824
27,16.72222222222222,30,18
28,21.221464848970864,63,7482
29,55.497252747252745,81,1456
30,36.714285714285715,50,168
31,15.071428571428571,29,56
32,0.0,0,1
33,5.0,5,1
34,14.842391304347826,33,184
35,8.9,22,10
36,20.833333333333332,41,108
37,2.0,4,2
38,24.055995629609395,61,3661
39,16.944444444444443,33,36
40,39.99523809523809,77,7350
41,18.651515151515152,40,1188
42,15.0,15,1
43,35.75,58,768
44,60.666666666666664,85,96
45,6.0,8,3
46,35.08612440191388,76,6688
47,8.0,12,3
48,29.87272727272727,52,550
49,22.533333333333335,43,90
50,8.714285714285714,14,7
51,15.5,18,2
52,NA,NA,NA
53,12.666666666666666,41,2520
54,8.0,10,2
55,NA,NA,NA
56,7.6,13,5
57,17.818181818181817,25,11
58,5.0,5,1
59,42.5,78,10368
60,5.0,11,6
61,9.0,9,1
62,8.0,23,70
63,10.0,10,1
64,39.0,49,8
65,14.0,25,120
66,28.0,46,384
67,31.285714285714285,48,28
68,11.333333333333334,19,24
69,NA,NA,NA
70,7.0,7,1
71,0.0,0,1
72,25.5,29,4
73,21.083333333333332,43,144
74,0.0,0,1
75,6.916666666666667,13,12
76,24.857142857142858,51,1008
77,2.0,2,1
78,26.642045454545453,59,8976
79,NA,NA,NA
80,43.1,52,20
81,34.333333333333336,50,48
82,47.0,54,4
83,10.0,55,172
84,5.0,39,35
85,4.5,6,2
86,32.5,40,8
87,18.0,22,4
88,1.0,1,1
89,NA,NA,NA
90,12.666666666666666,16,6
91,0.0,0,1
92,10.0,15,10
93,NA,NA,NA
94,5.0,5,1
95,NA,NA,NA
96,18.733333333333334,29,15
97,2.0,2,1
98,2.3333333333333335,7,3
99,NA,NA,NA
