Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,15,26,30
1,14,28,48
2,6,12,6
3,NA,NA,NA
4,NA,NA,NA
5,23,40,144
6,39,57,150
7,21,86,6605
8,9,25,11
9,NA,NA,NA
10,15,21,3
11,38,59,1080
12,NA,NA,NA
13,16,59,1944
14,NA,NA,NA
15,17,23,4
16,NA,NA,NA
17,18,53,2000
18,NA,NA,NA
19,5,10,3
20,5,8,4
21,11,32,178
22,30,40,12
23,11,17,10
24,19,25,6
25,5,6,2
26,23,47,140
27,13,15,4
28,22,25,4
29,22,47,345
30,NA,NA,NA
31,14,33,58
32,6,11,6
33,40,77,720
34,18,22,6
35,NA,NA,NA
36,35,43,16
37,2,2,1
38,20,32,140
39,NA,NA,NA
40,NA,NA,NA
41,NA,NA,NA
42,14,16,3
43,8,13,4
44,NA,NA,NA
45,17,30,28
46,5,27,48
47,NA,NA,NA
48,18,33,36
49,14,18,2
50,11,27,54
51,36,56,1950
52,26,32,8
53,22,32,12
54,NA,NA,NA
55,NA,NA,NA
56,22,52,960
57,28,35,9
58,23,37,24
59,8,9,2
60,NA,NA,NA
61,5,8,3
62,NA,NA,NA
63,20,25,8
64,6,6,1
65,20,27,16
66,62,77,352
67,18,38,576
68,10,19,7
69,NA,NA,NA
70,3,5,2
71,NA,NA,NA
72,41,47,16
73,20,41,384
74,23,37,42
75,NA,NA,NA
76,23,50,182
77,NA,NA,NA
78,29,54,768
79,0,0,1
80,22,47,399
81,17,35,108
82,7,7,1
83,18,18,1
84,9,11,4
85,13,32,20
86,NA,NA,NA
87,NA,NA,NA
88,11,34,100
89,NA,NA,NA
90,21,29,16
91,17,41,576
92,20,26,3
93,22,41,544
94,29,79,2814
95,11,31,60
96,NA,NA,NA
97,18,33,216
98,12,15,4
99,NA,NA,NA
