name of the signature,size of the module
0,22
1,52
2,9
3,25
4,69
5,19
6,19
7,89
8,130
9,115
10,36
11,14
12,9
13,17
14,9
15,34
16,33
17,140
18,49
19,18
20,70
21,59
22,96
23,33
24,156
25,41
26,56
27,110
28,30
29,7
30,48
31,67
32,0
33,7
34,89
35,51
36,57
37,92
38,62
39,61
40,34
41,5
42,0
43,46
44,30
45,40
46,43
47,14
48,89
49,42
50,119
51,6
52,22
53,21
54,38
55,57
56,34
57,61
58,8
59,21
60,31
61,50
62,4
63,29
64,16
65,100
66,90
67,26
68,38
69,2
70,36
71,90
72,96
73,40
74,6
75,59
76,90
77,46
78,40
79,93
80,9
81,39
82,11
83,47
84,24
85,25
86,4
87,23
88,27
89,39
90,57
91,7
92,75
93,8
94,96
95,9
96,66
97,42
98,47
99,57
