Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,19.625,33,32
0-2,19.625,33,32
0-3,19.625,33,32
0-4,19.625,33,32
0-5,19.625,33,32
0-6,19.625,33,32
0-7,19.625,33,32
0-8,19.625,33,32
0-9,19.625,33,32
0-10,19.625,33,32
1-1,18.9,28,20
1-2,18.9,28,20
1-3,18.9,28,20
1-4,18.9,28,20
1-5,18.9,28,20
1-6,18.9,28,20
1-7,18.9,28,20
1-8,18.9,28,20
1-9,18.9,28,20
1-10,18.9,28,20
2-1,30.666666666666668,46,72
2-2,30.666666666666668,46,72
2-3,30.666666666666668,46,72
2-4,30.666666666666668,46,72
2-5,30.666666666666668,46,72
2-6,30.666666666666668,46,72
2-7,30.666666666666668,46,72
2-8,30.666666666666668,46,72
2-9,30.666666666666668,46,72
2-10,30.666666666666668,46,72
3-1,27.229134104407628,68,3199
3-2,27.229134104407628,68,3199
3-3,27.229134104407628,68,3199
3-4,27.229134104407628,68,3199
3-5,27.229134104407628,68,3199
3-6,27.229134104407628,68,3199
3-7,27.229134104407628,68,3199
3-8,27.229134104407628,68,3199
3-9,27.229134104407628,68,3199
3-10,27.229134104407628,68,3199
4-1,12.0,23,20
4-2,12.0,23,20
4-3,12.0,23,20
4-4,12.0,23,20
4-5,12.0,23,20
4-6,12.0,23,20
4-7,12.0,23,20
4-8,12.0,23,20
4-9,12.0,23,20
4-10,12.0,23,20
5-1,40.15625,76,6400
5-2,40.15625,76,6400
5-3,40.15625,76,6400
5-4,40.15625,76,6400
5-5,40.15625,76,6400
5-6,40.15625,76,6400
5-7,40.15625,76,6400
5-8,40.15625,76,6400
5-9,40.15625,76,6400
5-10,40.15625,76,6400
6-1,16.9,35,60
6-2,16.9,35,60
6-3,16.9,35,60
6-4,16.9,35,60
6-5,16.9,35,60
6-6,16.9,35,60
6-7,16.9,35,60
6-8,16.9,35,60
6-9,16.9,35,60
6-10,16.9,35,60
7-1,0.0,0,1
7-2,0.0,0,1
7-3,0.0,0,1
7-4,0.0,0,1
7-5,0.0,0,1
7-6,0.0,0,1
7-7,0.0,0,1
7-8,0.0,0,1
7-9,0.0,0,1
7-10,0.0,0,1
8-1,5.875,16,8
8-2,5.875,16,8
8-3,5.875,16,8
8-4,5.875,16,8
8-5,5.875,16,8
8-6,5.875,16,8
8-7,5.875,16,8
8-8,5.875,16,8
8-9,5.875,16,8
8-10,5.875,16,8
9-1,5.428571428571429,16,21
9-2,5.428571428571429,16,21
9-3,5.428571428571429,16,21
9-4,5.428571428571429,16,21
9-5,5.428571428571429,16,21
9-6,5.428571428571429,16,21
9-7,5.428571428571429,16,21
9-8,5.428571428571429,16,21
9-9,5.428571428571429,16,21
9-10,5.428571428571429,16,21
10-1,9.0,9,1
10-2,9.0,9,1
10-3,9.0,9,1
10-4,9.0,9,1
10-5,9.0,9,1
10-6,9.0,9,1
10-7,9.0,9,1
10-8,9.0,9,1
10-9,9.0,9,1
10-10,9.0,9,1
11-1,5.0,10,4
11-2,5.0,10,4
11-3,5.0,10,4
11-4,5.0,10,4
11-5,5.0,10,4
11-6,5.0,10,4
11-7,5.0,10,4
11-8,5.0,10,4
11-9,5.0,10,4
11-10,5.0,10,4
12-1,11.0,14,2
12-2,11.0,14,2
12-3,11.0,14,2
12-4,11.0,14,2
12-5,11.0,14,2
12-6,11.0,14,2
12-7,11.0,14,2
12-8,11.0,14,2
12-9,11.0,14,2
12-10,11.0,14,2
13-1,2.0,2,1
13-2,2.0,2,1
13-3,2.0,2,1
13-4,2.0,2,1
13-5,2.0,2,1
13-6,2.0,2,1
13-7,2.0,2,1
13-8,2.0,2,1
13-9,2.0,2,1
13-10,2.0,2,1
14-1,15.055555555555555,24,18
