Signature,Iteration,Time Spent
0,1,40.31901240348816
0,2,39.76377463340759
0,3,39.7054705619812
0,4,39.73330545425415
0,5,40.33189249038696
0,6,40.1828076839447
0,7,39.67867851257324
0,8,39.7875874042511
0,9,39.248531341552734
0,10,39.86210656166077
1,1,24.440449476242065
1,2,24.609938859939575
1,3,24.446723222732544
1,4,24.52400541305542
1,5,24.84341263771057
1,6,24.48068857192993
1,7,24.215895175933838
1,8,24.3126277923584
1,9,24.509265422821045
1,10,23.999895095825195
2,1,12.417495012283325
2,2,12.09037733078003
2,3,12.24615740776062
2,4,12.353658437728882
2,5,12.1547269821167
2,6,12.405179023742676
2,7,12.257872343063354
2,8,12.268662929534912
2,9,12.49478006362915
2,10,12.310029983520508
3,1,104.10432624816895
3,2,104.86569571495056
3,3,102.01446008682251
3,4,104.30378913879395
3,5,101.22152829170227
3,6,104.70157289505005
3,7,103.63306522369385
3,8,102.39512634277344
3,9,103.78990769386292
3,10,105.01076483726501
4,1,15.195778846740723
4,2,15.102535963058472
4,3,14.989768266677856
4,4,14.873421669006348
4,5,15.199429988861084
4,6,15.02241587638855
4,7,15.265867471694946
4,8,15.046097993850708
4,9,14.952730655670166
4,10,15.007578372955322
5,1,42.27949523925781
5,2,42.6003680229187
5,3,43.09715175628662
5,4,43.606900215148926
5,5,43.58807706832886
5,6,42.68429732322693
5,7,43.786890506744385
5,8,42.54812264442444
5,9,42.766371726989746
5,10,43.108076333999634
6,1,18.815160512924194
6,2,18.514094352722168
6,3,18.673401355743408
6,4,18.588934183120728
6,5,18.516600370407104
6,6,18.602967023849487
6,7,18.460655212402344
6,8,18.78322958946228
6,9,18.460622549057007
6,10,18.642282962799072
7,1,NA
8,1,7.6464314460754395
8,2,7.491995334625244
8,3,7.588312864303589
8,4,7.633331537246704
8,5,7.542953014373779
8,6,7.647900104522705
8,7,7.78342604637146
8,8,7.556777000427246
8,9,7.646160364151001
8,10,7.869920253753662
9,1,25.540054082870483
9,2,25.39319396018982
9,3,25.601502180099487
9,4,25.405677795410156
9,5,25.450721740722656
9,6,25.702640295028687
9,7,25.749407529830933
9,8,25.506659269332886
9,9,25.470608472824097
9,10,25.558333158493042
10,1,NA
11,1,38.33939528465271
11,2,38.57325291633606
11,3,37.93000340461731
11,4,37.90596413612366
11,5,38.19877481460571
