Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
37,9,3,3,1
37,10,3,3,1
38,1,26,32,8
38,2,26,32,8
38,3,26,32,8
38,4,26,32,8
38,5,26,32,8
38,6,26,32,8
38,7,26,32,8
38,8,26,32,8
38,9,26,32,8
38,10,26,32,8
39,1,44,59,144
39,2,44,59,144
39,3,44,59,144
39,4,44,59,144
39,5,44,59,144
39,6,44,59,144
39,7,44,59,144
39,8,44,59,144
39,9,44,59,144
39,10,44,59,144
40,1,6,9,6
40,2,6,9,6
40,3,6,9,6
40,4,6,9,6
40,5,6,9,6
40,6,6,9,6
40,7,6,9,6
40,8,6,9,6
40,9,6,9,6
40,10,6,9,6
41,1,13,13,1
41,2,13,13,1
41,3,13,13,1
41,4,13,13,1
41,5,13,13,1
41,6,13,13,1
41,7,13,13,1
41,8,13,13,1
41,9,13,13,1
41,10,13,13,1
42,1,14,18,4
42,2,14,18,4
42,3,14,18,4
42,4,14,18,4
42,5,14,18,4
42,6,14,18,4
42,7,14,18,4
42,8,14,18,4
42,9,14,18,4
42,10,14,18,4
43,1,4,6,2
43,2,4,6,2
43,3,4,6,2
43,4,4,6,2
43,5,4,6,2
43,6,4,6,2
43,7,4,6,2
43,8,4,6,2
43,9,4,6,2
43,10,4,6,2
44,1,19,26,6
44,2,19,26,6
44,3,19,26,6
44,4,19,26,6
44,5,19,26,6
44,6,19,26,6
44,7,19,26,6
44,8,19,26,6
44,9,19,26,6
44,10,19,26,6
45,1,22,43,1260
45,2,22,43,1260
45,3,22,43,1260
45,4,22,43,1260
45,5,22,43,1260
45,6,22,43,1260
45,7,22,43,1260
45,8,22,43,1260
45,9,22,43,1260
45,10,22,43,1260
46,1,4,7,2
46,2,4,7,2
46,3,4,7,2
46,4,4,7,2
46,5,4,7,2
46,6,4,7,2
46,7,4,7,2
46,8,4,7,2
46,9,4,7,2
46,10,4,7,2
47,1,19,42,135
47,2,19,42,135
47,3,19,42,135
47,4,19,42,135
47,5,19,42,135
47,6,19,42,135
47,7,19,42,135
47,8,19,42,135
47,9,19,42,135
47,10,19,42,135
48,1,9,23,28
48,2,9,23,28
48,3,9,23,28
48,4,9,23,28
48,5,9,23,28
48,6,9,23,28
48,7,9,23,28
48,8,9,23,28
48,9,9,23,28
48,10,9,23,28
49,1,34,55,288
49,2,34,55,288
49,3,34,55,288
49,4,34,55,288
49,5,34,55,288
49,6,34,55,288
49,7,34,55,288
49,8,34,55,288
49,9,34,55,288
49,10,34,55,288
50,1,28,51,144
50,2,28,51,144
50,3,28,51,144
50,4,28,51,144
50,5,28,51,144
50,6,28,51,144
50,7,28,51,144
50,8,28,51,144
50,9,28,51,144
50,10,28,51,144
51,1,13,17,4
51,2,13,17,4
51,3,13,17,4
51,4,13,17,4
51,5,13,17,4
51,6,13,17,4
51,7,13,17,4
51,8,13,17,4
51,9,13,17,4
51,10,13,17,4
52,1,NA,NA,NA
53,1,23,28,9
53,2,23,28,9
53,3,23,28,9
53,4,23,28,9
53,5,23,28,9
53,6,23,28,9
53,7,23,28,9
53,8,23,28,9
53,9,23,28,9
53,10,23,28,9
54,1,5,16,40
54,2,5,16,40
54,3,5,16,40
54,4,5,16,40
54,5,5,16,40
54,6,5,16,40
54,7,5,16,40
54,8,5,16,40
54,9,5,16,40
54,10,5,16,40
55,1,5,9,3
55,2,5,9,3
55,3,5,9,3
55,4,5,9,3
55,5,5,9,3
55,6,5,9,3
55,7,5,9,3
55,8,5,9,3
55,9,5,9,3
55,10,5,9,3
56,1,4,9,3
56,2,4,9,3
56,3,4,9,3
56,4,4,9,3
56,5,4,9,3
56,6,4,9,3
56,7,4,9,3
56,8,4,9,3
56,9,4,9,3
56,10,4,9,3
57,1,11,15,8
57,2,11,15,8
57,3,11,15,8
57,4,11,15,8
57,5,11,15,8
57,6,11,15,8
57,7,11,15,8
57,8,11,15,8
57,9,11,15,8
57,10,11,15,8
58,1,4,8,3
58,2,4,8,3
58,3,4,8,3
58,4,4,8,3
58,5,4,8,3
58,6,4,8,3
58,7,4,8,3
58,8,4,8,3
58,9,4,8,3
58,10,4,8,3
59,1,34,65,672
59,2,34,65,672
59,3,34,65,672
59,4,34,65,672
59,5,34,65,672
59,6,34,65,672
59,7,34,65,672
59,8,34,65,672
59,9,34,65,672
59,10,34,65,672
