Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
1,26,48,1274
2,12,24,18
3,17,28,22
4,22,49,1472
5,8,8,1
6,12,20,8
7,3,3,1
8,29,52,720
9,4,9,3
10,28,52,600
11,21,52,300
12,35,63,2160
13,20,30,12
14,18,24,6
15,23,52,2845
16,15,22,8
17,9,26,68
18,15,31,120
19,18,40,162
21,29,50,720
22,27,54,2160
23,12,13,2
24,15,26,16
25,1,1,1
26,16,45,482
27,74,105,12960
28,0,0,1
29,28,34,12
30,29,63,2574
31,15,44,180
32,27,88,11305
34,26,45,246
35,29,65,5616
36,49,57,24
37,3,3,1
38,26,30,4
39,44,59,144
40,6,9,6
41,13,13,1
42,14,18,4
43,1,1,1
44,19,26,6
45,22,43,1260
46,4,4,1
47,19,42,135
48,9,23,28
49,31,53,192
50,28,51,144
51,13,17,4
53,14,17,2
54,5,16,40
55,5,9,3
56,4,9,3
57,11,15,8
58,4,8,3
59,27,67,2688
60,11,31,43
61,9,9,1
63,24,34,60
64,4,9,10
65,12,37,78
66,8,11,2
67,7,7,1
68,56,68,12
69,7,13,9
70,6,6,1
71,9,17,8
72,21,38,42
73,13,29,56
74,6,16,12
75,24,31,48
77,29,39,24
78,30,73,4224
79,11,32,37
80,37,47,16
82,5,5,1
83,37,65,90
84,20,42,234
85,2,2,1
86,10,12,3
87,50,80,7200
88,10,10,1
89,32,54,342
90,18,27,5
91,20,47,312
92,29,58,648
93,26,37,24
94,26,34,18
95,14,20,12
96,6,6,1
97,38,41,4
98,47,73,112
99,13,51,560
