Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0-1,6.0,9,6
0-2,6.0,9,6
0-3,6.0,9,6
0-4,6.0,9,6
0-5,6.0,9,6
0-6,6.0,9,6
0-7,6.0,9,6
0-8,6.0,9,6
0-9,6.0,9,6
0-10,6.0,9,6
1-1,39.06140350877193,63,228
1-2,39.06140350877193,63,228
1-3,39.06140350877193,63,228
1-4,39.06140350877193,63,228
1-5,39.06140350877193,63,228
1-6,39.06140350877193,63,228
1-7,39.06140350877193,63,228
1-8,39.06140350877193,63,228
1-9,39.06140350877193,63,228
1-10,39.06140350877193,63,228
2-1,11.578947368421053,25,19
2-2,11.578947368421053,25,19
2-3,11.578947368421053,25,19
2-4,11.578947368421053,25,19
2-5,11.578947368421053,25,19
2-6,11.578947368421053,25,19
2-7,11.578947368421053,25,19
2-8,11.578947368421053,25,19
2-9,11.578947368421053,25,19
2-10,11.578947368421053,25,19
3-1,8.0,10,3
3-2,8.0,10,3
3-3,8.0,10,3
3-4,8.0,10,3
3-5,8.0,10,3
3-6,8.0,10,3
3-7,8.0,10,3
3-8,8.0,10,3
3-9,8.0,10,3
3-10,8.0,10,3
4-1,33.401785714285715,62,672
4-2,33.401785714285715,62,672
4-3,33.401785714285715,62,672
4-4,33.401785714285715,62,672
4-5,33.401785714285715,62,672
4-6,33.401785714285715,62,672
4-7,33.401785714285715,62,672
4-8,33.401785714285715,62,672
4-9,33.401785714285715,62,672
4-10,33.401785714285715,62,672
5-1,4.0,4,1
5-2,4.0,4,1
5-3,4.0,4,1
5-4,4.0,4,1
5-5,4.0,4,1
5-6,4.0,4,1
5-7,4.0,4,1
5-8,4.0,4,1
5-9,4.0,4,1
5-10,4.0,4,1
6-1,15.0,18,4
6-2,15.0,18,4
6-3,15.0,18,4
6-4,15.0,18,4
6-5,15.0,18,4
6-6,15.0,18,4
6-7,15.0,18,4
6-8,15.0,18,4
6-9,15.0,18,4
6-10,15.0,18,4
7-1,24.702380952380953,62,3024
7-2,24.702380952380953,62,3024
7-3,24.702380952380953,62,3024
7-4,24.702380952380953,62,3024
7-5,24.702380952380953,62,3024
7-6,24.702380952380953,62,3024
7-7,24.702380952380953,62,3024
7-8,24.702380952380953,62,3024
7-9,24.702380952380953,62,3024
7-10,24.702380952380953,62,3024
8-1,15.0,19,4
8-2,15.0,19,4
8-3,15.0,19,4
8-4,15.0,19,4
8-5,15.0,19,4
8-6,15.0,19,4
8-7,15.0,19,4
8-8,15.0,19,4
8-9,15.0,19,4
8-10,15.0,19,4
9-1,19.27777777777778,33,144
9-2,19.27777777777778,33,144
9-3,19.27777777777778,33,144
9-4,19.27777777777778,33,144
9-5,19.27777777777778,33,144
9-6,19.27777777777778,33,144
9-7,19.27777777777778,33,144
9-8,19.27777777777778,33,144
9-9,19.27777777777778,33,144
9-10,19.27777777777778,33,144
10-1,27.678571428571427,50,1120
10-2,27.678571428571427,50,1120
10-3,27.678571428571427,50,1120
10-4,27.678571428571427,50,1120
10-5,27.678571428571427,50,1120
10-6,27.678571428571427,50,1120
10-7,27.678571428571427,50,1120
10-8,27.678571428571427,50,1120
10-9,27.678571428571427,50,1120
10-10,27.678571428571427,50,1120
11-1,14.142857142857142,32,28
11-2,14.142857142857142,32,28
11-3,14.142857142857142,32,28
11-4,14.142857142857142,32,28
11-5,14.142857142857142,32,28
11-6,14.142857142857142,32,28
11-7,14.142857142857142,32,28
11-8,14.142857142857142,32,28
11-9,14.142857142857142,32,28
11-10,14.142857142857142,32,28
12,NA,NA,NA
