Signature,Iteration,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,1,6,9,6
0,2,6,9,6
0,3,6,9,6
0,4,6,9,6
0,5,6,9,6
0,6,6,9,6
0,7,6,9,6
0,8,6,9,6
0,9,6,9,6
0,10,6,9,6
1,1,38,63,228
1,2,38,63,228
1,3,38,63,228
1,4,38,63,228
1,5,38,63,228
1,6,38,63,228
1,7,38,63,228
1,8,38,63,228
1,9,38,63,228
1,10,38,63,228
2,1,11,25,19
2,2,11,25,19
2,3,11,25,19
2,4,11,25,19
2,5,11,25,19
2,6,11,25,19
2,7,11,25,19
2,8,11,25,19
2,9,11,25,19
2,10,11,25,19
3,1,8,10,3
3,2,8,10,3
3,3,8,10,3
3,4,8,10,3
3,5,8,10,3
3,6,8,10,3
3,7,8,10,3
3,8,8,10,3
3,9,8,10,3
3,10,8,10,3
4,1,36,62,672
4,2,36,62,672
4,3,36,62,672
4,4,36,62,672
4,5,36,62,672
4,6,36,62,672
4,7,36,62,672
4,8,36,62,672
4,9,36,62,672
4,10,36,62,672
5,1,4,4,1
5,2,4,4,1
5,3,4,4,1
5,4,4,4,1
5,5,4,4,1
5,6,4,4,1
5,7,4,4,1
5,8,4,4,1
5,9,4,4,1
5,10,4,4,1
6,1,15,18,4
6,2,15,18,4
6,3,15,18,4
6,4,15,18,4
6,5,15,18,4
6,6,15,18,4
6,7,15,18,4
6,8,15,18,4
6,9,15,18,4
6,10,15,18,4
7,1,24,62,3024
7,2,24,62,3024
7,3,24,62,3024
7,4,24,62,3024
7,5,24,62,3024
7,6,24,62,3024
7,7,24,62,3024
7,8,24,62,3024
7,9,24,62,3024
7,10,24,62,3024
8,1,15,19,4
8,2,15,19,4
8,3,15,19,4
8,4,15,19,4
8,5,15,19,4
8,6,15,19,4
8,7,15,19,4
8,8,15,19,4
8,9,15,19,4
8,10,15,19,4
9,1,20,33,144
9,2,20,33,144
9,3,20,33,144
9,4,20,33,144
9,5,20,33,144
9,6,20,33,144
9,7,20,33,144
9,8,20,33,144
9,9,20,33,144
9,10,20,33,144
10,1,31,50,1120
10,2,31,50,1120
10,3,31,50,1120
10,4,31,50,1120
10,5,31,50,1120
10,6,31,50,1120
10,7,31,50,1120
10,8,31,50,1120
10,9,31,50,1120
10,10,31,50,1120
11,1,15,32,28
11,2,15,32,28
11,3,15,32,28
11,4,15,32,28
11,5,15,32,28
11,6,15,32,28
11,7,15,32,28
11,8,15,32,28
11,9,15,32,28
11,10,15,32,28
12,1,NA,NA,NA
13,1,40,67,588
13,2,40,67,588
13,3,40,67,588
13,4,40,67,588
13,5,40,67,588
13,6,40,67,588
13,7,40,67,588
13,8,40,67,588
13,9,40,67,588
13,10,40,67,588
14,1,20,33,28
14,2,20,33,28
14,3,20,33,28
14,4,20,33,28
14,5,20,33,28
14,6,20,33,28
14,7,20,33,28
14,8,20,33,28
14,9,20,33,28
14,10,20,33,28
15,1,20,41,378
15,2,20,41,378
15,3,20,41,378
15,4,20,41,378
15,5,20,41,378
15,6,20,41,378
15,7,20,41,378
15,8,20,41,378
15,9,20,41,378
15,10,20,41,378
16,1,NA,NA,NA
17,1,19,36,96
17,2,19,36,96
17,3,19,36,96
17,4,19,36,96
17,5,19,36,96
17,6,19,36,96
17,7,19,36,96
17,8,19,36,96
17,9,19,36,96
17,10,19,36,96
18,1,4,5,2
18,2,4,5,2
18,3,4,5,2
18,4,4,5,2
18,5,4,5,2
18,6,4,5,2
18,7,4,5,2
18,8,4,5,2
18,9,4,5,2
18,10,4,5,2
19,1,20,29,18
19,2,20,29,18
19,3,20,29,18
19,4,20,29,18
19,5,20,29,18
19,6,20,29,18
19,7,20,29,18
19,8,20,29,18
19,9,20,29,18
19,10,20,29,18
20,1,23,30,4
