Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
729,NA,NA,NA,NA
730,NA,NA,NA,NA
731,NA,NA,NA,NA
732,NA,NA,NA,NA
733,NA,NA,NA,NA
734,NA,NA,NA,NA
735,NA,NA,NA,NA
736,NA,NA,NA,NA
737,NA,NA,NA,NA
738,NA,NA,NA,NA
739,NA,NA,NA,NA
740,NA,NA,NA,NA
741,456.7531759738922,5.0,5,1
742,579.402446269989,15.0,17,2
743,NA,NA,NA,NA
744,NA,NA,NA,NA
745,NA,NA,NA,NA
746,NA,NA,NA,NA
747,NA,NA,NA,NA
748,NA,NA,NA,NA
749,487.3842120170593,6.0,7,2
750,NA,NA,NA,NA
751,NA,NA,NA,NA
752,NA,NA,NA,NA
753,NA,NA,NA,NA
754,NA,NA,NA,NA
755,NA,NA,NA,NA
756,NA,NA,NA,NA
757,NA,NA,NA,NA
758,NA,NA,NA,NA
759,NA,NA,NA,NA
760,NA,NA,NA,NA
761,NA,NA,NA,NA
762,NA,NA,NA,NA
763,NA,NA,NA,NA
764,443.77860927581787,0.0,0,1
765,NA,NA,NA,NA
766,NA,NA,NA,NA
767,NA,NA,NA,NA
768,NA,NA,NA,NA
769,NA,NA,NA,NA
770,NA,NA,NA,NA
771,NA,NA,NA,NA
772,NA,NA,NA,NA
773,NA,NA,NA,NA
774,NA,NA,NA,NA
775,NA,NA,NA,NA
776,NA,NA,NA,NA
777,496.1855926513672,7.0,7,1
778,NA,NA,NA,NA
779,NA,NA,NA,NA
780,NA,NA,NA,NA
781,NA,NA,NA,NA
782,NA,NA,NA,NA
783,NA,NA,NA,NA
784,NA,NA,NA,NA
785,NA,NA,NA,NA
786,NA,NA,NA,NA
787,NA,NA,NA,NA
788,495.1787588596344,2.0,2,1
789,NA,NA,NA,NA
790,NA,NA,NA,NA
791,352.62188267707825,3.0,3,1
792,NA,NA,NA,NA
793,NA,NA,NA,NA
794,NA,NA,NA,NA
795,NA,NA,NA,NA
796,NA,NA,NA,NA
797,NA,NA,NA,NA
