Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,20,33,32
1,18,28,20
2,33,46,72
3,29,68,3199
4,11,23,20
5,NA,NA,NA
6,NA,NA,NA
7,0,0,1
8,5,16,8
9,5,16,21
10,9,9,1
11,NA,NA,NA
12,11,14,2
13,2,2,1
14,16,24,18
15,NA,NA,NA
16,15,17,2
17,NA,NA,NA
18,NA,NA,NA
19,21,44,114
20,NA,NA,NA
21,NA,NA,NA
22,14,39,240
23,17,31,36
24,14,18,4
25,13,35,96
26,5,6,2
27,19,35,108
28,16,29,45
29,48,87,2288
30,NA,NA,NA
31,3,5,2
32,9,28,50
33,NA,NA,NA
34,NA,NA,NA
35,14,28,11
36,NA,NA,NA
37,NA,NA,NA
38,8,14,6
39,NA,NA,NA
40,53,89,4608
41,55,62,28
42,25,27,4
43,NA,NA,NA
44,28,62,2496
45,41,73,2754
46,19,21,2
47,53,73,120
48,NA,NA,NA
49,NA,NA,NA
50,1,1,1
51,7,9,2
52,15,38,324
53,NA,NA,NA
54,20,48,640
55,21,45,360
56,5,5,1
57,17,20,6
58,NA,NA,NA
59,NA,NA,NA
60,20,53,3600
61,66,78,16
62,34,81,19700
63,1,1,1
64,0,0,1
65,18,25,32
66,2,10,5
67,37,76,9504
68,11,16,3
69,10,10,1
70,8,24,21
71,21,45,1080
72,NA,NA,NA
73,NA,NA,NA
74,NA,NA,NA
75,9,24,16
76,20,41,45
77,13,16,4
78,47,53,8
79,NA,NA,NA
80,26,44,128
81,NA,NA,NA
82,27,63,696
83,NA,NA,NA
84,0,0,1
85,29,40,18
86,22,30,27
87,20,20,1
88,28,42,216
89,NA,NA,NA
90,12,30,35
91,19,46,540
92,4,8,6
93,7,17,5
94,8,21,25
95,NA,NA,NA
96,31,69,6144
97,NA,NA,NA
98,NA,NA,NA
99,19,29,36
