Signature Name,Iteration,Size of First Minimal Module,Size of Union of All Minimal Modules,Number of Minimal Modules
1,1,32,52,1274
1,2,32,52,1274
1,3,32,52,1274
1,4,32,52,1274
1,5,32,52,1274
1,6,32,52,1274
1,7,32,52,1274
1,8,32,52,1274
1,9,32,52,1274
1,10,32,52,1274
2,1,12,24,18
2,2,12,24,18
2,3,12,24,18
2,4,12,24,18
2,5,12,24,18
2,6,12,24,18
2,7,12,24,18
2,8,12,24,18
2,9,12,24,18
2,10,12,24,18
3,1,28,37,22
3,2,28,37,22
3,3,28,37,22
3,4,28,37,22
3,5,28,37,22
3,6,28,37,22
3,7,28,37,22
3,8,28,37,22
3,9,28,37,22
3,10,28,37,22
4,1,19,49,1472
4,2,19,49,1472
4,3,19,49,1472
4,4,19,49,1472
4,5,19,49,1472
4,6,19,49,1472
4,7,19,49,1472
4,8,19,49,1472
4,9,19,49,1472
4,10,19,49,1472
5,1,8,8,1
5,2,8,8,1
5,3,8,8,1
5,4,8,8,1
5,5,8,8,1
5,6,8,8,1
5,7,8,8,1
5,8,8,8,1
5,9,8,8,1
5,10,8,8,1
6,1,17,40,112
6,2,17,40,112
6,3,17,40,112
6,4,17,40,112
6,5,17,40,112
6,6,17,40,112
6,7,17,40,112
6,8,17,40,112
6,9,17,40,112
6,10,17,40,112
7,1,9,12,3
7,2,9,12,3
7,3,9,12,3
7,4,9,12,3
7,5,9,12,3
7,6,9,12,3
7,7,9,12,3
7,8,9,12,3
7,9,9,12,3
7,10,9,12,3
8,1,40,68,5760
8,2,40,68,5760
8,3,40,68,5760
8,4,40,68,5760
8,5,40,68,5760
8,6,40,68,5760
8,7,40,68,5760
8,8,40,68,5760
8,9,40,68,5760
8,10,40,68,5760
9,1,8,12,3
9,2,8,12,3
9,3,8,12,3
9,4,8,12,3
9,5,8,12,3
9,6,8,12,3
9,7,8,12,3
9,8,8,12,3
9,9,8,12,3
9,10,8,12,3
10,1,32,52,600
10,2,32,52,600
10,3,32,52,600
10,4,32,52,600
10,5,32,52,600
10,6,32,52,600
10,7,32,52,600
10,8,32,52,600
10,9,32,52,600
10,10,32,52,600
11,1,17,52,300
11,2,17,52,300
11,3,17,52,300
11,4,17,52,300
11,5,17,52,300
11,6,17,52,300
11,7,17,52,300
11,8,17,52,300
11,9,17,52,300
11,10,17,52,300
12,1,39,68,4320
12,2,39,68,4320
12,3,39,68,4320
12,4,39,68,4320
12,5,39,68,4320
12,6,39,68,4320
12,7,39,68,4320
12,8,39,68,4320
12,9,39,68,4320
12,10,39,68,4320
13,1,18,30,12
13,2,18,30,12
13,3,18,30,12
13,4,18,30,12
13,5,18,30,12
13,6,18,30,12
13,7,18,30,12
13,8,18,30,12
13,9,18,30,12
