load_time
13.58441
k,sig_time
0,0.29263
1,0.29543
2,0.28814
3,0.30481
4,0.25803
5,0.29042
6,0.30407
7,0.30034
8,0.18363
9,0.28411
10,0.32716
11,0.27712
12,0.38098
13,0.29418
14,0.27772
15,0.34915
16,0.35162
17,0.34625
18,0.32408
19,0.25918
20,0.31438
21,0.26064
22,0.30023
23,0.31422
24,0.28213
25,0.26758
26,0.27384
27,0.27848
28,0.30124
29,0.33012
30,0.326
31,0.2814
32,0.32583
33,0.28492
34,0.30799
35,0.30672
36,0.24278
37,0.33402
38,0.27195
39,0.32994
40,0.30205
41,0.28909
42,0.3183
43,0.29108
44,0.25414
45,0.26884
46,0.29698
47,0.28586
48,0.27513
49,0.36619
50,0.30555
51,0.29651
52,0.24447
53,0.30171
54,0.28013
55,0.31141
56,0.26995
57,0.31804
58,0.27697
59,0.32609
60,0.28333
61,0.26437
62,0.35868
63,0.2549
64,0.31345
65,0.30462
66,0.28717
67,0.28773
68,0.3019
69,0.29403
70,0.27834
71,0.27617
72,0.26767
73,0.27077
74,0.28337
75,0.30714
76,0.27927
77,0.32399
78,0.29015
79,0.31069
80,0.30002
81,0.27083
82,0.27165
83,0.30968
84,0.26087
85,0.28069
86,0.33309
87,0.34592
88,0.3026
89,0.42887
90,0.28109
91,0.26603
92,0.28904
93,0.29306
94,0.19177
95,0.29215
96,0.25979
97,0.18367
98,0.2705
99,0.28672
