load_time
13.19907
k,sig_time
0,0.27398
1,0.3189
2,0.27211
3,0.28242
4,0.33932
5,0.29086
6,0.28186
7,0.30637
8,0.28056
9,0.31502
10,0.30103
11,0.28772
12,0.31103
13,0.32312
14,0.28586
15,0.30624
16,0.34639
17,0.28845
18,0.2597
19,0.276
20,0.28078
21,0.29617
22,0.25932
23,0.31796
24,0.38354
25,0.33293
26,0.35226
27,0.28934
28,0.34588
29,0.33296
30,0.3253
31,0.27917
32,0.18244
33,0.27228
34,0.29244
35,0.28417
36,0.30507
37,0.26311
38,0.31907
39,0.29134
40,0.31675
41,0.30205
42,0.27752
43,0.33701
44,0.31168
45,0.24742
46,0.31829
47,0.2977
48,0.30156
49,0.31103
50,0.2574
51,0.30166
52,0.38941
53,0.30836
54,0.25943
55,0.33107
56,0.261
57,0.31633
58,0.25352
59,0.34473
60,0.26208
61,0.27728
62,0.27389
63,0.27373
64,0.28817
65,0.30415
66,0.35855
67,0.27175
68,0.27973
69,0.35466
70,0.30071
71,0.19485
72,0.26938
73,0.30909
74,0.18634
75,0.28721
76,0.31539
77,0.24328
78,0.3277
79,0.39347
80,0.33243
81,0.30453
82,0.31389
83,0.30247
84,0.28561
85,0.25639
86,0.31712
87,0.28682
88,0.23742
89,0.33172
90,0.28514
91,0.1993
92,0.28289
93,0.37179
94,0.27503
95,0.38325
96,0.2855
97,0.25159
98,0.27092
99,0.30212
