Signature,Time Spent
0,0.226975679397583
1,0.22503137588500977
2,NA
3,0.17322230339050293
4,0.21270489692687988
5,NA
6,0.19863510131835938
7,0.2064647674560547
8,0.23301315307617188
9,0.2115492820739746
10,0.1530604362487793
11,0.15942668914794922
12,0.2452085018157959
13,0.2192847728729248
14,NA
15,0.2178173065185547
16,0.21006250381469727
17,0.16440272331237793
18,0.16486358642578125
19,0.21796488761901855
20,0.2039952278137207
21,0.21590471267700195
22,0.24767351150512695
23,0.1982107162475586
24,NA
25,0.18921351432800293
26,0.20769548416137695
27,0.16262078285217285
28,0.2108933925628662
29,0.22498750686645508
30,0.232985258102417
31,0.19896888732910156
32,NA
33,0.21987700462341309
34,0.15901780128479004
35,0.20932364463806152
36,0.20778703689575195
37,0.1813035011291504
38,0.1632537841796875
39,0.15469026565551758
40,0.21308207511901855
41,0.25899577140808105
42,0.22922778129577637
43,0.2253098487854004
44,0.26511216163635254
45,NA
46,NA
47,NA
48,0.23255348205566406
49,0.20378828048706055
50,0.20886588096618652
51,0.20799875259399414
52,0.15581798553466797
53,NA
54,0.22050929069519043
55,0.26811695098876953
56,0.2036576271057129
57,0.17361021041870117
58,0.21954560279846191
59,NA
60,NA
61,0.2157135009765625
62,NA
63,0.21720099449157715
64,NA
65,0.18950510025024414
66,0.2158505916595459
67,0.20719432830810547
68,0.16462945938110352
69,0.21707797050476074
70,0.19924688339233398
71,NA
72,0.20519542694091797
73,0.20869112014770508
74,0.2214510440826416
75,0.2225644588470459
76,0.21129107475280762
77,NA
78,0.20625686645507812
79,0.20448851585388184
80,0.21326017379760742
81,0.2176954746246338
82,0.22004413604736328
83,0.2157421112060547
84,0.19024324417114258
85,0.19756603240966797
86,0.21739745140075684
87,0.20716118812561035
88,NA
89,0.21087360382080078
90,0.17348027229309082
91,0.16432547569274902
92,0.2080674171447754
93,0.19338345527648926
94,0.2154395580291748
95,0.21131277084350586
96,0.24527239799499512
97,0.2236180305480957
98,NA
99,NA
