Signature,Time Spent
0,NA
1,9.272071599960327
2,0.652554988861084
3,0.7142133712768555
4,15.488606929779053
5,0.5578351020812988
6,0.6557190418243408
7,0.4902031421661377
8,1.6205382347106934
9,0.5511505603790283
10,4.707094430923462
11,1.043482780456543
12,66.75763082504272
13,0.6373844146728516
14,0.600895881652832
15,13.50525951385498
16,0.6934957504272461
17,0.8656833171844482
18,0.6725640296936035
19,1.1341118812561035
20,NA
21,1.6259725093841553
22,9.210989713668823
23,0.5894594192504883
24,0.7322218418121338
25,0.457244873046875
26,2.3516077995300293
27,316.4786584377289
28,0.44249606132507324
29,0.7021923065185547
30,35.47053003311157
31,0.8930714130401611
32,524.4303719997406
33,NA
34,0.8102483749389648
35,33.44266104698181
36,0.7766664028167725
37,0.4796426296234131
38,0.7068567276000977
39,0.9496958255767822
40,0.5543980598449707
41,0.5865645408630371
42,0.6136360168457031
43,0.5311434268951416
44,0.6573193073272705
45,2.330460786819458
46,0.48503684997558594
47,1.0483131408691406
48,0.6538069248199463
49,1.211773157119751
50,1.008293628692627
51,0.6305339336395264
52,NA
53,0.638979434967041
54,0.733708381652832
55,0.542076826095581
56,0.608062744140625
57,0.6345922946929932
58,0.5378327369689941
59,14.806039810180664
60,0.8523929119110107
61,0.5565247535705566
62,NA
63,0.929595947265625
64,0.6251256465911865
65,0.7548666000366211
66,0.528672456741333
67,0.5603759288787842
68,0.7695910930633545
69,0.7920420169830322
70,0.5370373725891113
71,0.9017786979675293
72,0.8126010894775391
73,0.6830751895904541
74,0.6058568954467773
75,0.7358512878417969
76,NA
77,0.7236359119415283
78,31.69217848777771
79,0.9151332378387451
80,0.768395185470581
81,NA
82,0.5104265213012695
83,0.9002113342285156
84,1.4066076278686523
85,0.5512485504150391
86,0.5506229400634766
87,28.787686109542847
88,0.9042227268218994
89,0.9477615356445312
90,0.6106007099151611
91,1.0995759963989258
92,1.0950520038604736
93,0.7457535266876221
94,0.7220590114593506
95,0.6288723945617676
96,0.5849783420562744
97,0.7477774620056152
98,0.8594799041748047
99,1.530588150024414
