Signature,First Minimal Module Size,Union of All Module Size,Number of Minimal Modules
603,2,2,1
604,2,3,2
605,12,20,5
606,NA,NA,NA
607,15,22,8
608,4,18,9
609,NA,NA,NA
610,23,26,8
611,NA,NA,NA
612,2,2,1
613,2,2,1
614,2,2,1
615,20,24,16
616,3,18,8
617,17,20,8
618,1,1,1
619,15,15,1
620,NA,NA,NA
621,6,6,1
622,21,24,2
623,5,5,1
624,17,23,3
625,18,18,1
626,0,0,1
627,5,5,1
628,0,0,1
629,11,15,3
630,3,3,1
631,NA,NA,NA
632,8,8,1
633,NA,NA,NA
634,12,12,1
635,NA,NA,NA
636,NA,NA,NA
637,NA,NA,NA
638,NA,NA,NA
639,2,2,1
640,NA,NA,NA
641,31,55,7
642,2,2,1
643,2,2,1
644,11,11,1
645,12,15,2
646,NA,NA,NA
647,NA,NA,NA
648,0,0,1
649,4,4,1
650,3,3,1
651,2,2,1
652,2,2,1
653,14,14,1
654,19,25,32
655,2,2,1
656,NA,NA,NA
657,18,45,360
658,14,17,8
659,8,11,8
660,NA,NA,NA
661,4,4,1
662,2,2,1
663,17,17,1
664,14,47,324
665,NA,NA,NA
666,NA,NA,NA
667,NA,NA,NA
668,9,9,1
669,2,2,1
670,0,0,1
671,0,0,1
672,0,0,1
673,32,55,16
674,2,3,2
675,4,4,1
676,NA,NA,NA
677,18,22,4
678,NA,NA,NA
679,5,5,1
680,4,4,1
681,4,5,2
682,7,8,2
683,18,18,1
684,5,8,2
685,5,6,2
686,1,1,1
687,43,61,72
688,0,0,1
689,13,15,2
690,3,3,1
691,0,0,1
692,17,23,3
693,12,13,2
694,17,23,48
695,59,93,520
696,21,47,264
697,18,24,8
698,NA,NA,NA
699,4,4,1
700,8,8,1
701,6,6,1
702,9,11,2
703,NA,NA,NA
704,8,8,1
705,2,2,1
706,28,43,24
707,4,5,2
708,NA,NA,NA
709,22,22,1
710,2,2,1
711,7,12,4
712,26,57,37
713,17,23,3
714,NA,NA,NA
715,7,7,1
716,5,5,1
717,4,4,1
718,2,3,2
719,6,6,1
720,4,5,2
721,8,9,2
722,NA,NA,NA
723,6,7,2
724,6,6,1
725,5,6,2
726,7,9,2
727,9,9,1
728,NA,NA,NA
729,20,28,8
730,NA,NA,NA
731,4,4,1
732,9,10,2
733,2,2,1
734,3,3,1
735,NA,NA,NA
736,NA,NA,NA
737,7,7,1
738,3,3,1
739,4,4,1
740,12,12,1
741,5,5,1
742,16,18,2
743,2,2,1
744,23,24,2
745,NA,NA,NA
746,17,28,4
747,14,27,14
748,23,31,32
