Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
0,NA,NA,NA
1,27.076923076923077,48,1274
2,12.0,24,18
3,17.318181818181817,28,22
4,23.22554347826087,49,1472
5,8.0,8,1
6,11.0,20,8
7,3.0,3,1
8,28.666666666666668,52,720
9,4.333333333333333,9,3
10,28.64666666666667,52,600
11,18.293333333333333,52,300
12,34.5,63,2160
13,18.833333333333332,30,12
14,16.5,24,6
15,20.43409490333919,52,2845
16,15.0,22,8
17,9.5,26,68
18,16.85,31,120
19,20.88888888888889,40,162
20,NA,NA,NA
21,27.666666666666668,50,720
22,28.808333333333334,54,2160
23,12.0,13,2
24,15.0,26,16
25,1.0,1,1
26,14.736514522821576,45,482
27,74.66666666666667,105,12960
28,0.0,0,1
29,26.0,34,12
30,24.28982128982129,63,2574
31,16.516666666666666,44,180
32,27.04281291463954,88,11305
33,NA,NA,NA
34,23.93089430894309,45,246
35,30.71794871794872,65,5616
36,48.5,57,24
37,3.0,3,1
38,26.0,30,4
39,44.041666666666664,59,144
40,6.0,9,6
41,13.0,13,1
42,14.5,18,4
43,1.0,1,1
44,19.0,26,6
45,20.795238095238094,43,1260
46,4.0,4,1
47,20.42222222222222,42,135
48,10.964285714285714,23,28
49,32.708333333333336,53,192
50,29.083333333333332,51,144
51,12.5,17,4
52,NA,NA,NA
53,14.5,17,2
54,5.0,16,40
55,5.0,9,3
56,5.0,9,3
57,11.0,15,8
58,4.0,8,3
59,30.553571428571427,67,2688
60,11.930232558139535,31,43
61,9.0,9,1
62,NA,NA,NA
63,22.766666666666666,34,60
64,3.6,9,10
65,12.73076923076923,37,78
66,8.0,11,2
67,7.0,7,1
68,56.666666666666664,68,12
69,7.0,13,9
70,6.0,6,1
71,7.375,17,8
72,20.642857142857142,38,42
73,15.642857142857142,29,56
74,6.0,16,12
75,23.5,31,48
76,NA,NA,NA
77,27.666666666666668,39,24
78,33.96212121212121,73,4224
79,10.621621621621621,32,37
80,37.0,47,16
81,NA,NA,NA
82,5.0,5,1
83,37.733333333333334,65,90
84,19.294871794871796,42,234
85,2.0,2,1
86,10.0,12,3
87,51.166666666666664,80,7200
88,10.0,10,1
89,30.68421052631579,54,342
90,18.8,27,5
91,22.064102564102566,47,312
92,28.416666666666668,58,648
93,25.916666666666668,37,24
94,25.055555555555557,34,18
95,13.0,20,12
96,6.0,6,1
97,38.0,41,4
98,46.5,73,112
99,16.607142857142858,51,560
