Signature,AMM_Time,Average_MM_Size,Union_AMM_Size,Number_MM
0,NA,NA,NA,NA
1,NA,NA,NA,NA
2,NA,NA,NA,NA
3,113.19874382019043,26.318181818181817,37,22
4,NA,NA,NA,NA
5,NA,NA,NA,NA
6,NA,NA,NA,NA
7,15.164442777633667,9.0,12,3
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,NA,NA,NA,NA
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,NA,NA,NA,NA
15,NA,NA,NA,NA
16,27.747754335403442,22.0,29,8
17,NA,NA,NA,NA
18,NA,NA,NA,NA
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,16.10864806175232,1.0,1,1
26,NA,NA,NA,NA
27,NA,NA,NA,NA
28,47.98660397529602,0.0,0,1
29,35.34346318244934,27.0,34,6
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,NA,NA,NA,NA
35,NA,NA,NA,NA
36,25.712183475494385,48.0,56,10
37,12.975428104400635,3.0,3,1
38,38.59379720687866,26.0,30,4
39,NA,NA,NA,NA
40,NA,NA,NA,NA
41,NA,NA,NA,NA
42,NA,NA,NA,NA
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,NA,NA,NA,NA
48,56.66149711608887,10.964285714285714,23,28
49,NA,NA,NA,NA
50,NA,NA,NA,NA
51,NA,NA,NA,NA
52,NA,NA,NA,NA
53,NA,NA,NA,NA
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,9.022785186767578,4.0,6,3
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,NA,NA,NA,NA
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,NA,NA,NA,NA
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,NA,NA,NA,NA
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,NA,NA,NA,NA
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,NA,NA,NA,NA
80,NA,NA,NA,NA
81,NA,NA,NA,NA
82,NA,NA,NA,NA
83,NA,NA,NA,NA
84,68.93717646598816,18.75,28,24
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,14.003252506256104,18.75,23,4
91,NA,NA,NA,NA
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,NA,NA,NA,NA
96,NA,NA,NA,NA
97,NA,NA,NA,NA
98,473.03663897514343,44.0,61,14
99,NA,NA,NA,NA
