Signature,Time Spent
0,0.21166396141052246
1,0.1586911678314209
2,0.2123095989227295
3,0.21344494819641113
4,NA
5,0.21023154258728027
6,NA
7,0.20655488967895508
8,NA
9,0.2093520164489746
10,0.20861124992370605
11,0.20438170433044434
12,0.22582030296325684
13,0.21433115005493164
14,0.20352792739868164
15,0.15479373931884766
16,0.193284273147583
17,NA
18,0.16555380821228027
19,0.20974087715148926
20,0.2067117691040039
21,0.21133780479431152
22,0.25897645950317383
23,NA
24,NA
25,0.20936131477355957
26,NA
27,0.20757794380187988
28,0.2514512538909912
29,0.1883699893951416
30,0.20829296112060547
31,0.15945196151733398
32,0.21531987190246582
33,0.2655036449432373
34,0.1997511386871338
35,NA
36,0.14797353744506836
37,0.23839998245239258
38,0.22046756744384766
39,0.18453359603881836
40,0.24104785919189453
41,0.23739337921142578
42,NA
43,0.16857361793518066
44,0.20740723609924316
45,0.20829319953918457
46,0.22633767127990723
47,0.21142959594726562
48,0.20989680290222168
49,0.1991887092590332
50,0.15815162658691406
51,0.21150803565979004
52,0.15974211692810059
53,0.20384001731872559
54,0.21581172943115234
55,0.20369744300842285
56,0.16764521598815918
57,0.15981006622314453
58,0.2080976963043213
59,0.1950995922088623
60,0.20026636123657227
61,0.15467000007629395
62,0.19782471656799316
63,0.17032790184020996
64,0.205031156539917
65,0.2058725357055664
66,0.16623306274414062
67,0.20078420639038086
68,0.21730709075927734
69,0.20407891273498535
70,0.21667742729187012
71,0.16043591499328613
72,0.20740413665771484
73,NA
74,0.16070795059204102
75,0.19032859802246094
76,0.2442796230316162
77,0.22294998168945312
78,0.2125091552734375
79,0.20839548110961914
80,0.1898818016052246
81,0.21287226676940918
82,NA
83,0.20304298400878906
84,0.15907549858093262
85,NA
86,0.20648908615112305
87,0.21694207191467285
88,0.20615673065185547
89,0.22391057014465332
90,0.19620323181152344
91,0.16437244415283203
92,0.256162166595459
93,0.1591031551361084
94,NA
95,0.16035079956054688
96,0.2110302448272705
97,0.1684253215789795
98,0.20944666862487793
99,0.21413850784301758
