Signature,Average Minimal Module Size,Union of All Module Size,Number of Minimal Modules
48-7,18.21170463472113,74,5092
48-8,18.21170463472113,74,5092
48-9,18.21170463472113,74,5092
48-10,18.21170463472113,74,5092
49-1,11.0,11,1
49-2,11.0,11,1
49-3,11.0,11,1
49-4,11.0,11,1
49-5,11.0,11,1
49-6,11.0,11,1
49-7,11.0,11,1
49-8,11.0,11,1
49-9,11.0,11,1
49-10,11.0,11,1
50-1,10.0,12,2
50-2,10.0,12,2
50-3,10.0,12,2
50-4,10.0,12,2
50-5,10.0,12,2
50-6,10.0,12,2
50-7,10.0,12,2
50-8,10.0,12,2
50-9,10.0,12,2
50-10,10.0,12,2
51-1,13.523809523809524,29,42
51-2,13.523809523809524,29,42
51-3,13.523809523809524,29,42
51-4,13.523809523809524,29,42
51-5,13.523809523809524,29,42
51-6,13.523809523809524,29,42
51-7,13.523809523809524,29,42
51-8,13.523809523809524,29,42
51-9,13.523809523809524,29,42
51-10,13.523809523809524,29,42
52-1,15.930434782608696,38,230
52-2,15.930434782608696,38,230
52-3,15.930434782608696,38,230
52-4,15.930434782608696,38,230
52-5,15.930434782608696,38,230
52-6,15.930434782608696,38,230
52-7,15.930434782608696,38,230
52-8,15.930434782608696,38,230
52-9,15.930434782608696,38,230
52-10,15.930434782608696,38,230
53-1,43.563793103448276,78,2320
53-2,43.563793103448276,78,2320
53-3,43.563793103448276,78,2320
53-4,43.563793103448276,78,2320
53-5,43.563793103448276,78,2320
53-6,43.563793103448276,78,2320
53-7,43.563793103448276,78,2320
53-8,43.563793103448276,78,2320
53-9,43.563793103448276,78,2320
53-10,43.563793103448276,78,2320
54-1,13.333333333333334,25,36
54-2,13.333333333333334,25,36
54-3,13.333333333333334,25,36
54-4,13.333333333333334,25,36
54-5,13.333333333333334,25,36
54-6,13.333333333333334,25,36
54-7,13.333333333333334,25,36
54-8,13.333333333333334,25,36
54-9,13.333333333333334,25,36
54-10,13.333333333333334,25,36
55-1,33.391666666666666,61,240
55-2,33.391666666666666,61,240
55-3,33.391666666666666,61,240
55-4,33.391666666666666,61,240
55-5,33.391666666666666,61,240
55-6,33.391666666666666,61,240
55-7,33.391666666666666,61,240
55-8,33.391666666666666,61,240
55-9,33.391666666666666,61,240
55-10,33.391666666666666,61,240
56-1,17.0,26,24
56-2,17.0,26,24
56-3,17.0,26,24
56-4,17.0,26,24
56-5,17.0,26,24
56-6,17.0,26,24
56-7,17.0,26,24
56-8,17.0,26,24
56-9,17.0,26,24
56-10,17.0,26,24
57-1,26.033333333333335,41,30
57-2,26.033333333333335,41,30
57-3,26.033333333333335,41,30
57-4,26.033333333333335,41,30
57-5,26.033333333333335,41,30
57-6,26.033333333333335,41,30
57-7,26.033333333333335,41,30
57-8,26.033333333333335,41,30
57-9,26.033333333333335,41,30
57-10,26.033333333333335,41,30
58-1,12.428571428571429,23,14
58-2,12.428571428571429,23,14
58-3,12.428571428571429,23,14
58-4,12.428571428571429,23,14
58-5,12.428571428571429,23,14
58-6,12.428571428571429,23,14
58-7,12.428571428571429,23,14
58-8,12.428571428571429,23,14
58-9,12.428571428571429,23,14
58-10,12.428571428571429,23,14
59-1,17.5,24,18
59-2,17.5,24,18
59-3,17.5,24,18
59-4,17.5,24,18
59-5,17.5,24,18
59-6,17.5,24,18
59-7,17.5,24,18
59-8,17.5,24,18
59-9,17.5,24,18
59-10,17.5,24,18
60-1,12.738095238095237,27,84
60-2,12.738095238095237,27,84
60-3,12.738095238095237,27,84
60-4,12.738095238095237,27,84
60-5,12.738095238095237,27,84
60-6,12.738095238095237,27,84
60-7,12.738095238095237,27,84
60-8,12.738095238095237,27,84
60-9,12.738095238095237,27,84
60-10,12.738095238095237,27,84
61-1,11.625,23,24
61-2,11.625,23,24
61-3,11.625,23,24
61-4,11.625,23,24
61-5,11.625,23,24
61-6,11.625,23,24
61-7,11.625,23,24
61-8,11.625,23,24
61-9,11.625,23,24
61-10,11.625,23,24
62-1,11.0,11,1
62-2,11.0,11,1
62-3,11.0,11,1
62-4,11.0,11,1
62-5,11.0,11,1
62-6,11.0,11,1
62-7,11.0,11,1
62-8,11.0,11,1
62-9,11.0,11,1
62-10,11.0,11,1
63-1,19.166666666666668,24,6
63-2,19.166666666666668,24,6
63-3,19.166666666666668,24,6
63-4,19.166666666666668,24,6
63-5,19.166666666666668,24,6
63-6,19.166666666666668,24,6
63-7,19.166666666666668,24,6
63-8,19.166666666666668,24,6
63-9,19.166666666666668,24,6
63-10,19.166666666666668,24,6
64,NA,NA,NA
65-1,13.666666666666666,73,2160
65-2,13.666666666666666,73,2160
65-3,13.666666666666666,73,2160
65-4,13.666666666666666,73,2160
65-5,13.666666666666666,73,2160
65-6,13.666666666666666,73,2160
65-7,13.666666666666666,73,2160
65-8,13.666666666666666,73,2160
65-9,13.666666666666666,73,2160
65-10,13.666666666666666,73,2160
66-1,57.5,61,4
66-2,57.5,61,4
66-3,57.5,61,4
66-4,57.5,61,4
66-5,57.5,61,4
66-6,57.5,61,4
66-7,57.5,61,4
66-8,57.5,61,4
66-9,57.5,61,4
66-10,57.5,61,4
67-1,10.0,10,1
67-2,10.0,10,1
67-3,10.0,10,1
67-4,10.0,10,1
67-5,10.0,10,1
67-6,10.0,10,1
67-7,10.0,10,1
67-8,10.0,10,1
67-9,10.0,10,1
67-10,10.0,10,1
68,NA,NA,NA
69-1,15.0,21,9
69-2,15.0,21,9
69-3,15.0,21,9
69-4,15.0,21,9
69-5,15.0,21,9
69-6,15.0,21,9
69-7,15.0,21,9
69-8,15.0,21,9
69-9,15.0,21,9
69-10,15.0,21,9
70,NA,NA,NA
71-1,9.0,9,1
71-2,9.0,9,1
71-3,9.0,9,1
71-4,9.0,9,1
71-5,9.0,9,1
71-6,9.0,9,1
71-7,9.0,9,1
71-8,9.0,9,1
71-9,9.0,9,1
71-10,9.0,9,1
72-1,19.666666666666668,22,3
72-2,19.666666666666668,22,3
72-3,19.666666666666668,22,3
72-4,19.666666666666668,22,3
72-5,19.666666666666668,22,3
72-6,19.666666666666668,22,3
72-7,19.666666666666668,22,3
72-8,19.666666666666668,22,3
72-9,19.666666666666668,22,3
72-10,19.666666666666668,22,3
73-1,59.666666666666664,79,240
73-2,59.666666666666664,79,240
73-3,59.666666666666664,79,240
73-4,59.666666666666664,79,240
73-5,59.666666666666664,79,240
73-6,59.666666666666664,79,240
73-7,59.666666666666664,79,240
73-8,59.666666666666664,79,240
73-9,59.666666666666664,79,240
73-10,59.666666666666664,79,240
74-1,9.2,21,15
74-2,9.2,21,15
74-3,9.2,21,15
74-4,9.2,21,15
74-5,9.2,21,15
74-6,9.2,21,15
74-7,9.2,21,15
74-8,9.2,21,15
74-9,9.2,21,15
74-10,9.2,21,15
75-1,30.78627450980392,71,6120
75-2,30.78627450980392,71,6120
75-3,30.78627450980392,71,6120
75-4,30.78627450980392,71,6120
75-5,30.78627450980392,71,6120
75-6,30.78627450980392,71,6120
75-7,30.78627450980392,71,6120
75-8,30.78627450980392,71,6120
75-9,30.78627450980392,71,6120
75-10,30.78627450980392,71,6120
76-1,10.9,20,20
76-2,10.9,20,20
76-3,10.9,20,20
76-4,10.9,20,20
76-5,10.9,20,20
76-6,10.9,20,20
76-7,10.9,20,20
76-8,10.9,20,20
76-9,10.9,20,20
76-10,10.9,20,20
77-1,4.5,6,2
77-2,4.5,6,2
77-3,4.5,6,2
77-4,4.5,6,2
77-5,4.5,6,2
77-6,4.5,6,2
77-7,4.5,6,2
77-8,4.5,6,2
77-9,4.5,6,2
77-10,4.5,6,2
78-1,41.1,58,40
78-2,41.1,58,40
78-3,41.1,58,40
78-4,41.1,58,40
78-5,41.1,58,40
78-6,41.1,58,40
78-7,41.1,58,40
78-8,41.1,58,40
78-9,41.1,58,40
78-10,41.1,58,40
79-1,13.602564102564102,31,78
79-2,13.602564102564102,31,78
79-3,13.602564102564102,31,78
79-4,13.602564102564102,31,78
79-5,13.602564102564102,31,78
79-6,13.602564102564102,31,78
79-7,13.602564102564102,31,78
79-8,13.602564102564102,31,78
79-9,13.602564102564102,31,78
79-10,13.602564102564102,31,78
80-1,15.664893617021276,48,2256
80-2,15.664893617021276,48,2256
80-3,15.664893617021276,48,2256
80-4,15.664893617021276,48,2256
80-5,15.664893617021276,48,2256
80-6,15.664893617021276,48,2256
80-7,15.664893617021276,48,2256
80-8,15.664893617021276,48,2256
80-9,15.664893617021276,48,2256
80-10,15.664893617021276,48,2256
81-1,18.1,31,10
81-2,18.1,31,10
81-3,18.1,31,10
81-4,18.1,31,10
81-5,18.1,31,10
81-6,18.1,31,10
81-7,18.1,31,10
81-8,18.1,31,10
81-9,18.1,31,10
81-10,18.1,31,10
82-1,18.5,24,6
82-2,18.5,24,6
82-3,18.5,24,6
82-4,18.5,24,6
82-5,18.5,24,6
82-6,18.5,24,6
82-7,18.5,24,6
82-8,18.5,24,6
82-9,18.5,24,6
82-10,18.5,24,6
83-1,7.0,10,2
83-2,7.0,10,2
83-3,7.0,10,2
83-4,7.0,10,2
83-5,7.0,10,2
83-6,7.0,10,2
83-7,7.0,10,2
83-8,7.0,10,2
83-9,7.0,10,2
83-10,7.0,10,2
84-1,16.97222222222222,45,324
84-2,16.97222222222222,45,324
84-3,16.97222222222222,45,324
84-4,16.97222222222222,45,324
84-5,16.97222222222222,45,324
84-6,16.97222222222222,45,324
84-7,16.97222222222222,45,324
84-8,16.97222222222222,45,324
84-9,16.97222222222222,45,324
84-10,16.97222222222222,45,324
85-1,35.5,51,128
85-2,35.5,51,128
85-3,35.5,51,128
85-4,35.5,51,128
85-5,35.5,51,128
85-6,35.5,51,128
85-7,35.5,51,128
85-8,35.5,51,128
85-9,35.5,51,128
85-10,35.5,51,128
86-1,15.5,21,6
86-2,15.5,21,6
86-3,15.5,21,6
86-4,15.5,21,6
86-5,15.5,21,6
86-6,15.5,21,6
86-7,15.5,21,6
86-8,15.5,21,6
86-9,15.5,21,6
86-10,15.5,21,6
87-1,17.0,20,2
87-2,17.0,20,2
87-3,17.0,20,2
87-4,17.0,20,2
87-5,17.0,20,2
87-6,17.0,20,2
87-7,17.0,20,2
87-8,17.0,20,2
87-9,17.0,20,2
87-10,17.0,20,2
88-1,1.0,1,1
88-2,1.0,1,1
88-3,1.0,1,1
88-4,1.0,1,1
88-5,1.0,1,1
88-6,1.0,1,1
88-7,1.0,1,1
88-8,1.0,1,1
88-9,1.0,1,1
88-10,1.0,1,1
89-1,10.0,17,18
89-2,10.0,17,18
89-3,10.0,17,18
89-4,10.0,17,18
89-5,10.0,17,18
89-6,10.0,17,18
89-7,10.0,17,18
89-8,10.0,17,18
89-9,10.0,17,18
89-10,10.0,17,18
90-1,28.0,38,18
90-2,28.0,38,18
90-3,28.0,38,18
90-4,28.0,38,18
90-5,28.0,38,18
90-6,28.0,38,18
90-7,28.0,38,18
90-8,28.0,38,18
90-9,28.0,38,18
90-10,28.0,38,18
91-1,22.0,23,2
91-2,22.0,23,2
91-3,22.0,23,2
91-4,22.0,23,2
91-5,22.0,23,2
91-6,22.0,23,2
91-7,22.0,23,2
91-8,22.0,23,2
91-9,22.0,23,2
91-10,22.0,23,2
92-1,12.266666666666667,22,30
92-2,12.266666666666667,22,30
92-3,12.266666666666667,22,30
92-4,12.266666666666667,22,30
92-5,12.266666666666667,22,30
92-6,12.266666666666667,22,30
92-7,12.266666666666667,22,30
92-8,12.266666666666667,22,30
92-9,12.266666666666667,22,30
92-10,12.266666666666667,22,30
93-1,17.470588235294116,26,17
93-2,17.470588235294116,26,17
93-3,17.470588235294116,26,17
93-4,17.470588235294116,26,17
93-5,17.470588235294116,26,17
93-6,17.470588235294116,26,17
93-7,17.470588235294116,26,17
93-8,17.470588235294116,26,17
93-9,17.470588235294116,26,17
93-10,17.470588235294116,26,17
94,NA,NA,NA
95-1,5.0,5,1
95-2,5.0,5,1
95-3,5.0,5,1
95-4,5.0,5,1
95-5,5.0,5,1
95-6,5.0,5,1
95-7,5.0,5,1
95-8,5.0,5,1
95-9,5.0,5,1
95-10,5.0,5,1
96-1,2.0,2,1
96-2,2.0,2,1
96-3,2.0,2,1
96-4,2.0,2,1
96-5,2.0,2,1
96-6,2.0,2,1
96-7,2.0,2,1
96-8,2.0,2,1
96-9,2.0,2,1
96-10,2.0,2,1
97-1,11.0,11,1
97-2,11.0,11,1
97-3,11.0,11,1
97-4,11.0,11,1
97-5,11.0,11,1
97-6,11.0,11,1
97-7,11.0,11,1
97-8,11.0,11,1
97-9,11.0,11,1
97-10,11.0,11,1
98-1,11.619047619047619,25,21
98-2,11.619047619047619,25,21
98-3,11.619047619047619,25,21
98-4,11.619047619047619,25,21
98-5,11.619047619047619,25,21
98-6,11.619047619047619,25,21
98-7,11.619047619047619,25,21
98-8,11.619047619047619,25,21
98-9,11.619047619047619,25,21
98-10,11.619047619047619,25,21
99-1,13.75,27,40
99-2,13.75,27,40
99-3,13.75,27,40
99-4,13.75,27,40
99-5,13.75,27,40
99-6,13.75,27,40
99-7,13.75,27,40
99-8,13.75,27,40
99-9,13.75,27,40
99-10,13.75,27,40
